bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
DA_MAG_00073	2534317	276	11921	27.425723484036446	94.36619718309859	2.816901408450704	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter othiniensis
DA_MAG_00074	1941738	76	42402	60.23763778159235	81.69014084507042	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp000431575
DA_MAG_00075	2169706	81	46035	60.9936968172757	92.95774647887323	2.816901408450704	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp900552475
DA_MAG_00076	1885703	98	34541	27.910582942285107	88.73239436619718	5.633802816901408	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp000431335
DA_MAG_00077	3225551	48	106791	65.3369007772215	97.1830985915493	0.0	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae		
DA_MAG_00078	2356473	36	100607	43.72762848019845	84.50704225352112	1.408450704225352	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	
DA_MAG_00079	2067529	123	26762	59.96485705071566	83.09859154929578	2.816901408450704	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	
DA_MAG_00080	5198379	165	46666	43.39602751839564	88.73239436619718	5.633802816901408	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
DA_MAG_00081	2755768	185	20985	49.4489042329748	91.54929577464789	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	
DA_MAG_00082	2647445	252	15238	43.52936268224824	91.54929577464789	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	
DA_MAG_00083	2629650	206	16087	58.792793184536905	90.14084507042253	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475	UBA9475 sp900549885
DA_MAG_00084	1594026	45	64249	26.837644112953683	87.32394366197182	5.633802816901408	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-354	CAG-354 sp900552655
DA_MAG_00085	2633496	290	11646	49.54821851037092	88.73239436619718	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA7160	UBA7160 sp002491565
DA_MAG_00086	2609642	161	24426	43.240689957611394	85.91549295774648	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	Ruminococcus gnavus
DA_MAG_00087	1205905	42	39619	26.993552626273114	84.50704225352112	5.633802816901408	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-776	CAG-776 sp900549285
DA_MAG_00088	2397940	104	35970	49.346555466953426	94.36619718309859	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	Clostridium sp003024715
DA_MAG_00089	1246301	143	10794	26.542359680155116	83.09859154929578	2.816901408450704	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-269	
DA_MAG_00090	2584937	298	10615	59.637608358481145	81.69014084507042	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Neobitarella	Neobitarella massiliensis
DA_MAG_00091	1788702	86	33434	53.38741939743823	85.91549295774648	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	F23-B02	F23-B02 sp001916715
DA_MAG_00092	2349951	86	37177	41.67255248920276	83.09859154929578	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter torques
DA_MAG_00093	1716875	254	8543	43.445077983114174	95.77464788732394	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Bariatricus	Bariatricus comes
DA_MAG_00094	1434347	64	38906	27.438013036337704	88.73239436619718	0.0	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-628	CAG-628 sp000438415
DA_MAG_00095	2082311	64	54792	33.1231831690085	77.46478873239437	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium sp000435815
DA_MAG_00096	2333834	80	41975	43.171872467473236	83.09859154929578	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp900066555
DA_MAG_00097	1321630	42	49847	30.073555002696402	88.73239436619718	0.0	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-245	CAG-245 sp000435175
DA_MAG_00098	2782635	282	16227	63.96227966607469	85.91549295774648	0.0	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	Eggerthella lenta
DA_MAG_00099	2206610	142	24969	42.85794357773388	81.69014084507042	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter lactaris
DA_MAG_00100	2342219	267	10571	28.132102330048397	85.91549295774648	1.408450704225352	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium spiroforme
DA_MAG_00101	2555835	146	25304	40.73512587176021	94.36619718309859	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-303	CAG-303 sp000437755
DA_MAG_00102	1529892	56	34762	28.31117136854242	80.28169014084507	8.450704225352112	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp900555615
DA_MAG_00103	723828	21	56561	43.22986505620891	81.69014084507042	4.225352112676056	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	TM7x	
DA_MAG_00104	3229397	240	19536	30.860705862065185	80.28169014084507	5.633802816901408	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Coprobacillus	Coprobacillus cateniformis
DA_MAG_00105	3702473	311	18026	40.60297214101431	87.32394366197182	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
DA_MAG_00106	2179653	260	10617	34.11365307662635	73.2394366197183	1.408450704225352	Bacteria	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	Turicibacter sp001543345
DA_MAG_00107	1151945	180	7803	26.89683826194205	87.32394366197182	4.225352112676056	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-460	CAG-460 sp900544625
DA_MAG_00108	2657085	270	14324	39.45775688556253	87.32394366197182	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas nexilis
DA_MAG_00109	1475184	247	6977	38.784169432963886	78.87323943661971	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus	Ruminococcus sp003526955
DA_MAG_00110	2897717	198	22588	57.92269966421024	84.50704225352112	2.816901408450704	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila
DA_MAG_00111	2290785	183	17917	40.849247842284996	70.4225352112676	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter faecis
DA_MAG_00112	2523450	313	10633	43.04899891326877	88.73239436619718	7.042253521126761	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	
DA_MAG_00113	1286266	268	5075	55.77400254730286	80.28169014084507	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens
DA_MAG_00114	1314011	233	6011	37.70602330259987	63.38028169014085	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	
DA_MAG_00115	1652325	292	6093	28.58750371937634	71.83098591549296	4.225352112676056	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter	
DA_MAG_00116	2091517	68	50801	43.48041161916703	63.38028169014085	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp900240315
DA_MAG_00117	2476040	216	15800	43.47258892180917	63.38028169014085	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
DA_MAG_00118	1814140	276	7516	46.024594834694476	84.50704225352112	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182	UBA7182 sp003480725
DA_MAG_00119	2540321	393	7934	62.447762690168375	83.09859154929578	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	
DA_MAG_00120	2761891	110	35639	58.718131000707395	64.78873239436619	1.408450704225352	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii
DA_MAG_00121	1537973	29	80203	47.816117315839094	84.50704225352112	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
DA_MAG_00122	4762359	169	49807	42.132059481734196	69.01408450704226	5.633802816901408	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	
DA_MAG_00123	1599518	288	6117	60.616461567237124	76.05633802816901	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	SFJ001	SFJ001 sp004555865
DA_MAG_00124	2293431	198	16639	64.86783209883532	76.05633802816901	8.450704225352112	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	
DA_MAG_00125	2985376	267	16332	27.88858311275499	61.971830985915496	1.408450704225352	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saudiense
DA_MAG_00126	2684337	137	28253	34.07597191533618	57.74647887323944	1.408450704225352	Bacteria	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	Turicibacter sanguinis
DA_MAG_00127	2629149	154	28491	35.35057867076236	57.74647887323944	8.450704225352112	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000436475
DA_MAG_00128	1227977	45	44376	61.555444033401784	61.971830985915496	4.225352112676056	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	
