MAG,cohort,domain,phylum,class,order,family,genus,species,totalLength
AZC9C_20,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-590,,2425355
AZC9C_21,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminiclostridium_E,,2868984
AZC9C_22,AZC9C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-877,,1346257
AZC9C_23,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,2862417
AZC9C_24,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,,3093617
AZC9C_25,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,GCA_002491305.1,2739271
AZC9C_26,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Clostridium_Q,,2606969
AZC9C_27,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,28-4,GCF_000403275.1,3445964
AZC9C_28,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3459062
AZC9C_29,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Parasporobacterium,,3056331
AZC9C_30,AZC9C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-582,,1501283
AZC9C_31,AZC9C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,UBA7057,,1390796
AZC9C_32,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercorirosoris,5906421
AZC9C_33,AZC9C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-628,,1641473
AZC9C_34,AZC9C,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum_A,2167560
AZC9C_35,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3627995
AZC9C_36,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,UBA3700,,,1693536
AZC9C_37,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,,3153804
AZC9C_38,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,,,2558133
AZC9C_39,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA7182,,3210147
AZC9C_40,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,,3440955
AZC9C_41,AZC9C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-492,,1890204
AZC9C_42,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,4401414
AZC9C_43,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,14-2,,1748311
AZC9C_44,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,UBA3700,,,1669091
AZC9C_45,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,3780852
AZC9C_46,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,,2208856
AZC9C_47,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Acutalibacter,Acutalibacter muris,2839440
AZC9C_48,AZC9C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,UBA7001,,1901120
AZC9C_49,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,28-4,,3383496
AZC9C_50,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,4198574
AZC9C_51,AZC9C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,,,1183550
AZC9C_52,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3298373
AZC9C_53,AZC9C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-793,,1608642
AZC9C_54,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1394,,2214513
AZC9C_55,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,2289284
AZC9C_56,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,,1287480
AZC9C_57,AZC9C,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Savagellaceae,Savagella,Savagella sp1,1613209
AZC9C_58,AZC9C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,UBA7001,,2016627
AZC9C_59,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA9475,,4203946
AZC9C_60,AZC9C,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,GCA_001917125.1,1846219
AZC9C_61,AZC9C,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus intestinalis,2038252
AZC9C_62,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-95,,4583187
AZC9C_63,AZC9C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-465,,,1611642
AZC9C_64,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,,,2776143
AZC9C_65,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3830309
AZC9C_66,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1405,,5037914
AZC9C_67,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-303,,3745131
AZC9C_68,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Homeothermus,GCA_002358615.1,3240534
AZC9C_69,AZC9C,Bacteria,Firmicutes,Bacilli,Haloplasmatales,Turicibacteraceae,Turicibacter,GCA_002311155.1,2167389
AZC9C_70,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3730975
AZC9C_71,AZC9C,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus_B,Lactobacillus_B murinus,2053374
AZC9C_72,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,TF01-11,,3540007
AZC9C_73,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA7050,,3589085
AZC9C_74,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,3684719
AZC9C_75,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides congonensis,5814947
AZC9C_76,AZC9C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-988,,1089497
AZC9C_77,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,,1401102
AZC9C_78,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes timonensis,3688875
AZC9C_79,AZC9C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,,,1350545
AZC9C_80,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,,3881071
AZC9C_81,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Ruminococcus_B,,4821219
AZC9C_82,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA9475,,3172010
AZC9C_83,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-103,,1807486
AZC9C_84,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,,,2196758
AZC9C_85,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,2482322
AZC9C_86,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UBA1820,UBA1820,,2313245
AZC9C_87,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,2776422
AZC9C_88,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,,2536015
AZC9C_89,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA9502,,4282768
AZC9C_90,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,,1953891
AZC9C_91,AZC9C,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Mucispirillaceae,Mucispirillum,Mucispirillum schaedleri,2186796
AZC9C_92,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,4340592
AZC9C_93,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,,5454037
AZC9C_94,AZC9C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,,1670008
AZC9C_95,AZC9C,Bacteria,Firmicutes_B,Peptococcia,Peptococcales,Peptococcaceae,UBA7185,,2800173
AZC9C_96,AZC9C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-776,,1462926
AZC9C_97,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Eubacterium_R,,2038619
AZC9C_98,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,,5323893
AZC9C_99,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3641209
AZC9C_100,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,,3687751
AZC9C_101,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,UBA1242,UBA6345,,1186729
AZC9C_102,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,,5196013
AZC9C_104,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,,2829334
AZC9C_105,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,,1327457
AZC9C_106,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,UBA3700,,,1516240
AZC9C_107,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,3367597
AZC9C_108,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002490665.1,4298888
AZC9C_109,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-917,,,1773835
AZC9C_110,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,TF01-11,,3554610
AZC9C_111,AZC9C,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,,2066407
AZC9C_112,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,,4001403
AZC9C_113,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,,3568354
AZC9C_114,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,UBA3700,,,1338275
AZC9C_115,AZC9C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-776,,1373437
AZC9C_116,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA3282,,4433402
AZC5T_1,AZC5T,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,,2349829
AZC5T_2,AZC5T,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,TF01-11,,3947292
AZC5T_3,AZC5T,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,CAG-274,,,2504872
AZC5T_4,AZC5T,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA9475,,3442561
AZC5T_5,AZC5T,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,CAG-115,,3102669
AZC5T_6,AZC5T,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,,3219749
AZC5T_7,AZC5T,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,,2994338
