compartments,abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id,group,family
AZC7E_2,0.00859492476811273,0.016654169597745218,1356,912,AZC7E_2,0.7,sample_2,AZC7E,UBA932
AZC7E_25,0.009014354263582073,0.018033005588267148,2306,1369,AZC7E_25,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_26,0.0452390660912061,0.08485776189957928,1665,1100,AZC7E_26,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_3,0.007123681454334992,0.014483430765025262,2596,1495,AZC7E_3,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_32,0.013781069794967375,0.02738274703038418,1603,1004,AZC7E_32,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_36,0.008783008165624299,0.01752637687040922,2528,1429,AZC7E_36,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_38,0.09867087077485136,0.18557605247982384,2596,1495,AZC7E_38,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_39,0.010649078650559408,0.02101029033528061,1960,1220,AZC7E_39,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_52,0.011167701174837086,0.021979785242533877,2528,1429,AZC7E_52,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_54,0.0587521454243024,0.11072588802756361,2596,1495,AZC7E_54,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_58,0.03502524509934208,0.06654601215664105,2596,1495,AZC7E_58,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_60,0.008366419827152142,0.016825669683811852,2306,1369,AZC7E_60,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_61,0.013895664224560284,0.027054019029764675,2105,1291,AZC7E_61,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_64,0.005643880015219189,0.011695479197060123,2105,1291,AZC7E_64,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_68,0.018616764579650315,0.03584884203047285,2596,1495,AZC7E_68,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_70,0.015934075224825282,0.030904887700671787,2306,1369,AZC7E_70,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_79,0.02670292561948566,0.05092570019296256,2528,1429,AZC7E_79,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_81,0.006824914700369079,0.013952331912824025,2306,1369,AZC7E_81,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_84,0.014824985532002538,0.028811315160713374,2528,1429,AZC7E_84,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_87,0.03666778489045666,0.06943555765261393,2271,1361,AZC7E_87,0.7,sample_2,AZC7E,Rikenellaceae
AZC7E_88,0.007311026816566204,0.014773262043447732,2528,1429,AZC7E_88,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_89,0.07807731160720116,0.14691792733256417,2596,1495,AZC7E_89,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_96,0.007235436824913804,0.014468980905385847,1491,967,AZC7E_96,0.7,sample_2,AZC7E,Lactobacillaceae
AZC3J_25,0.0078838350176638,0.023141015029303443,957,681,AZC3J_25,0.7,sample_1,AZC3J,CAG-307
AZC3J_32,0.006178715673769388,0.0191146506774143,2306,1369,AZC3J_32,0.7,sample_1,AZC3J,Muribaculaceae
AZC3J_34,0.02260871262308311,0.06591726560615933,2594,1454,AZC3J_34,0.7,sample_1,AZC3J,Lachnospiraceae
AZC3J_58,0.007910513581927228,0.024235862294800417,1204,809,AZC3J_58,0.7,sample_1,AZC3J,Lachnospiraceae
AZC3J_60,0.0071408002172799094,0.021501239591756913,2022,1228,AZC3J_60,0.7,sample_1,AZC3J,DTU089
AZC3J_64,0.008718864301181028,0.02525684072925446,1280,858,AZC3J_64,0.7,sample_1,AZC3J,Ruminococcaceae
AZC3J_74,0.012804419963812142,0.03798673747346671,2306,1369,AZC3J_74,0.7,sample_1,AZC3J,Muribaculaceae
AZC3J_82,0.03640563814608823,0.10547693022479318,2400,1412,AZC3J_82,0.7,sample_1,AZC3J,Lachnospiraceae
AZC3J_87,0.010213952499543696,0.03054069897248097,2271,1361,AZC3J_87,0.7,sample_1,AZC3J,Rikenellaceae
AZC7E_101,0.023606982771969213,0.06861739204181418,1665,1100,AZC7E_101,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_104,0.07753582508491727,0.22214465862736912,1603,1004,AZC7E_104,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_107,0.006736165416170891,0.02042144909123627,2022,1228,AZC7E_107,0.7,sample_1,AZC7E,DTU089
AZC7E_109,0.007398800799325661,0.0227325318470431,2596,1495,AZC7E_109,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_111,0.012151778005649061,0.03643741620620228,2596,1495,AZC7E_111,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_113,0.11660152856948534,0.33299142958827493,1578,1079,AZC7E_113,0.7,sample_1,AZC7E,Bacteroidaceae
AZC7E_116,0.022845415170218337,0.06626669630582144,1229,858,AZC7E_116,0.7,sample_1,AZC7E,CAG-239
AZC7E_12,0.012740834337355117,0.0378799119643299,2325,1385,AZC7E_12,0.7,sample_1,AZC7E,Bacteroidaceae
AZC7E_17,0.01082374314777149,0.032142211515681245,2528,1429,AZC7E_17,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_2,0.016766332890356773,0.04844702926419794,1356,912,AZC7E_2,0.7,sample_1,AZC7E,UBA932
AZC7E_23,0.05918792264109129,0.16978246390296967,1960,1220,AZC7E_23,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_25,0.01583348035551065,0.0466465563321739,2306,1369,AZC7E_25,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_26,0.010506874232047127,0.03116154927161203,1665,1100,AZC7E_26,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_3,0.04605703810237755,0.1341995906114749,2596,1495,AZC7E_3,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_32,0.03900739729660316,0.11213625608722251,1603,1004,AZC7E_32,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_36,0.010037213183776364,0.029974932450705725,2528,1429,AZC7E_36,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_37,0.031336612659627214,0.0912349171131247,2306,1369,AZC7E_37,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_38,0.023766952850905253,0.06975466112950435,2596,1495,AZC7E_38,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_39,0.026170712534901983,0.07586128536795453,1960,1220,AZC7E_39,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_52,0.009375168598805298,0.027986440926871407,2528,1429,AZC7E_52,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_54,0.050490634153045943,0.146862916934831,2596,1495,AZC7E_54,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_58,0.0135324773237608,0.04042318530549962,2596,1495,AZC7E_58,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_60,0.006984047989749883,0.02143786873910266,2306,1369,AZC7E_60,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_61,0.008415866320405242,0.02555993386049996,2105,1291,AZC7E_61,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_68,0.021121836582968793,0.062149597136604014,2596,1495,AZC7E_68,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_70,0.035945248871304215,0.10452892024245522,2306,1369,AZC7E_70,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_73,0.03319978931342449,0.09612796739836657,2325,1385,AZC7E_73,0.7,sample_1,AZC7E,Bacteroidaceae
AZC7E_79,0.013062340797664223,0.03842241557757077,2528,1429,AZC7E_79,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_81,0.0069066161987416256,0.021197166414242994,2306,1369,AZC7E_81,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_84,0.00854466954245624,0.025613700008881215,2528,1429,AZC7E_84,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_87,0.053935314638948136,0.1566868510232405,2271,1361,AZC7E_87,0.7,sample_1,AZC7E,Rikenellaceae
AZC7E_89,0.04950892759431673,0.1442034102287887,2596,1495,AZC7E_89,0.7,sample_1,AZC7E,Muribaculaceae
