gene_callers_id,source,accession,function,e_value,split,start_in_split,stop_in_split,percentage_in_split,MAG
546220,CAZyme,-,GH18.hmm,5.3999999999999994e-24,CP_000000050980_split_00001,2,1223,100,DA_MAG_00115
548119,CAZyme,-,GH1.hmm,1.5e-152,CP_000000051565_split_00001,100,1489,100,DA_MAG_00126
546063,CAZyme,-,GH1.hmm,2.6e-106,CP_000000050927_split_00001,0,1149,100,DA_MAG_00097
543822,CAZyme,-,GH20.hmm,2.2e-44,CP_000000050227_split_00001,1995,2697,100,DA_MAG_00125
548149,CAZyme,-,GH2.hmm,4.2e-103,CP_000000051574_split_00001,1,2578,100,DA_MAG_00112
539942,CAZyme,-,GH31.hmm,2.1e-118,CP_000000049038_split_00001,294,2598,100,DA_MAG_00085
553542,CAZyme,-,GH38.hmm,2.6e-73,CP_000000053275_split_00001,0,2529,100,DA_MAG_00049
551486,CAZyme,-,GH3.hmm,7.399999999999999e-69,CP_000000052613_split_00001,491,2546,100,DA_MAG_00056
551836,CAZyme,-,GH3.hmm,1.2e-52,CP_000000052722_split_00001,773,2561,100,DA_MAG_00105
553040,CAZyme,-,GH43.hmm,5.4e-21,CP_000000053101_split_00001,590,1535,100,DA_MAG_00106
548127,CAZyme,-,GH43.hmm,2.1e-19,CP_000000051568_split_00001,304,1258,100,DA_MAG_00085
539699,CAZyme,-,GH43.hmm,2.1e-16,CP_000000048964_split_00001,2,2501,100,DA_MAG_00027
552372,CAZyme,-,GH51.hmm,1.9e-149,CP_000000052887_split_00001,255,1755,100,DA_MAG_00036
547385,CAZyme,-,GH51.hmm,6.1e-143,CP_000000051335_split_00001,261,1776,100,DA_MAG_00085
538052,CAZyme,-,GH51.hmm,2.7000000000000002e-98,CP_000000048470_split_00001,855,2796,100,DA_MAG_00037
536454,CAZyme,-,GH51.hmm,2.7e-47,CP_000000047980_split_00001,2187,2832,100,DA_MAG_00112
547387,CAZyme,-,GH51.hmm,7.1e-13,CP_000000051335_split_00001,2266,2635,100,DA_MAG_00085
546063,CAZyme,-,GH5.hmm,2.7e-13,CP_000000050927_split_00001,0,1149,100,DA_MAG_00097
537659,CAZyme,-,GH73.hmm,4.3e-17,CP_000000048350_split_00001,0,1344,100,DA_MAG_00068
537350,CAZyme,-,GH73.hmm,1.1e-16,CP_000000048262_split_00001,1186,2815,100,DA_MAG_00112
539904,CAZyme,-,GH77.hmm,1.4e-71,CP_000000049027_split_00001,0,918,100,DA_MAG_00089
542961,CAZyme,-,GH89.hmm,5.5e-189,CP_000000049971_split_00001,0,2712,100,DA_MAG_00100
544846,CAZyme,-,GH94.hmm,1.1000000000000001e-253,CP_000000050539_split_00001,184,2578,100,DA_MAG_00056
539061,CAZyme,-,GH94.hmm,9.300000000000001e-38,CP_000000048761_split_00001,2451,2784,100,DA_MAG_00112
541424,CAZyme,-,GH97.hmm,3.9e-13,CP_000000049504_split_00001,1338,2739,100,DA_MAG_00101
551386,CAZyme,-,GT32.hmm,9.3e-22,CP_000000052581_split_00001,58,772,100,DA_MAG_00107
554100,CAZyme,-,GT35.hmm,1.9e-140,CP_000000053455_split_00001,1,1183,100,DA_MAG_00037
555059,CAZyme,-,GT4.hmm,4.2e-42,CP_000000053767_split_00001,2,998,100,DA_MAG_00037
536092,CAZyme,-,GT4.hmm,3.3e-32,CP_000000047874_split_00001,1230,2325,100,DA_MAG_00109
554974,CAZyme,-,GT4.hmm,6.6e-31,CP_000000053740_split_00001,1946,2507,100,DA_MAG_00107
544702,CAZyme,-,GT4.hmm,1.6000000000000001e-28,CP_000000050497_split_00001,0,1167,100,DA_MAG_00051
536091,CAZyme,-,GT4.hmm,2.3000000000000003e-28,CP_000000047874_split_00001,107,1199,100,DA_MAG_00109
538503,CAZyme,-,GT4.hmm,7.000000000000001e-23,CP_000000048605_split_00001,831,1938,100,DA_MAG_00123
553238,CAZyme,-,GT4.hmm,1e-13,CP_000000053166_split_00001,1029,2466,100,DA_MAG_00115
553513,CAZyme,-,GT4.hmm,1.1e-13,CP_000000053264_split_00001,2,1367,100,DA_MAG_00109
539479,CAZyme,-,GT51.hmm,4.7999999999999995e-61,CP_000000048892_split_00001,115,2614,100,DA_MAG_00101
553238,CAZyme,-,GT5.hmm,6.6e-183,CP_000000053166_split_00001,1029,2466,100,DA_MAG_00115
540845,CAZyme,-,GT5.hmm,2.5999999999999997e-173,CP_000000049321_split_00001,623,2429,100,DA_MAG_00105
540834,CAZyme,-,GT5.hmm,4.8e-171,CP_000000049317_split_00001,582,1998,100,DA_MAG_00123
548109,CAZyme,-,GT5.hmm,1.2e-166,CP_000000051562_split_00001,2,1271,100,DA_MAG_00118
553513,CAZyme,-,GT5.hmm,4.4e-163,CP_000000053264_split_00001,2,1367,100,DA_MAG_00109
536092,CAZyme,-,GT5.hmm,2.1e-18,CP_000000047874_split_00001,1230,2325,100,DA_MAG_00109
538503,CAZyme,-,GT5.hmm,3.8e-15,CP_000000048605_split_00001,831,1938,100,DA_MAG_00123
536091,CAZyme,-,GT5.hmm,3.1e-13,CP_000000047874_split_00001,107,1199,100,DA_MAG_00109
545398,CAZyme,-,GT83.hmm,1.7e-13,CP_000000050717_split_00001,1738,2668,100,DA_MAG_00109
553022,CAZyme,-,PL1.hmm,2.9e-33,CP_000000053096_split_00001,0,2271,100,DA_MAG_00069
553178,CAZyme,-,PL1.hmm,1.4000000000000002e-23,CP_000000053148_split_00001,1,1873,100,DA_MAG_00009
537082,CAZyme,-,SLH.hmm,1.5999999999999998e-25,CP_000000048176_split_00001,1006,2683,100,DA_MAG_00119
537432,CAZyme,-,SLH.hmm,4.8e-25,CP_000000048284_split_00001,1019,1742,100,DA_MAG_00027
545953,CAZyme,-,SLH.hmm,2.6e-22,CP_000000050889_split_00001,1378,2659,100,DA_MAG_00113
537433,CAZyme,-,SLH.hmm,9.3e-17,CP_000000048284_split_00001,1819,2491,100,DA_MAG_00027
537434,CAZyme,-,SLH.hmm,3.9e-13,CP_000000048284_split_00001,2625,2814,100,DA_MAG_00027
537375,CAZyme,-,GH127.hmm,4.9e-197,CP_000000048268_split_00001,905,2807,100,DA_MAG_00056
536701,CAZyme,-,GH127.hmm,2.1000000000000002e-32,CP_000000048058_split_00001,591,2394,100,DA_MAG_00056
536701,CAZyme,-,GH146.hmm,1.3000000000000001e-157,CP_000000048058_split_00001,591,2394,100,DA_MAG_00056
537375,CAZyme,-,GH146.hmm,1.7e-36,CP_000000048268_split_00001,905,2807,100,DA_MAG_00056
547864,CAZyme,PF00535.25,GT2_Glycos_transf_2.hmm,5.4e-36,CP_000000051478_split_00001,752,1865,100,DA_MAG_00098
551388,CAZyme,PF00535.25,GT2_Glycos_transf_2.hmm,5.6e-32,CP_000000052581_split_00001,2060,2564,100,DA_MAG_00107
536992,CAZyme,PF00535.25,GT2_Glycos_transf_2.hmm,7.5e-31,CP_000000048148_split_00001,361,2149,100,DA_MAG_00118
538502,CAZyme,PF00535.25,GT2_Glycos_transf_2.hmm,8.500000000000001e-30,CP_000000048605_split_00001,43,799,100,DA_MAG_00123
554972,CAZyme,PF00535.25,GT2_Glycos_transf_2.hmm,2.2000000000000004e-28,CP_000000053740_split_00001,0,789,100,DA_MAG_00107
555291,CAZyme,PF00535.25,GT2_Glycos_transf_2.hmm,2.1999999999999997e-25,CP_000000053842_split_00001,1431,2502,100,DA_MAG_00052
536993,CAZyme,PF00535.25,GT2_Glycos_transf_2.hmm,6e-24,CP_000000048148_split_00001,2163,2820,100,DA_MAG_00118
551925,CAZyme,PF00535.25,GT2_Glycos_transf_2.hmm,5.2e-23,CP_000000052750_split_00001,337,1048,100,DA_MAG_00107
554259,CAZyme,PF00535.25,GT2_Glycos_transf_2.hmm,1.7e-21,CP_000000053506_split_00001,0,951,100,DA_MAG_00111
537349,CAZyme,PF00535.25,GT2_Glycos_transf_2.hmm,6.5e-19,CP_000000048262_split_00001,342,1164,100,DA_MAG_00112
536992,CAZyme,PF10111.8,GT2_Glyco_tranf_2_2.hmm,7.9e-13,CP_000000048148_split_00001,361,2149,100,DA_MAG_00118
536992,CAZyme,PF13641.5,GT2_Glyco_tranf_2_3.hmm,1.6e-18,CP_000000048148_split_00001,361,2149,100,DA_MAG_00118
536993,CAZyme,PF13641.5,GT2_Glyco_tranf_2_3.hmm,1.7e-16,CP_000000048148_split_00001,2163,2820,100,DA_MAG_00118
547864,CAZyme,PF13641.5,GT2_Glyco_tranf_2_3.hmm,2e-15,CP_000000051478_split_00001,752,1865,100,DA_MAG_00098
539254,CAZyme,-,GH13_10.hmm,5.599999999999999e-41,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
543413,CAZyme,-,GH13_10.hmm,8.199999999999999e-35,CP_000000050106_split_00001,766,2704,100,DA_MAG_00093
539984,CAZyme,-,GH13_10.hmm,1e-33,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_10.hmm,7.7e-20,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
535937,CAZyme,-,GH13_10.hmm,1e-14,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539254,CAZyme,-,GH13_11.hmm,3.9e-24,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
539984,CAZyme,-,GH13_11.hmm,2e-22,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
543413,CAZyme,-,GH13_11.hmm,7.6e-18,CP_000000050106_split_00001,766,2704,100,DA_MAG_00093
553941,CAZyme,-,GH13_11.hmm,5.3e-13,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_12.hmm,6.2e-33,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_12.hmm,2.9e-19,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
553941,CAZyme,-,GH13_12.hmm,3.2e-16,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539254,CAZyme,-,GH13_12.hmm,2e-14,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
543413,CAZyme,-,GH13_12.hmm,6.9e-14,CP_000000050106_split_00001,766,2704,100,DA_MAG_00093
539984,CAZyme,-,GH13_13.hmm,8.8e-33,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_13.hmm,5.2e-17,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539254,CAZyme,-,GH13_13.hmm,3.9e-15,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
535937,CAZyme,-,GH13_13.hmm,7e-13,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539984,CAZyme,-,GH13_14.hmm,1.7e-36,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_14.hmm,3.3e-21,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539254,CAZyme,-,GH13_14.hmm,1.1e-20,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
535937,CAZyme,-,GH13_14.hmm,3.2e-19,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
543413,CAZyme,-,GH13_14.hmm,1.3e-16,CP_000000050106_split_00001,766,2704,100,DA_MAG_00093
553941,CAZyme,-,GH13_16.hmm,2.1e-64,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_16.hmm,1.2e-40,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_16.hmm,6.1e-18,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539254,CAZyme,-,GH13_16.hmm,1.3e-15,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
553941,CAZyme,-,GH13_17.hmm,2.5e-51,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_17.hmm,6.3e-27,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_17.hmm,3.6e-13,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539254,CAZyme,-,GH13_17.hmm,7.1e-13,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
553941,CAZyme,-,GH13_18.hmm,4e-15,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_18.hmm,2.2e-14,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
539984,CAZyme,-,GH13_19.hmm,1.2000000000000001e-30,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_19.hmm,1.5e-21,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
553941,CAZyme,-,GH13_19.hmm,7.5e-21,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_1.hmm,1.8e-46,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_1.hmm,6.500000000000001e-33,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
535937,CAZyme,-,GH13_1.hmm,7.6e-25,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539984,CAZyme,-,GH13_20.hmm,5.1e-121,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_20.hmm,8.6e-52,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
553012,CAZyme,-,GH13_20.hmm,1.9e-34,CP_000000053092_split_00001,1,850,100,DA_MAG_00063
535937,CAZyme,-,GH13_20.hmm,8.700000000000001e-22,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539984,CAZyme,-,GH13_21.hmm,5.000000000000001e-75,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_21.hmm,1.8e-57,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
535937,CAZyme,-,GH13_21.hmm,1.2e-19,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
553012,CAZyme,-,GH13_21.hmm,7.2e-18,CP_000000053092_split_00001,1,850,100,DA_MAG_00063
539984,CAZyme,-,GH13_22.hmm,1.2e-13,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_23.hmm,1.7e-62,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_23.hmm,1.6999999999999998e-43,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_23.hmm,1e-16,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539254,CAZyme,-,GH13_23.hmm,2.1e-13,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
539984,CAZyme,-,GH13_26.hmm,1.4999999999999998e-24,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
539984,CAZyme,-,GH13_28.hmm,1.3e-16,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_29.hmm,1.9e-53,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_29.hmm,3.7e-35,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_29.hmm,2.2e-16,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539984,CAZyme,-,GH13_2.hmm,8.3e-40,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_2.hmm,3.1e-33,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
535937,CAZyme,-,GH13_2.hmm,6.6e-23,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
553941,CAZyme,-,GH13_30.hmm,5.1e-51,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_30.hmm,4.3000000000000004e-32,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_30.hmm,8.8e-16,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
553941,CAZyme,-,GH13_31.hmm,3e-63,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_31.hmm,3.2e-42,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_31.hmm,7e-18,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539984,CAZyme,-,GH13_32.hmm,1.5e-18,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_32.hmm,2.9e-15,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539254,CAZyme,-,GH13_32.hmm,1e-13,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
553941,CAZyme,-,GH13_34.hmm,3.0999999999999997e-29,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_34.hmm,6.9e-17,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_35.hmm,6.7e-44,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_35.hmm,1.2e-25,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_36.hmm,6.999999999999999e-69,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_36.hmm,2.0000000000000002e-66,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_36.hmm,1.4000000000000002e-22,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539254,CAZyme,-,GH13_36.hmm,5.3e-19,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
543413,CAZyme,-,GH13_36.hmm,2.3e-18,CP_000000050106_split_00001,766,2704,100,DA_MAG_00093
553012,CAZyme,-,GH13_36.hmm,5.3e-18,CP_000000053092_split_00001,1,850,100,DA_MAG_00063
539984,CAZyme,-,GH13_37.hmm,1.1999999999999999e-39,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_37.hmm,5e-23,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
535937,CAZyme,-,GH13_37.hmm,3.8e-18,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539254,CAZyme,-,GH13_37.hmm,8.1e-15,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
539984,CAZyme,-,GH13_38.hmm,2.3e-18,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_38.hmm,6.2e-13,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_39.hmm,3.3e-83,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553012,CAZyme,-,GH13_39.hmm,2.2e-51,CP_000000053092_split_00001,1,850,100,DA_MAG_00063
553941,CAZyme,-,GH13_39.hmm,2.6e-36,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
535937,CAZyme,-,GH13_39.hmm,9.1e-14,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539254,CAZyme,-,GH13_3.hmm,1.4999999999999998e-29,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
543413,CAZyme,-,GH13_3.hmm,4.8e-24,CP_000000050106_split_00001,766,2704,100,DA_MAG_00093
553941,CAZyme,-,GH13_3.hmm,2.5e-21,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_3.hmm,1.3e-19,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_40.hmm,7.2e-54,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_40.hmm,6.4e-32,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_40.hmm,1.9e-16,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539984,CAZyme,-,GH13_41.hmm,4.4e-43,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
535937,CAZyme,-,GH13_41.hmm,8.100000000000001e-22,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
553941,CAZyme,-,GH13_41.hmm,1.1e-20,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
553012,CAZyme,-,GH13_41.hmm,1.7e-14,CP_000000053092_split_00001,1,850,100,DA_MAG_00063
539254,CAZyme,-,GH13_41.hmm,3.2e-13,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
547502,CAZyme,-,GH13_42.hmm,9.6e-78,CP_000000051368_split_00001,1517,2633,100,DA_MAG_00109
535937,CAZyme,-,GH13_42.hmm,1.8e-45,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
553941,CAZyme,-,GH13_42.hmm,3.6e-21,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_42.hmm,1.6e-20,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_4.hmm,8.1e-30,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539984,CAZyme,-,GH13_4.hmm,9.3e-20,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
539984,CAZyme,-,GH13_5.hmm,7.1e-17,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
539984,CAZyme,-,GH13_6.hmm,2.6999999999999997e-24,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_6.hmm,1.4e-15,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
535937,CAZyme,-,GH13_6.hmm,2.9e-13,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
539984,CAZyme,-,GH13_7.hmm,1.4e-15,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
537862,CAZyme,-,GH13_8.hmm,5.6e-77,CP_000000048408_split_00001,1818,2805,100,DA_MAG_00090
543413,CAZyme,-,GH13_8.hmm,2.3e-47,CP_000000050106_split_00001,766,2704,100,DA_MAG_00093
539254,CAZyme,-,GH13_8.hmm,2.7e-47,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
539254,CAZyme,-,GH13_9.hmm,3.4000000000000004e-157,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
543413,CAZyme,-,GH13_9.hmm,3.3e-147,CP_000000050106_split_00001,766,2704,100,DA_MAG_00093
539984,CAZyme,-,GH13_9.hmm,2.7e-19,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13_9.hmm,2.5e-18,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
548127,CAZyme,-,GH43_18.hmm,7.3e-39,CP_000000051568_split_00001,304,1258,100,DA_MAG_00085
553040,CAZyme,-,GH43_18.hmm,6.400000000000001e-38,CP_000000053101_split_00001,590,1535,100,DA_MAG_00106
539699,CAZyme,-,GH43_18.hmm,7.600000000000001e-38,CP_000000048964_split_00001,2,2501,100,DA_MAG_00027
539699,CAZyme,-,GH43_19.hmm,7.7e-34,CP_000000048964_split_00001,2,2501,100,DA_MAG_00027
553040,CAZyme,-,GH43_19.hmm,5.3e-29,CP_000000053101_split_00001,590,1535,100,DA_MAG_00106
548127,CAZyme,-,GH43_19.hmm,2.1e-27,CP_000000051568_split_00001,304,1258,100,DA_MAG_00085
539699,CAZyme,-,GH43_20.hmm,4.0999999999999996e-53,CP_000000048964_split_00001,2,2501,100,DA_MAG_00027
553040,CAZyme,-,GH43_20.hmm,1.1999999999999999e-41,CP_000000053101_split_00001,590,1535,100,DA_MAG_00106
548127,CAZyme,-,GH43_20.hmm,3.1e-40,CP_000000051568_split_00001,304,1258,100,DA_MAG_00085
539699,CAZyme,-,GH43_21.hmm,2.1000000000000002e-57,CP_000000048964_split_00001,2,2501,100,DA_MAG_00027
548127,CAZyme,-,GH43_21.hmm,4.8e-44,CP_000000051568_split_00001,304,1258,100,DA_MAG_00085
553040,CAZyme,-,GH43_21.hmm,1.4999999999999998e-43,CP_000000053101_split_00001,590,1535,100,DA_MAG_00106
539699,CAZyme,-,GH43_22.hmm,2.2e-63,CP_000000048964_split_00001,2,2501,100,DA_MAG_00027
548127,CAZyme,-,GH43_22.hmm,1.6e-52,CP_000000051568_split_00001,304,1258,100,DA_MAG_00085
553040,CAZyme,-,GH43_22.hmm,3.1e-51,CP_000000053101_split_00001,590,1535,100,DA_MAG_00106
539699,CAZyme,-,GH43_23.hmm,1.6e-21,CP_000000048964_split_00001,2,2501,100,DA_MAG_00027
553040,CAZyme,-,GH43_23.hmm,1.3e-16,CP_000000053101_split_00001,590,1535,100,DA_MAG_00106
548127,CAZyme,-,GH43_23.hmm,1.8e-16,CP_000000051568_split_00001,304,1258,100,DA_MAG_00085
548127,CAZyme,-,GH43_24.hmm,5.5e-14,CP_000000051568_split_00001,304,1258,100,DA_MAG_00085
539699,CAZyme,-,GH43_34.hmm,1.5e-31,CP_000000048964_split_00001,2,2501,100,DA_MAG_00027
553040,CAZyme,-,GH43_34.hmm,6.5e-30,CP_000000053101_split_00001,590,1535,100,DA_MAG_00106
