gene,noFMT_1_colon
1-8_GL0073210,33
MC-0-1_GL0009103,33
gene_3500340,32
G1-1A_GL0096517,32
gene_3147171,32
gene_991563,32
gene_2342657,32
MC-6-1_GL0001170,32
MC-6-1_GL0028348,32
gene_4330949,32
2A-dyr16-06_GL0070287,32
gene_3250147,32
G1-1A_GL0024984,32
S-Fe10_GL0026046,32
G1-1A_GL0045099,32
gene_4562284,32
G1-1A_GL0046018,31
gene_3371103,31
gene_2891508,31
gene_2850056,31
G1-1A_GL0096460,31
gene_3260889,31
gene_3291045,31
gene_3904066,31
gene_4423019,31
gene_4540942,31
Group2-8A_GL0006159,31
gene_3803066,31
gene_4512024,31
MC-6-2_GL0141886,31
gene_3730402,31
gene_4025509,31
gene_2988422,31
gene_1924892,30
gene_4264534,30
S-Fe20_GL0179312,30
gene_4055190,30
gene_4484121,30
gene_3137781,30
G1-1A_GL0100761,30
gene_4100199,30
gene_4307382,30
G1-1A_GL0110288,30
MH-6-1_GL0146991,30
gene_3842103,30
MH-0-5_GL0030742,30
gene_2382463,30
gene_4634338,30
gene_4274197,30
gene_3721277,30
gene_3057548,30
MH-0-4_GL0048243,30
gene_3616653,30
4-4_GL0018594,30
G1-1A_GL0024462,29
Food_7_GL0189141,29
S-Fe10_GL0156088,29
gene_4028544,29
gene_3724218,29
gene_3361691,29
gene_4043077,29
MC-6-4_GL0045131,29
31_GL0019027,29
gene_3036178,29
gene_3191491,29
gene_3919810,29
gene_3394445,29
gene_2478969,29
G1-1A_GL0024855,29
G1-1A_GL0021735,29
G1-1A_GL0115497,29
gene_3612590,29
gene_4338190,29
37_GL0042571,29
gene_4401297,29
gene_4346761,29
MH-0-5_GL0030640,29
gene_3345609,29
gene_3615601,29
gene_4517226,28
gene_3585500,28
G1-1A_GL0046008,28
gene_3824167,28
gene_3845823,28
gene_3866419,28
gene_2095992,28
gene_3841170,28
gene_4287915,28
G1-1A_GL0045944,28
gene_3414790,28
gene_4305460,28
G1-1A_GL0002552,28
gene_4344959,28
gene_3544973,28
gene_3790903,28
gene_4033660,28
gene_3630863,28
4_GL0004551,28
gene_4147144,28
gene_4420132,28
gene_3702322,28
gene_4474935,28
gene_4339977,28
gene_3049061,28
gene_3032194,28
gene_3188931,28
G1-1A_GL0045925,27
gene_3762565,27
gene_4218769,27
gene_4470407,27
gene_3847211,27
gene_4392070,27
gene_3867259,27
G1-1A_GL0096538,27
gene_3993385,27
G1-1A_GL0002609,27
gene_3246467,27
gene_3196730,27
gene_4528138,27
S-Fe14_GL0010633,27
gene_4316177,27
gene_4499699,27
HF-S_7_GL0106103,27
MC-6-5_GL0103100,27
MH-0-5_GL0112158,27
gene_4065008,27
G1-1A_GL0024463,27
MC-6-1_GL0041353,27
gene_3818861,27
10_GL0014575,27
gene_3048704,27
G1-1A_GL0123443,27
gene_4420533,27
gene_3347464,27
gene_4580872,27
gene_4623567,27
gene_4014806,27
gene_3572156,27
gene_1680788,27
gene_3608730,27
gene_4231947,27
gene_3008714,27
gene_4203264,27
1-2_GL0003545,27
gene_4629613,26
S-Fe10_GL0159085,26
G1-1A_GL0110271,26
G1-1A_GL0100863,26
gene_3836959,26
gene_4483277,26
S-Fe11_GL0030060,26
gene_2840521,26
G1-1A_GL0117667,26
gene_4032910,26
gene_3939091,26
gene_4329853,26
G1-1A_GL0045118,26
gene_3546772,26
S-Fe10_GL0083871,26
gene_4234918,26
G1-1A_GL0105407,26
gene_3365448,26
gene_3658717,26
G1-1A_GL0002565,26
gene_3576352,26
gene_3384069,26
gene_4433565,26
G1-1A_GL0045910,26
gene_3685730,26
G1-1A_GL0116777,26
gene_3934547,26
gene_3378237,26
G1-1A_GL0106653,26
gene_3136800,26
gene_3587112,26
HF-F_10_GL0052213,26
NZ_CP021421.1_cds_WP_084274011.1_2280,26
gene_3318738,26
G1-1A_GL0096582,26
gene_3667044,26
gene_4147251,26
gene_3089759,26
gene_4508782,26
Chow_1_GL0274635,26
gene_3549943,26
gene_3888271,26
Chow_5_GL0238634,26
G1-1A_GL0024897,26
Group2-7A_GL0106418,26
gene_4153792,26
G1-1A_GL0117324,26
MC-6-3_GL0050426,25
gene_4044170,25
gene_4316493,25
gene_4432102,25
gene_4135494,25
G1-1A_GL0106660,25
gene_3896903,25
gene_3363819,25
G1-1A_GL0110273,25
gene_4320912,25
MH-6-4_GL0079539,25
gene_1873664,25
gene_4158462,25
Chow_2_GL0090218,25
gene_3393628,25
S-Fe6_GL0215841,25
gene_4263639,25
gene_2485364,25
G1-1A_GL0024906,25
gene_3101473,25
MC-0-1_GL0117830,25
gene_3728839,25
gene_2217371,25
gene_2839179,25
gene_4493120,25
MC-0-1_GL0064066,25
gene_3082022,25
gene_4489856,25
gene_3808459,25
NZ_CP021421.1_cds_WP_068959868.1_590,25
gene_3598423,25
gene_4513499,25
gene_3746759,25
G1-1A_GL0045906,25
gene_4436960,25
gene_2762987,25
G1-1A_GL0021727,25
gene_3978143,25
G1-1A_GL0095063,25
S-Fe10_GL0006235,25
gene_3037461,25
gene_4132721,25
gene_4595680,25
gene_3371006,25
G1-1A_GL0045124,25
1B-dyr11-07_GL0020125,25
G1-1A_GL0115448,25
gene_4135100,25
gene_4229339,25
S-Fe11_GL0138542,25
G1-1A_GL0112712,24
G1-1A_GL0112718,24
gene_1943947,24
G1-1A_GL0096486,24
G1-1A_GL0096606,24
G1-1A_GL0024899,24
G1-1A_GL0045133,24
gene_4406968,24
gene_3305502,24
G1-1A_GL0117384,24
gene_4492961,24
gene_3473110,24
gene_4219067,24
gene_2609743,24
G1-1A_GL0115495,24
gene_2789777,24
MC-6-1_GL0028347,24
S-Fe8_GL0140001,24
gene_3419734,24
NZ_RAYW01000046.1_cds_WP_121700309.1_2031,24
gene_4007429,24
gene_3696813,24
gene_3347716,24
G1-1A_GL0117440,24
10_GL0026125,24
S-Fe10_GL0074635,24
gene_3210147,24
gene_3652454,24
Food_1_GL0235457,24
gene_4021122,24
G1-1A_GL0100769,24
G1-1A_GL0024979,24
gene_4346442,24
gene_3792451,24
gene_3986867,24
gene_3465828,24
gene_3911867,24
G1-1A_GL0024452,24
MH-6-4_GL0116906,24
gene_4179326,24
gene_3277055,24
gene_4633740,24
G1-1A_GL0024473,24
G1-1A_GL0063140,24
1-1_GL0021782,24
gene_3705808,24
gene_4493590,24
gene_3862761,24
gene_3772239,24
gene_3869673,24
gene_4453499,24
gene_3209101,24
gene_4629454,23
gene_3575890,23
gene_4309498,23
G1-1A_GL0063301,23
gene_3581102,23
gene_4282247,23
G1-1A_GL0021802,23
G1-1A_GL0045959,23
NZ_RAYW01000017.1_cds_WP_121699337.1_506,23
gene_4462425,23
gene_4209155,23
gene_3646316,23
Food_7_GL0259738,23
gene_3213901,23
gene_4466755,23
gene_4466754,23
G1-1A_GL0100760,23
Group2-6A_GL0143385,23
MC-6-1_GL0042029,23
gene_4108300,23
gene_4274272,23
G1-1A_GL0110336,23
G1-1A_GL0024923,23
gene_3921369,23
gene_2811696,23
G1-1A_GL0024947,23
gene_4483988,23
G1-1A_GL0093289,23
gene_3555335,23
G1-1A_GL0045795,23
MH-0-5_GL0036540,23
gene_4408765,23
NZ_RAYW01000046.1_cds_WP_121700316.1_2038,23
gene_4253810,23
G1-1A_GL0110282,23
G1-1A_GL0096629,23
gene_4046817,23
gene_4257777,23
gene_3857775,23
gene_4604285,23
gene_3251230,23
gene_4304448,23
gene_4410387,23
G1-1A_GL0117328,23
gene_4548882,23
gene_3891396,23
MC-0-1_GL0065958,23
gene_4258902,23
gene_3178395,23
gene_1231735,23
gene_4169428,23
S-Fe1_GL0026527,23
gene_3471875,23
gene_2501060,23
MH-6-1_GL0109543,23
gene_4036360,23
gene_1243474,23
gene_2515740,23
gene_4505036,22
G1-1A_GL0002603,22
gene_3440800,22
gene_1958653,22
gene_4616863,22
gene_4513875,22
gene_3203715,22
gene_2837782,22
gene_3675602,22
S-Fe10_GL0146372,22
gene_3149382,22
MC-6-2_GL0043204,22
G1-1A_GL0096459,22
gene_4539942,22
G1-1A_GL0096620,22
OB-1_8_GL0245819,22
gene_3377575,22
G1-1A_GL0100787,22
gene_4265317,22
gene_4009535,22
gene_4217315,22
gene_4540577,22
gene_4471081,22
gene_4106559,22
gene_4585997,22
gene_3588999,22
1-1_GL0131353,22
S-Fe10_GL0083875,22
gene_4542301,22
gene_4346760,22
G1-1A_GL0024428,22
MC-6-1_GL0010662,22
gene_4632305,22
G1-1A_GL0093293,22
S-Fe11_GL0107744,22
G1-1A_GL0025031,22
gene_3569353,22
gene_2476697,22
gene_2762763,22
gene_3273310,22
G1-1A_GL0002604,22
gene_4378487,22
G1-1A_GL0048783,22
gene_2677191,22
1-7_GL0119350,22
G1-1A_GL0048779,22
G1-1A_GL0110312,22
MC-6-1_GL0013099,22
gene_4142584,22
gene_4447285,22
MC-6-2_GL0179459,22
gene_4051738,22
gene_3913077,22
G1-1A_GL0063209,22
gene_4088307,22
gene_3147416,22
gene_3969514,22
gene_1231734,22
MC-6-5_GL0078955,22
gene_3042080,22
gene_3385642,22
gene_3300666,22
1-7_GL0136156,22
G1-1A_GL0110274,22
gene_3470073,22
gene_3154619,22
gene_4172273,22
gene_3374861,22
G1-1A_GL0024476,22
G1-1A_GL0096474,22
gene_4041724,22
gene_3600794,22
G1-1A_GL0117298,22
gene_4485092,22
gene_4499431,22
gene_4501677,21
gene_4216701,21
gene_4216838,21
gene_4544228,21
gene_3638660,21
gene_4606530,21
S-Fe18_GL0064456,21
G1-1A_GL0045905,21
gene_4305320,21
gene_2653875,21
gene_4315453,21
gene_3176526,21
gene_4383761,21
gene_3323454,21
gene_4040662,21
gene_3511474,21
MH-0-4_GL0060541,21
gene_4252529,21
gene_3805266,21
gene_3992728,21
MC-6-1_GL0034507,21
gene_4299436,21
gene_4420630,21
45_GL0033742,21
gene_4633058,21
gene_4394211,21
gene_3988271,21
G1-1A_GL0063113,21
gene_2851782,21
S-Fe11_GL0060805,21
gene_3673122,21
G1-1A_GL0096455,21
S-Fe19_GL0089378,21
gene_4320139,21
G1-1A_GL0096603,21
HF-F_4_GL0161762,21
G1-7A_GL0004722,21
G1-1A_GL0096551,21
gene_4164876,21
G1-1A_GL0096537,21
gene_3996218,21
MC-0-3_GL0008624,21
G1-1A_GL0002572,21
gene_3876445,21
gene_3352067,21
gene_4566746,21
MH-6-2_GL0113705,21
gene_3221436,21
gene_4566288,21
G1-1A_GL0021799,21
gene_3896904,21
gene_2256624,21
gene_2911028,21
gene_3391546,21
gene_4203002,21
G1-1A_GL0045914,21
10_GL0014574,21
G1-1A_GL0110335,21
G1-1A_GL0105392,21
MC-6-4_GL0042094,21
gene_4410467,21
gene_4075667,21
gene_4437273,21
gene_2892854,21
5-1_GL0019758,21
gene_3758893,21
gene_3740385,21
G1-1A_GL0002607,21
gene_3790399,21
gene_3947041,21
gene_3967408,21
gene_1416473,21
gene_3894563,21
gene_4329657,21
gene_3596412,21
G1-1A_GL0110295,21
G1-1A_GL0002606,21
gene_3740128,21
gene_4317560,20
gene_2489998,20
gene_4615338,20
gene_3918469,20
gene_4299283,20
gene_3567414,20
MC-6-4_GL0019901,20
gene_4416358,20
gene_3590518,20
G1-1A_GL0116775,20
gene_4309799,20
G1-1A_GL0045130,20
S-Fe3_GL0109292,20
gene_3461831,20
gene_4467509,20
S-Fe10_GL0156113,20
Chow_1_GL0265838,20
gene_3589527,20
38_GL0018349,20
NZ_CP021421.1_cds_WP_068961384.1_1419,20
gene_4310092,20
gene_3631341,20
gene_4279215,20
gene_3742710,20
gene_3942197,20
gene_4622830,20
gene_2803613,20
gene_3701764,20
gene_2953684,20
G1-1A_GL0117378,20
MC-6-2_GL0155679,20
gene_4529375,20
AF73-05_13_GL0136585,20
gene_3256291,20
gene_2657735,20
Food_11_GL0303805,20
S-Fe10_GL0000470,20
gene_4151035,20
gene_3215382,20
gene_4426836,20
gene_3968139,20
Food_13_GL0069898,20
gene_4542711,20
gene_3445319,20
gene_3885384,20
gene_2933446,20
gene_3314169,20
G1-1A_GL0117697,20
gene_3208292,20
gene_4513989,20
gene_2608277,20
gene_4333487,20
gene_4626142,20
gene_4036515,20
gene_4624028,20
G1-1A_GL0045798,20
G1-1A_GL0024426,20
gene_2658890,20
gene_4044965,20
G1-1A_GL0096467,20
gene_3159664,20
S-Fe10_GL0169410,20
gene_4220068,20
gene_4609872,20
gene_4018366,20
gene_3042132,20
gene_4383681,20
gene_3548732,20
gene_3395763,20
gene_4158416,20
G1-1A_GL0024847,20
gene_3477059,20
gene_3535619,20
AF73-05_3_GL0107163,20
gene_3032996,20
G1-1A_GL0024874,20
gene_4426755,20
MC-6-1_GL0032287,20
G1-1A_GL0100762,20
gene_3411483,20
G1-1A_GL0024427,19
MC-6-1_GL0009804,19
gene_4182919,19
G1-1A_GL0045786,19
gene_3230397,19
Chow_1_GL0063165,19
1-1_GL0137868,19
G1-1A_GL0096621,19
G1-1A_GL0096539,19
gene_3388185,19
gene_3875564,19
gene_2905495,19
gene_4497719,19
gene_4088308,19
gene_4117699,19
gene_3295111,19
gene_3343755,19
gene_2736075,19
gene_3247778,19
gene_4040747,19
gene_3545078,19
gene_3924911,19
gene_3746756,19
gene_4494409,19
gene_4021958,19
gene_3986306,19
MC-0-3_GL0069073,19
MH-0-5_GL0091196,19
gene_4611458,19
G1-1A_GL0105369,19
gene_3784095,19
gene_3880524,19
MH-0-4_GL0084777,19
gene_3452612,19
gene_3414630,19
gene_4105483,19
gene_4497716,19
gene_4612043,19
MC-6-1_GL0045596,19
MC-0-1_GL0047515,19
gene_3393630,19
gene_4153791,19
S-Fe1_GL0157828,19
Food_7_GL0173186,19
MC-0-1_GL0006095,19
G1-1A_GL0025000,19
gene_3870295,19
MC-6-2_GL0049581,19
gene_3913538,19
gene_4489862,19
gene_3340960,19
gene_4317122,19
gene_4160447,19
gene_3412541,19
gene_4019895,19
gene_4018401,19
G1-1A_GL0110339,19
MH-0-5_GL0036605,19
gene_4070299,19
G1-1A_GL0045853,19
gene_3335067,19
G1-1A_GL0024860,19
gene_4426549,19
gene_2176752,19
gene_2481200,19
gene_3534785,19
gene_4495266,19
G1-1A_GL0100827,19
gene_4139158,19
MC-0-1_GL0061690,19
gene_4265553,19
gene_4474117,19
G1-1A_GL0123444,19
S-Fe20_GL0162419,19
gene_4055708,19
gene_2974536,19
S-Fe11_GL0058787,18
S-Fe20_GL0129916,18
G1-1A_GL0106656,18
G1-1A_GL0095061,18
gene_3656140,18
S-Fe1_GL0066599,18
G1-1A_GL0021766,18
gene_4523717,18
gene_4500981,18
MC-0-3_GL0006425,18
gene_4053958,18
gene_3892935,18
S-Fe10_GL0074564,18
gene_4152129,18
MC-6-2_GL0019164,18
gene_4032535,18
G1-1A_GL0048802,18
G1-1A_GL0002602,18
G1-1A_GL0063365,18
NZ_CP021421.1_cds_WP_068960320.1_7,18
Food_11_GL0324242,18
gene_3474526,18
gene_4529292,18
S-Fe14_GL0055972,18
gene_4099366,18
G1-1A_GL0063250,18
gene_1131753,18
gene_3867818,18
gene_3241815,18
gene_3935885,18
G1-1A_GL0096578,18
gene_3157991,18
gene_3524799,18
G1-1A_GL0024954,18
gene_3267496,18
G1-1A_GL0096615,18
gene_4146198,18
HF-F_14_GL0221007,18
S-Fe10_GL0083864,18
gene_3331940,18
gene_3767204,18
G1-1A_GL0117345,18
G1-1A_GL0045111,18
gene_3128801,18
G1-1A_GL0045712,18
G1-1A_GL0105379,18
gene_3252853,18
gene_2195471,18
gene_3977405,18
gene_3852974,18
gene_4023847,18
gene_3991949,18
gene_4467399,18
16_GL0095700,18
G1-1A_GL0105376,18
MC-0-3_GL0073719,18
gene_4502224,18
G1-1A_GL0115444,18
MC-6-3_GL0067723,18
G1-1A_GL0045900,18
MC-0-3_GL0074395,18
gene_3929361,18
gene_4073708,18
gene_2596772,18
gene_3902442,18
gene_2855784,18
G1-1A_GL0095049,18
gene_4222118,18
gene_4625580,18
gene_4632783,18
gene_4436151,18
gene_4474926,18
gene_3886870,18
G1-1A_GL0096528,18
NZ_NHMU01000004.1_cds_WP_004291466.1_2542,18
gene_4634916,18
gene_4452723,18
G1-1A_GL0063349,18
gene_4534171,18
G1-1A_GL0063148,18
gene_4250014,18
gene_3584032,18
gene_4465933,18
gene_4603222,18
S-Fe11_GL0137963,17
gene_3720711,17
G1-1A_GL0100759,17
gene_3780972,17
gene_3000862,17
G1-1A_GL0096611,17
NZ_CP021421.1_cds_WP_068960396.1_2612,17
G1-1A_GL0024908,17
gene_2560333,17
G1-1A_GL0096563,17
G1-1A_GL0063143,17
MC-6-2_GL0070581,17
27_GL0067916,17
G1-1A_GL0117289,17
gene_4268601,17
MH-0-3_GL0005438,17
gene_4085699,17
gene_596108,17
gene_4403355,17
NZ_RAYW01000017.1_cds_WP_121699344.1_514,17
gene_4050456,17
gene_3576986,17
gene_4517282,17
gene_3782836,17
gene_2902355,17
gene_4516147,17
gene_4034273,17
gene_3930784,17
gene_2794778,17
gene_3684198,17
gene_4591505,17
S-Fe4_GL0035323,17
gene_3302001,17
G1-1A_GL0045812,17
gene_1943946,17
MH-0-5_GL0111771,17
S-Fe20_GL0116565,17
G1-1A_GL0025050,17
3-1_GL0007197,17
G1-1A_GL0096561,17
gene_4364448,17
gene_4089409,17
gene_3722245,17
MC-0-1_GL0057148,17
gene_3804073,17
gene_4434951,17
gene_4304251,17
gene_3016781,17
gene_3547394,17
gene_3483168,17
gene_4463221,17
G1-1A_GL0024980,17
gene_3970794,17
gene_3651666,17
S-Fe11_GL0009907,17
gene_2855783,17
MC-6-1_GL0002555,17
G1-1A_GL0110393,17
G1-1A_GL0110337,17
G1-1A_GL0045951,17
gene_3700930,17
gene_4604030,17
gene_4546409,17
gene_4243904,17
gene_4157882,17
S-Fe13_GL0045943,17
Chow_4_GL0077064,17
G1-1A_GL0115487,17
gene_4375746,17
gene_4095929,17
DSM22607_4_GL0340256,17
G1-1A_GL0063255,17
gene_4118449,17
10_GL0055281,17
MC-6-3_GL0041688,17
G1-1A_GL0096475,17
G1-1A_GL0096597,17
S-Fe11_GL0112354,17
gene_4573738,17
gene_4304252,17
MH-0-5_GL0147350,17
gene_3986654,17
gene_4059909,17
S-Fe11_GL0119272,17
MC-6-3_GL0041580,17
G1-1A_GL0045994,17
gene_3793510,17
gene_3862165,17
Chow_1_GL0121821,17
gene_3789039,17
gene_3553954,17
gene_2986687,17
gene_2187112,17
S-Fe5_GL0022091,17
gene_4406399,17
S-Fe10_GL0080522,17
S-Fe11_GL0145196,17
MC-0-1_GL0049508,17
G1-1A_GL0021810,17
G1-1A_GL0110272,17
gene_3940284,17
G1-1A_GL0024889,17
MH-0-5_GL0066007,17
G1-1A_GL0096458,17
gene_4321182,17
gene_3873906,17
gene_2736174,17
20_GL0136251,17
gene_4222121,17
gene_4443786,17
G1-1A_GL0002632,17
MC-6-2_GL0084683,16
G1-1A_GL0112696,16
gene_4001575,16
NZ_RAYW01000017.1_cds_WP_121699330.1_499,16
Chow_1_GL0063168,16
37_GL0064027,16
MC-0-1_GL0006728,16
MC-6-2_GL0175829,16
gene_4513576,16
G1-1A_GL0024959,16
G1-1A_GL0002605,16
gene_4087327,16
G1-1A_GL0096509,16
gene_2907312,16
gene_2115899,16
gene_3994098,16
gene_4458882,16
S-Fe16_GL0073695,16
G1-1A_GL0058899,16
G1-1A_GL0021745,16
gene_3823488,16
gene_4395000,16
gene_4214772,16
G1-1A_GL0117681,16
G1-1A_GL0045123,16
G1-1A_GL0063289,16
4-3_GL0010151,16
G1-1A_GL0075946,16
gene_3878529,16
gene_2836625,16
HF-F_4_GL0100191,16
13_GL0016304,16
gene_3731283,16
G1-1A_GL0002553,16
G1-1A_GL0110264,16
gene_3656090,16
MH-0-5_GL0037723,16
MC-6-4_GL0104893,16
G1-1A_GL0108594,16
G1-1A_GL0063314,16
7-5_GL0099515,16
gene_4330947,16
NZ_RAYW01000014.1_cds_WP_107036333.1_286,16
MC-0-3_GL0064293,16
G1-1A_GL0045088,16
gene_4422374,16
S-Fe11_GL0145197,16
G1-1A_GL0045942,16
gene_4155791,16
gene_4044582,16
gene_4542087,16
G1-1A_GL0063157,16
G1-1A_GL0045740,16
G1-1A_GL0058896,16
gene_4193219,16
S-Fe1_GL0099496,16
1-5_GL0022584,16
gene_2659887,16
gene_2347056,16
S-Fe19_GL0086017,16
gene_3913539,16
MH-0-4_GL0088579,16
G1-1A_GL0024446,16
gene_3831705,16
G1-1A_GL0110284,16
gene_3431941,16
gene_4389477,16
NZ_RAYW01000014.1_cds_WP_121699163.1_330,16
Chow_7_GL0265330,16
gene_3247777,16
G1-1A_GL0021777,16
gene_3536024,16
gene_3573521,16
G1-1A_GL0063155,16
G1-1A_GL0024898,16
gene_3910325,16
MC-6-2_GL0033714,16
MC-0-3_GL0029366,16
MH-0-4_GL0094723,16
gene_4609966,16
gene_3868655,16
gene_3244653,16
gene_4353641,16
G1-1A_GL0045788,16
G1-1A_GL0021764,16
gene_3675437,16
gene_3087960,16
gene_2736325,16
gene_4384708,16
gene_2865884,16
G1-1A_GL0063300,16
gene_4261888,16
gene_2507054,16
10_GL0027449,16
gene_3037891,16
gene_3259552,16
gene_3264320,16
gene_4249474,16
gene_3441609,16
MC-6-1_GL0108852,16
G1-1A_GL0045085,16
gene_3616270,16
G1-1A_GL0096527,16
1-2_GL0023132,16
HF-S_10_GL0047774,16
gene_3293886,16
gene_3830070,16
OB-1_13_GL0316445,16
gene_3930336,16
gene_4467506,16
MH-0-5_GL0078250,16
Food_6_GL0263129,16
gene_4220646,16
gene_3433147,16
6_GL0010793,16
gene_3979470,16
gene_4255344,16
Chow_1_GL0174922,16
Food_3_GL0020787,16
gene_1796288,16
S-Fe1_GL0003747,16
gene_3520790,16
gene_4562190,16
MC-0-3_GL0053469,16
gene_1930568,16
gene_2688324,16
G1-1A_GL0021783,16
gene_3789038,16
G1-1A_GL0045080,16
gene_2214311,15
MC-6-1_GL0027925,15
MC-0-3_GL0072287,15
gene_4385236,15
G1-1A_GL0045833,15
G1-1A_GL0024423,15
gene_3940249,15
gene_3729740,15
gene_4321820,15
S-Fe10_GL0170665,15
NZ_CP021421.1_cds_WP_084274093.1_1451,15
gene_3098645,15
gene_4557870,15
gene_4618044,15
gene_4489830,15
MC-6-2_GL0181323,15
MC-6-2_GL0030322,15
G1-1A_GL0112701,15
G1-1A_GL0096610,15
G1-1A_GL0048776,15
G1-1A_GL0024933,15
gene_3289797,15
gene_4413072,15
gene_3211338,15
AF73-05_13_GL0162590,15
gene_3125965,15
gene_4435122,15
gene_3557530,15
gene_4556934,15
MC-0-3_GL0014157,15
gene_2545589,15
gene_4334077,15
gene_3821375,15
gene_4520153,15
gene_3377577,15
gene_4363576,15
gene_4168454,15
S-Fe19_GL0038247,15
G1-1A_GL0100813,15
gene_4601967,15
G1-1A_GL0024839,15
G1-1A_GL0063211,15
gene_4096662,15
gene_3824923,15
1-7_GL0102960,15
G1-1A_GL0021746,15
G1-1A_GL0048782,15
gene_3544107,15
G1-1A_GL0096523,15
gene_2794975,15
MH-0-3_GL0001600,15
gene_4241412,15
gene_3987824,15
gene_3825579,15
gene_3979507,15
Food_4_GL0025272,15
G1-1A_GL0063212,15
gene_3217844,15
G1-1A_GL0063254,15
gene_4137143,15
gene_4069655,15
MC-0-1_GL0071297,15
G1-1A_GL0021809,15
gene_4392938,15
G1-1A_GL0002548,15
S-Fe13_GL0007921,15
G1-1A_GL0024435,15
Group2-6A_GL0114696,15
MC-0-1_GL0082244,15
gene_4086729,15
NZ_RAYH01000003.1_cds_WP_002529970.1_670,15
gene_3217843,15
MC-0-1_GL0064063,15
gene_3781212,15
G1-1A_GL0117685,15
gene_4308400,15
gene_4509529,15
Group2-6A_GL0145582,15
G1-1A_GL0021747,15
G1-1A_GL0063278,15
gene_3144828,15
S-Fe20_GL0097097,15
gene_4265295,15
gene_2687372,15
gene_3558225,15
gene_3927344,15
gene_2798255,15
G1-1A_GL0114007,15
G1-1A_GL0100764,15
1-7_GL0000267,15
gene_4593702,15
S-Fe10_GL0169409,15
S-Fe10_GL0143013,15
G1-1A_GL0024883,15
gene_4180576,15
G1-1A_GL0063165,15
gene_4225054,15
