gene,donor_3_jejunum
HF-F_4_GL0327569,67
gene_4466754,67
3-1_GL0007197,67
gene_4333487,67
gene_3615601,67
gene_3395763,67
gene_4378487,67
gene_3264320,67
gene_4624028,67
gene_1873664,67
gene_2762763,67
gene_2953684,67
gene_4250014,66
gene_4320139,66
gene_3576352,66
gene_4044965,66
gene_4432102,66
gene_3862165,66
gene_3314169,66
gene_4542711,66
gene_4595680,65
gene_3869673,65
gene_4505036,65
gene_2217371,65
AF73-05_11_GL0139532,65
gene_3147416,65
gene_4520153,65
gene_4406399,65
gene_3986867,65
gene_3876445,65
gene_4467509,65
gene_4320912,65
gene_4466755,65
gene_4633058,65
NZ_KB822405.1_cds_1062,65
gene_3203715,65
gene_3701764,65
gene_4216701,65
gene_4612043,65
NZ_QZFR01000033.1_cds_WP_129303273.1_1095,64
gene_4542301,64
gene_4546409,64
gene_3758893,64
gene_3913538,64
gene_3461831,64
gene_4392070,64
gene_4420533,64
gene_4633740,64
gene_3866419,64
gene_2905495,64
gene_4222121,64
gene_4615338,64
gene_4158416,64
gene_4501677,64
gene_3433147,64
gene_3295111,63
gene_4329657,63
gene_3048704,63
gene_3555335,63
HF-F_5_GL0236371,63
Food_13_GL0007680,63
gene_3631341,63
S-Fe5_GL0121003,63
gene_3032996,63
gene_4279215,63
gene_2657735,63
gene_3452612,63
gene_4500981,63
gene_3873906,63
gene_3149382,63
gene_4179326,63
gene_4447285,62
gene_3705808,62
gene_4142584,62
gene_3377575,62
gene_3016781,62
gene_3211338,62
gene_3385642,62
gene_2596772,62
gene_4046817,62
gene_4585997,62
gene_4467399,62
gene_4153792,62
gene_4433565,62
gene_4489862,62
gene_4009535,61
gene_3391546,61
gene_4032535,61
gene_3588999,61
gene_1958653,61
gene_4416358,61
gene_3536024,61
gene_3209101,61
gene_3520790,61
gene_4458882,61
gene_3968139,61
gene_4566746,61
2A-dyr14-06_GL0031301,61
gene_3178395,61
gene_3569353,61
gene_4632305,61
gene_4426549,61
S-Fe10_GL0022181,61
S-Fe1_GL0073798,61
gene_3836959,61
gene_4346760,61
32_GL0064265,60
gene_2902355,60
gene_3896904,60
gene_3213901,60
gene_4023847,60
gene_4220068,60
gene_3208292,60
gene_3374861,60
gene_3221436,60
gene_4471536,60
gene_4474935,60
gene_4616863,60
gene_3431941,59
gene_3589527,59
gene_4034273,59
gene_3934547,59
gene_3996218,59
gene_4502224,59
gene_3600794,59
gene_3230397,59
gene_3572156,59
gene_4258902,59
gene_3992728,59
gene_3986306,59
gene_4443786,59
gene_4021958,59
gene_4108300,59
gene_3335067,59
gene_4403355,59
gene_4299436,59
gene_4474117,58
gene_3545078,58
gene_3277055,58
gene_3414630,58
gene_4513989,58
gene_4265317,58
gene_3176526,58
gene_2653875,58
DSM22607_4_GL0340256,58
gene_4169428,58
gene_4394211,58
gene_3979507,58
NZ_QWMU01000190.1_cds_523,57
gene_2560333,57
gene_4383681,57
gene_3918469,57
gene_3977405,57
gene_3767204,57
gene_3331940,57
gene_3343755,57
gene_4315453,57
gene_4463221,57
gene_2986687,57
S-Fe1_GL0040899,57
gene_4036360,57
gene_4566288,57
gene_4604285,56
gene_3646316,56
gene_2839179,56
2A-dyr14-07_GL0028548,56
gene_2736075,56
gene_4485092,56
gene_2876811,56
gene_4088307,56
gene_1924892,56
gene_4606530,56
gene_4474926,56
gene_3913077,56
gene_4118449,56
gene_3875564,56
gene_4139158,55
gene_3241815,55
gene_3638660,55
gene_4509529,55
gene_3970794,55
gene_4383761,55
gene_4153442,55
gene_4413039,55
gene_3746756,55
gene_3940284,55
gene_3128801,55
gene_3596412,55
gene_4263639,55
gene_4562190,55
gene_3008714,55
2A-dyr14-07_GL0029426,55
gene_3929361,55
gene_4160447,55
gene_4632783,55
gene_3412541,54
gene_4051738,54
gene_3940249,54
gene_3894563,54
gene_3256291,54
gene_3598423,54
gene_4044582,54
gene_4598259,54
gene_2933446,54
gene_4253810,54
gene_4353641,54
gene_4504041,54
gene_3784095,54
gene_4090523,54
gene_4249474,54
gene_4437273,54
2-1_GL0070662,54
gene_4050456,54
gene_4580872,54
gene_4603222,53
gene_4591505,53
gene_4629454,53
gene_3217844,53
gene_3675602,53
gene_4375746,53
gene_3252853,53
gene_3724218,53
gene_2794975,53
gene_3991949,53
gene_4317560,53
gene_3700930,53
gene_4422374,53
gene_4085699,53
gene_3867818,53
gene_4222118,53
gene_4634916,53
gene_2736174,53
gene_3576986,52
gene_3247778,52
gene_4157882,52
gene_4544228,52
NZ_KB822413.1_cds_WP_004040345.1_466,52
gene_2481200,52
gene_3087960,52
gene_4153791,52
gene_3824923,52
gene_3049061,52
gene_2476697,52
gene_4434951,52
gene_3924911,52
gene_4573738,52
gene_3474526,52
gene_3544107,51
gene_4018366,51
gene_3980224,51
gene_4611458,51
gene_2115899,51
5-4_GL0092962,51
gene_3340960,51
gene_3684198,51
gene_4217315,51
gene_3361261,51
gene_3154619,51
gene_4120103,51
gene_3651666,51
HF-F_5_GL0142028,51
gene_4241412,51
gene_4492526,51
gene_2855783,51
gene_3136800,51
gene_3393630,51
gene_3470408,51
gene_3944013,50
gene_2658890,50
gene_3314902,50
gene_4147143,50
gene_3656090,50
gene_3992708,50
gene_4517282,50
gene_4513576,50
gene_3789039,50
gene_3880524,50
gene_1796288,50
gene_2658003,50
gene_3978143,50
2A-dyr13-07_GL0042069,50
2-1_GL0083242,50
gene_2677191,50
gene_3935885,50
gene_4209155,50
gene_4183762,50
gene_4529292,50
gene_3945907,50
gene_4317122,50
gene_4448664,50
gene_4053958,49
gene_4304252,49
gene_4018401,49
gene_3986654,49
gene_2382596,49
gene_3535619,49
gene_4070299,49
gene_4494409,49
gene_4172081,49
NZ_QWMU01000163.1_cds_WP_004047540.1_399,49
gene_4160203,49
gene_3302001,49
gene_4310092,49
gene_4540214,49
gene_4152129,49
gene_3511474,49
gene_4055708,49
gene_3247777,49
gene_3886870,49
gene_4481405,49
gene_4626142,49
gene_3388185,49
MC-0-3_GL0010404,49
gene_3793510,49
gene_4489830,48
gene_3352067,48
gene_3317329,48
gene_2507054,48
gene_3419734,48
gene_4609966,48
gene_4258310,48
gene_4216838,48
gene_3805266,48
gene_2489998,48
gene_2688324,48
gene_4225054,48
gene_4096662,48
gene_4568437,48
gene_3501541,48
gene_3110449,48
gene_4465933,48
gene_2974536,48
gene_4309799,48
gene_4325086,47
gene_4214772,47
gene_4395000,47
gene_4601967,47
49_GL0059479,47
gene_4089261,47
HF-F_10_GL0015283,47
gene_3996528,47
gene_3617341,47
gene_3910325,47
gene_3244653,47
gene_2855784,47
gene_4304251,47
gene_3217843,47
gene_4485091,47
gene_4523717,47
gene_3229695,47
gene_3729740,47
gene_4483988,47
gene_3740385,47
gene_3902442,47
Food_12_GL0076585,47
HF-S_6_GL0088379,46
gene_3635121,46
gene_3781212,46
gene_3804073,46
gene_3477282,46
22_GL0020727,46
gene_4087327,46
gene_4497716,46
gene_4182919,46
gene_4103029,46
gene_3905031,46
gene_4019895,46
gene_3408849,46
gene_3930336,46
gene_4426836,46
gene_4540508,46
gene_4436151,46
gene_3544564,46
gene_4040747,46
gene_3656140,46
gene_4334389,46
gene_4128623,46
OB-1_3_GL0039883,46
gene_4016255,46
gene_3885384,46
gene_4095929,46
15_GL0165442,46
gene_3558225,46
gene_4308400,45
gene_4499699,45
gene_3913539,45
gene_4419114,45
gene_3583194,45
gene_2347056,45
gene_4497719,45
4_GL0044334,45
gene_3532645,45
gene_4137251,45
gene_3992196,45
gene_1943946,45
gene_4086729,45
gene_4392938,45
gene_4622483,45
gene_4516147,45
gene_3823488,45
AF73-05_9_GL0295643,45
gene_4001575,44
gene_4557870,44
gene_3780972,44
gene_2938602,44
S-Fe13_GL0023617,44
gene_4330948,44
S-Fe19_GL0077077,44
gene_3576356,44
gene_2794778,44
gene_4542087,44
gene_3170172,44
gene_4107239,44
gene_3892935,44
gene_3521261,44
gene_4358652,44
gene_4363576,44
OB-1_12_GL0052372,44
gene_4105483,44
gene_4321182,44
gene_4495266,44
gene_4168454,44
5-3_GL0033371,44
gene_3942197,43
S-Fe20_GL0097097,43
MH-0-5_GL0035760,43
gene_3300666,43
Group2-5A_GL0028387,43
gene_4625580,43
gene_4408105,43
gene_4513875,43
NZ_QZFR01000128.1_cds_WP_129303376.1_226,43
gene_4216341,43
OB-1_12_GL0198340,43
gene_4364448,43
gene_4155791,43
gene_4003577,43
gene_4117699,43
gene_3377577,43
gene_2844581,42
gene_3720711,42
MH-6-1_GL0104095,42
5-4_GL0051291,42
gene_3979470,42
gene_2659887,42
gene_3557530,42
gene_4411418,42
gene_4073708,42
gene_3998040,42
gene_4628276,42
gene_3443561,42
gene_4308971,42
gene_3986267,42
gene_2777823,42
gene_4130003,42
gene_4255344,42
gene_3994098,42
gene_3020502,42
gene_3740383,42
gene_3570235,42
gene_4334388,42
gene_3293886,42
gene_4089409,42
gene_3911803,42
MC-0-3_GL0068192,41
gene_4586186,41
gene_3675601,41
gene_4179817,41
gene_3267496,41
gene_3524799,41
NZ_NHMT01000001.1_cds_1385,41
gene_3000862,41
36_GL0032623,41
1A-dyr1-07_GL0005832,41
gene_3675437,41
gene_4563513,41
gene_3913946,41
gene_4306960,41
gene_4099366,41
HF-F_6_GL0172389,41
gene_4021954,41
gene_3878529,41
gene_4282880,41
gene_3293038,41
gene_4445564,41
gene_4213680,41
gene_4467506,41
gene_1930568,41
gene_4159504,41
gene_3259552,41
gene_3818620,41
gene_4410001,41
gene_4073625,40
DSM22607_7_GL0287409,40
gene_4382686,40
gene_4252529,40
gene_4612983,40
gene_3405831,40
gene_3782941,40
gene_2651766,40
gene_4609872,40
gene_3098645,40
OB-1_13_GL0316445,40
gene_4149989,40
gene_4137143,40
gene_3789038,40
gene_4096958,40
gene_4116340,40
gene_3144828,40
gene_4503882,40
gene_4157349,40
gene_3852974,40
gene_2588043,40
gene_3649966,40
gene_4059909,40
gene_4261888,40
gene_3009815,40
gene_2907312,39
gene_3649676,39
gene_4409338,39
gene_3271895,39
gene_4618044,39
gene_4593702,39
gene_4435122,39
gene_4003123,39
gene_3731283,39
gene_3312054,39
gene_3566700,39
gene_3866491,39
NZ_KB822402.1_cds_WP_004048153.1_525,39
gene_3930784,39
gene_3985860,39
gene_4265295,39
gene_3485290,39
gene_3052508,39
gene_3742710,39
gene_4548236,39
gene_3790399,39
S-Fe4_GL0056052,39
gene_4067681,38
gene_3928646,38
gene_4320137,38
gene_4330947,38
34_GL0028759,38
AF73-05_11_GL0368674,38
gene_3873057,38
gene_2836625,38
gene_2947255,38
1-4_GL0056533,38
gene_4438282,38
9_GL0035165,38
gene_4385236,38
gene_3359669,38
AF73-05_1_GL0000989,38
gene_2828118,38
gene_4378040,38
gene_3249762,38
gene_2398524,38
NZ_KB822413.1_cds_WP_004040023.1_311,38
gene_4387186,38
gene_2398525,38
gene_3947896,38
gene_4430403,38
gene_2256624,38
gene_3611881,37
gene_4348081,37
gene_4452723,37
gene_4218354,37
gene_4321906,37
gene_4485093,37
gene_3987824,37
gene_2788973,37
gene_3659756,37
gene_4042559,37
gene_3045510,37
gene_3917252,37
gene_4556934,37
gene_4180576,37
gene_4040375,37
gene_4470406,37
gene_2400855,37
gene_2658889,37
gene_3138143,37
NZ_NHMT01000001.1_cds_WP_089413509.1_803,37
gene_4268601,37
gene_3870295,37
gene_4299283,37
gene_2847653,37
gene_3830070,36
gene_3508106,36
gene_3782836,36
gene_3339741,36
gene_4334077,36
gene_3768885,36
41_GL0046965,36
gene_2195471,36
gene_2865884,36
gene_4121122,36
gene_4200727,36
gene_4290880,36
gene_4373937,36
gene_3387999,36
gene_3878528,36
gene_3558226,36
gene_3868655,36
gene_4372256,36
NZ_NHMT01000001.1_cds_1405,36
gene_4456613,36
gene_3887703,36
gene_3825579,36
gene_4611670,36
2-1_GL0100989,36
NZ_QWMU01000036.1_cds_WP_119448296.1_1076,36
gene_3151781,36
gene_4021415,36
gene_4030929,36
NZ_QZFR01000021.1_cds_WP_129303254.1_748,36
gene_4280827,36
gene_4385476,36
gene_4274409,36
gene_4123435,36
gene_4149240,36
gene_3468031,36
gene_2807308,35
gene_3867072,35
gene_4287837,35
gene_3876300,35
gene_4616818,35
gene_4131554,35
gene_3821375,35
gene_3331026,35
gene_4384708,35
gene_3611523,35
gene_4321820,35
13_GL0087157,35
gene_3754341,35
gene_3762862,35
gene_3655250,35
gene_4609967,35
gene_3700585,35
gene_4242693,35
gene_3497191,35
gene_3845096,35
gene_3396364,35
gene_2027438,35
gene_4609410,35
gene_4273368,35
gene_4443788,35
gene_4222117,35
1A-dyr5-06_GL0006028,35
gene_3766364,35
gene_3452368,35
gene_3656089,35
gene_3209751,35
gene_3193677,35
gene_2988423,35
gene_4298553,35
gene_3552768,34
gene_4513990,34
gene_4370922,34
gene_4088308,34
gene_4596036,34
S-Fe11_GL0106711,34
gene_3992068,34
gene_3616270,34
NZ_KB822405.1_cds_763,34
gene_2942453,34
gene_2687372,34
gene_4546130,34
gene_4517630,34
gene_3422190,34
4-6_GL0089792,34
gene_3653030,34
gene_4239190,34
gene_4419666,34
gene_4602238,34
gene_4218945,34
gene_4369416,34
gene_4528749,34
gene_4286467,34
gene_3517306,34
gene_3545699,34
gene_2907468,34
Chow_6_GL0266693,34
gene_2891827,34
gene_2982674,34
gene_4574726,34
gene_4006072,34
gene_4069655,34
gene_4140834,34
gene_2892854,34
4-4_GL0084790,34
gene_2583973,34
gene_3457766,33
gene_2775055,33
gene_4630560,33
gene_3748570,33
gene_4367107,33
gene_3905500,33
4-4_GL0027947,33
7-4_GL0094222,33
gene_3962232,33
gene_3839277,33
gene_4009128,33
Group2-3A_GL0051891,33
gene_3830681,33
gene_2862595,33
S-Fe11_GL0106713,33
23_GL0085295,33
gene_4529695,33
51_GL0044841,33
gene_3736960,33
gene_3831705,33
gene_4605923,33
NZ_NHMT01000001.1_cds_WP_065532624.1_719,33
gene_2517279,33
gene_3763409,33
gene_4089602,33
gene_3574475,33
gene_4577249,33
gene_3391813,33
gene_4146844,33
gene_4059907,33
gene_3447360,33
gene_3629582,32
gene_3487708,32
gene_4097100,32
S-Fe15_GL0005053,32
gene_3727693,32
gene_3684338,32
S-Fe3_GL0019425,32
gene_3431942,32
gene_4062857,32
gene_4254653,32
gene_3699416,32
gene_3907982,32
gene_3061537,32
gene_4484764,32
gene_4280128,32
gene_4239563,32
gene_4207199,32
gene_2889990,32
gene_4146198,32
gene_4452467,32
gene_3989393,32
gene_3335066,32
gene_3902595,32
S-Fe11_GL0105764,32
gene_3971172,32
gene_3053565,32
gene_4007919,32
gene_2748605,32
gene_3548732,32
gene_3533367,32
gene_4058617,32
gene_3573521,32
gene_3755259,32
gene_3992082,32
gene_4203263,31
gene_3537520,31
gene_4303071,31
gene_4473652,31
gene_3963734,31
28_GL0099638,31
gene_4623429,31
gene_4502189,31
gene_3432626,31
gene_4080173,31
gene_4244866,31
gene_3584032,31
gene_4179816,31
gene_4107753,31
gene_4131553,31
gene_4037308,31
gene_3363935,31
gene_3314903,31
gene_4511433,31
gene_3736800,31
S-Fe16_GL0051592,31
gene_4471081,31
gene_1967999,31
gene_4218946,31
2-1_GL0105431,31
gene_3748625,31
gene_3878289,31
gene_3761497,31
gene_3238698,31
gene_3245032,31
gene_3672159,31
gene_4080231,31
2A-dyr13-07_GL0001361,31
gene_4347666,30
gene_3958335,30
gene_4412464,30
gene_1228123,30
gene_2671473,30
gene_4536110,30
gene_4592081,30
gene_4231946,30
gene_3407586,30
gene_3900615,30
11_GL0076861,30
gene_4584189,30
gene_3688415,30
Food_10_GL0086541,30
5_GL0124770,30
gene_3835875,30
gene_4215772,30
gene_4079729,30
gene_3269065,30
gene_4070916,30
gene_2545589,30
gene_4337085,30
gene_3825342,30
gene_3386808,30
gene_4096066,29
gene_4529699,29
gene_4279060,29
gene_3021138,29
gene_4441498,29
gene_3515995,29
AF73-05_13_GL0295196,29
gene_3955079,29
G1-2A_GL0049480,29
gene_3738895,29
gene_4631409,29
gene_4174320,29
gene_3483168,29
gene_4578517,29
gene_3776251,29
gene_4417977,29
gene_3752730,29
gene_4348083,29
gene_4322121,29
gene_4615339,29
gene_4399332,29
45_GL0014985,29
gene_4018213,29
gene_3864697,29
gene_3183669,29
gene_3647451,29
gene_4449784,29
HF-F_1_GL0064221,29
gene_4128625,28
7-7_GL0111423,28
gene_4480420,28
gene_3701333,28
gene_2607478,28
gene_4327639,28
gene_4291186,28
gene_4369391,28
gene_2843767,28
gene_4032220,28
gene_4389477,28
gene_3395345,28
gene_3016196,28
gene_3847533,28
gene_3811264,28
S-Fe10_GL0108577,28
gene_4426395,28
16_GL0081053,28
gene_3812130,28
gene_4374499,28
2A-dyr13-07_GL0014760,28
26_GL0133170,28
MC-0-1_GL0018075,28
gene_3880134,28
Chow_4_GL0059589,28
gene_3366673,28
gene_4477387,27
14_GL0091578,27
gene_4500980,27
gene_3942185,27
gene_4505499,27
gene_269703,27
gene_3723278,27
gene_3208633,27
NZ_NHMT01000001.1_cds_WP_065533539.1_943,27
gene_3070147,27
gene_4401953,27
gene_1797084,27
gene_4520504,27
gene_3743822,27
gene_4483442,27
S-Fe19_GL0002935,27
gene_3637357,27
gene_4317493,27
gene_4564532,27
gene_3846320,27
gene_3716832,27
gene_3250146,27
gene_2748457,27
gene_2436565,27
gene_4343613,27
gene_3367050,27
gene_2554634,27
gene_3939574,27
gene_3524792,27
gene_3424683,27
S-Fe11_GL0087890,27
1A-dyr4-07_GL0094500,27
gene_3902141,27
Group2-8A_GL0122825,27
gene_3638608,27
gene_4094560,27
gene_4545438,27
gene_2862090,27
4-1_GL0009368,27
gene_3747117,27
MH-6-5_GL0074431,27
gene_4109179,27
gene_3594870,27
gene_4181468,27
S-Fe10_GL0145664,27
gene_4099202,27
gene_3411395,27
gene_3321131,27
gene_3910328,27
25_GL0073771,27
NZ_KB822434.1_cds_WP_004045039.1_1201,27
gene_2444072,27
gene_3539774,27
gene_4561586,26
gene_3534883,26
gene_3209099,26
gene_4445774,26
gene_4187980,26
S-Fe16_GL0079807,26
gene_4095762,26
gene_2264954,26
gene_4523371,26
gene_3624994,26
gene_4451134,26
gene_3801155,26
gene_4132911,26
Chow_6_GL0176861,26
gene_4546408,26
gene_3920429,26
gene_4270176,26
gene_3016197,26
AF73-05_8_GL0424603,26
gene_4566159,26
gene_4093542,26
2-3_GL0102763,26
gene_4435123,26
gene_3878339,26
gene_3426084,26
S-Fe10_GL0138032,26
gene_2197877,26
MH-0-5_GL0035761,26
gene_3240042,26
gene_3896782,26
gene_4543219,26
gene_4573431,26
gene_4556371,26
S-Fe16_GL0016063,26
gene_2762206,26
gene_3237970,26
S-Fe8_GL0018695,25
gene_3903189,25
gene_4421702,25
gene_2612009,25
gene_3723759,25
gene_4259368,25
gene_4238894,25
gene_4584894,25
gene_3835586,25
S-Fe14_GL0010621,25
gene_3225670,25
gene_3241222,25
gene_4214790,25
gene_3858975,25
5-4_GL0024067,25
gene_4350987,25
gene_4013034,25
gene_4592080,25
gene_3015770,25
gene_3730822,25
gene_2497116,25
gene_4269533,25
S-Fe10_GL0024528,25
gene_3365398,25
55_GL0056743,25
2-8_GL0014320,25
gene_2479644,25
NZ_QWMU01000027.1_cds_WP_081610242.1_845,25
gene_4214791,25
gene_4488023,25
gene_4161604,25
gene_4528196,25
gene_3823417,25
gene_4236880,25
gene_3791658,25
gene_3877458,25
gene_2668423,25
gene_4105546,25
HF-S_9_GL0271581,25
gene_4483276,25
gene_4246071,25
gene_2791557,25
gene_3546743,24
gene_3796816,24
gene_2836867,24
gene_4442437,24
gene_4499199,24
gene_1434206,24
gene_4157725,24
gene_4103682,24
gene_4335671,24
gene_3205533,24
gene_3434320,24
gene_4572013,24
S-Fe17_GL0047865,24
gene_4241568,24
HF-F_4_GL0315444,24
2B-dyr24-07_GL0007154,24
gene_3788613,24
gene_2804138,24
gene_4237576,24
S-Fe16_GL0061303,24
gene_4622913,24
gene_4235718,24
gene_3853186,24
NZ_NHMT01000001.1_cds_WP_003663607.1_59,24
gene_3768640,24
gene_4152213,24
gene_3664881,24
gene_4525919,24
gene_4039328,24
