gene,postFMT_4_cecum
gene_3616270,20
gene_3545078,20
gene_3967408,20
gene_4562190,20
gene_3536024,20
gene_3781212,20
gene_4416358,20
gene_3635121,20
gene_4494409,20
gene_3986867,20
gene_3992196,20
gene_3461831,20
gene_2507054,20
gene_2476697,20
gene_4043077,20
gene_4467509,20
gene_2855783,20
gene_4160447,20
gene_4466754,20
gene_4353641,20
gene_3992708,20
gene_3631341,20
gene_4483277,20
gene_3339741,20
gene_4153791,20
gene_2905495,20
gene_4252529,20
gene_4130003,20
gene_3128801,20
gene_4051738,20
gene_4513875,20
gene_4534171,20
gene_4437273,20
gene_3244653,20
gene_3651666,20
gene_3159664,20
gene_4315453,20
gene_4265317,20
gene_3221436,20
gene_3241815,20
gene_2588043,20
gene_3247777,20
gene_2596772,20
gene_4065008,20
gene_4634916,19
gene_3414790,19
gene_3314169,19
gene_3154619,19
gene_3576352,19
gene_4615338,19
gene_4217315,19
gene_4346760,19
gene_2115899,19
gene_4502224,19
gene_4517282,19
gene_4611458,19
gene_3868655,19
gene_3452368,19
gene_3300666,19
gene_4117699,19
gene_4363576,19
gene_3217843,19
gene_3767204,19
gene_4095929,19
gene_4503882,19
gene_1943946,19
gene_3433147,19
gene_4290880,19
gene_3393630,19
gene_1873664,19
gene_3991949,19
gene_2382596,19
gene_4019895,19
gene_3483168,19
gene_4241412,19
gene_4009128,19
gene_3831705,19
gene_3824923,19
gene_4433565,19
gene_3646316,19
gene_4443786,19
gene_4085699,19
gene_2982674,19
gene_3970794,19
gene_4032535,18
gene_3789039,18
gene_3431941,18
gene_4598259,18
gene_4394211,18
gene_3477282,18
gene_4088307,18
gene_4452723,18
gene_4367107,18
gene_4422374,18
gene_3867818,18
gene_3729740,18
gene_3147416,18
gene_3913077,18
gene_3656140,18
gene_4625580,18
gene_3996218,18
gene_3412541,18
gene_3873906,18
gene_3576986,18
gene_3789038,18
gene_4544228,18
gene_3684198,18
gene_4147143,18
gene_3211338,18
gene_2583973,18
gene_4499699,18
gene_4250014,18
gene_4096662,18
gene_3913539,18
gene_3793510,18
gene_3880524,18
gene_4108300,18
gene_2687372,18
gene_4603222,18
gene_4023847,18
gene_2481200,18
gene_4287915,18
gene_4157882,18
gene_3924911,18
gene_4021958,18
gene_4497719,18
gene_3249762,17
gene_3252853,17
gene_3110449,17
gene_3672159,17
gene_2836625,17
gene_3986654,17
gene_3930784,17
gene_4458882,17
gene_4040747,17
gene_3716832,17
gene_3790399,17
gene_4018213,17
gene_3361261,17
gene_3885384,17
gene_4172081,17
gene_2794778,17
gene_4258310,17
gene_4626142,17
gene_4151035,17
gene_4542711,17
gene_2736075,17
gene_4089261,17
gene_3818620,17
gene_3913538,17
gene_4542301,17
gene_4536110,17
gene_3230397,17
gene_4347666,17
gene_4330947,17
gene_3388185,17
gene_4566746,17
gene_4253613,17
gene_4214772,17
gene_3573521,17
gene_4604285,17
gene_3902442,17
gene_4483276,17
gene_4546130,16
gene_4317560,16
gene_3521261,16
gene_4419114,16
gene_3267496,16
gene_3649966,16
gene_3535619,16
gene_4622913,16
gene_4495266,16
gene_4358652,16
gene_3823488,16
gene_4123435,16
gene_3016197,16
gene_3811264,16
gene_4451134,16
gene_3979507,16
gene_4120103,16
gene_3501541,16
gene_4099366,16
gene_3020502,16
gene_2794975,16
gene_3544107,16
gene_4034273,16
gene_4465933,16
gene_3208633,16
gene_4474117,16
gene_4322121,16
gene_3978143,16
gene_3558225,16
gene_4179817,16
gene_4073708,16
gene_4089409,16
gene_3617341,16
gene_2892854,16
gene_4216341,16
gene_3443561,16
gene_4018401,16
gene_3331026,16
gene_3980224,16
gene_4485091,16
gene_3250146,16
gene_3544564,16
gene_3918469,16
gene_4216838,16
gene_3387999,16
gene_4612983,16
gene_3746756,16
gene_3340960,16
gene_2400855,16
gene_4140213,16
gene_4159504,16
gene_3589527,16
gene_4540508,16
gene_3782941,16
gene_3520790,16
gene_4609966,16
gene_4309799,15
gene_2844581,15
gene_4348081,15
gene_4409338,15
gene_3979470,15
gene_4513576,15
gene_4384708,15
gene_3302001,15
gene_4629454,15
gene_3317329,15
gene_4615339,15
gene_3552768,15
gene_3675602,15
gene_3532645,15
gene_2907312,15
gene_3870295,15
gene_4158416,15
gene_4157725,15
gene_2398525,15
gene_3470506,15
gene_3911803,15
gene_3405831,15
gene_3894563,15
gene_4064682,15
gene_4395000,15
gene_3996528,15
gene_4628276,15
gene_3731283,15
gene_4622483,15
gene_4543219,15
gene_3271895,15
gene_4435122,15
gene_4146198,15
gene_3913946,15
gene_3293886,15
gene_4070299,15
gene_3256291,15
gene_4155791,15
gene_3930336,15
gene_4566159,15
gene_4324715,15
gene_2876811,15
gene_3470408,15
gene_4513989,15
gene_2942453,15
gene_3675601,15
gene_4497716,15
gene_3016196,15
gene_3209751,15
gene_4618044,15
gene_3408849,15
gene_4509529,15
gene_4274409,15
gene_3052508,15
gene_2195471,15
gene_3839277,15
gene_4097100,15
gene_4089602,15
gene_3247778,14
gene_3557530,14
gene_4471536,14
gene_3830070,14
gene_3852974,14
gene_3747117,14
gene_3867072,14
gene_3485290,14
gene_4387186,14
gene_4096958,14
gene_4149989,14
gene_4218354,14
gene_3675437,14
gene_4306960,14
gene_4383681,14
gene_4574726,14
gene_3825579,14
gene_4304251,14
gene_4183762,14
gene_2855784,14
gene_4334077,14
gene_3293038,14
gene_4456613,14
gene_4601967,14
gene_3752730,14
gene_3259552,14
gene_2688259,14
gene_4382686,14
gene_3821375,14
gene_4463221,14
gene_3524799,14
gene_3958335,14
gene_4492526,14
gene_3629582,14
gene_4128623,14
gene_1796288,14
gene_2684157,14
gene_3945907,14
gene_4086729,14
gene_4255344,14
gene_4149240,14
gene_3738895,14
gene_4448664,14
gene_4568437,14
gene_4273368,14
gene_4105546,14
gene_4304252,14
gene_3878339,14
gene_4003577,14
gene_4310092,14
gene_4556934,14
gene_2347056,14
gene_3611881,14
gene_4087327,14
gene_4160203,14
gene_4121122,14
gene_3343755,14
gene_4001575,14
gene_3269065,14
gene_2777823,14
gene_3986267,14
gene_4218945,14
gene_3763409,14
gene_4203263,14
gene_3000862,14
gene_4246894,14
gene_2907468,14
gene_4180576,14
gene_2865884,14
gene_3611523,14
gene_4611670,14
gene_4586186,14
gene_3419734,14
gene_4105483,14
gene_4504041,14
gene_2688324,14
gene_2807308,14
gene_3410007,14
gene_3985860,13
gene_4282880,13
gene_3944013,13
gene_4225054,13
gene_2847653,13
gene_4616818,13
gene_3727693,13
gene_4489830,13
gene_3701217,13
gene_2651766,13
gene_3420392,13
gene_3158796,13
gene_4116340,13
gene_4153792,13
gene_4445564,13
gene_3217844,13
gene_4334389,13
gene_1930568,13
gene_4249474,13
gene_4157349,13
gene_2748605,13
gene_3594870,13
gene_4107753,13
gene_2560333,13
gene_4286467,13
gene_4471081,13
gene_3880134,13
gene_4413039,13
gene_4013034,13
gene_3366673,13
gene_4239563,13
gene_4343613,13
gene_3407586,13
gene_4609967,13
gene_4321820,13
gene_3699416,13
gene_4467506,13
gene_4254653,13
gene_4280827,13
gene_4213680,13
gene_3238698,13
gene_4373937,13
gene_3395345,13
gene_3740383,13
gene_4593702,13
gene_2738377,13
gene_4073625,13
gene_3940249,13
gene_4161604,13
gene_3537520,13
gene_3917252,13
gene_3574475,13
gene_4303071,13
gene_4203262,13
gene_3009815,13
gene_3256987,13
gene_4261888,13
gene_3905031,13
gene_4385236,13
gene_3548732,13
gene_4006072,13
gene_3497191,13
gene_4242693,13
gene_3314903,13
gene_3878528,13
gene_4016255,13
gene_4435123,13
gene_2525169,13
gene_4637268,13
gene_4137143,13
gene_3656090,13
gene_3411395,13
gene_2938602,13
gene_3761497,13
gene_2788973,13
gene_4265295,13
gene_3905500,13
gene_4040375,12
gene_3928646,12
gene_2256624,12
gene_4059907,12
gene_2398524,12
gene_4080231,12
gene_2748457,12
gene_3530376,12
gene_4268601,12
gene_4523717,12
gene_2862090,12
gene_4021415,12
gene_3457766,12
gene_3193677,12
gene_4269533,12
gene_4222117,12
gene_3525804,12
gene_2947255,12
gene_4411418,12
gene_3655250,12
gene_3877458,12
gene_4369416,12
gene_4609410,12
gene_3942197,12
gene_4030929,12
gene_2531463,12
gene_3319054,12
gene_3432626,12
gene_2658003,12
gene_3053565,12
gene_3468031,12
gene_4596036,12
gene_4069655,12
gene_3887703,12
gene_4021954,12
gene_4378040,12
gene_3545699,12
gene_3020902,12
gene_4630560,12
gene_3851480,12
gene_3170172,12
gene_3584032,12
gene_4334388,12
gene_3748570,12
gene_3229695,12
gene_4392938,12
gene_4153442,12
gene_4612385,12
gene_3568137,12
gene_2497116,12
gene_2436565,12
gene_4062857,12
gene_4426395,12
gene_4446473,12
gene_3321131,12
gene_2843767,12
gene_3424683,12
gene_4279060,12
gene_2348583,12
gene_4346855,12
gene_3730822,12
gene_2726972,12
gene_3962232,12
gene_4623429,12
gene_4107239,12
gene_4511433,12
gene_2775055,12
gene_3583194,12
gene_4131553,11
gene_4108746,11
gene_4466074,11
gene_4327639,11
gene_4370922,11
gene_4182919,11
gene_4401953,11
gene_4584189,11
gene_3391813,11
gene_3576356,11
gene_4088308,11
gene_2791557,11
gene_4542087,11
gene_4577249,11
gene_4410001,11
gene_2950539,11
gene_3138143,11
gene_3553954,11
gene_3784734,11
gene_3447360,11
gene_3237970,11
gene_4079729,11
gene_3768640,11
gene_3501642,11
gene_4137251,11
gene_2554634,11
gene_3971172,11
gene_4252705,11
gene_3782836,11
gene_4353436,11
gene_4529695,11
gene_4207199,11
gene_4545438,11
gene_3558226,11
gene_2658890,11
gene_2975699,11
gene_4003123,11
gene_3312054,11
gene_2671473,11
gene_4093542,11
gene_4438282,11
gene_3825342,11
gene_4351361,11
gene_4473652,11
gene_3396364,11
gene_3992068,11
gene_4140834,11
gene_3902141,11
gene_2027438,11
gene_4503527,11
gene_3788353,11
gene_4609872,11
gene_3144828,11
gene_4385476,11
gene_4200727,11
gene_3826634,11
gene_4147670,11
gene_2668423,11
gene_3830681,11
gene_4168454,11
gene_4497927,11
gene_3021138,11
gene_4631409,11
gene_3755259,11
gene_3319848,11
gene_3845096,11
gene_3431942,11
gene_3422190,11
gene_3859151,11
gene_3209099,11
gene_3359669,11
gene_3151781,11
gene_3994098,11
gene_2974536,11
gene_4389477,11
gene_4032220,11
gene_3570235,11
gene_3912717,11
gene_4231946,11
gene_3183669,11
gene_4320137,11
gene_4066797,11
gene_3245032,11
gene_3533367,10
gene_3701333,10
gene_2762206,10
Food_11_GL0357206,10
gene_4564532,10
gene_4430403,10
gene_3737321,10
gene_4174320,10
gene_4259368,10
gene_4146844,10
gene_4546408,10
gene_4103029,10
gene_2451765,10
gene_4237576,10
gene_3653030,10
gene_3487708,10
gene_2659887,10
gene_4321906,10
gene_4101748,10
gene_3979508,10
gene_4548236,10
gene_3335066,10
gene_3823417,10
gene_4215772,10
gene_4114702,10
gene_2958888,10
gene_4179816,10
NZ_RAZK01000270.1_cds_WP_120487441.1_2916,10
gene_3766364,10
gene_3840599,10
gene_3955079,10
gene_3812130,10
gene_4523371,10
gene_4513990,10
gene_3098645,10
gene_4556371,10
gene_3910325,10
gene_3873057,10
gene_3740385,10
gene_3603345,10
gene_4110617,10
gene_3517306,10
gene_4270176,10
gene_3939574,10
gene_3045510,10
gene_3549334,10
gene_4115873,10
gene_4572013,10
gene_4210246,10
gene_3369022,10
gene_4321182,10
gene_4516147,10
gene_3015770,10
gene_3903189,10
gene_3987824,10
gene_3649676,10
gene_3240042,10
gene_3570114,10
gene_3835586,10
gene_1228123,10
gene_2828118,10
gene_3942185,10
gene_3791658,10
gene_3030514,10
gene_4236880,10
gene_2985365,10
gene_4330948,10
gene_4442343,10
gene_3659756,10
gene_4042559,10
gene_4238894,10
gene_2545589,10
gene_3985927,10
gene_4095762,10
gene_3794014,10
gene_3736800,10
gene_4527917,10
gene_3723278,10
gene_4088309,10
gene_4022371,10
gene_4096066,10
gene_3804073,10
gene_4485093,10
gene_3878289,9
gene_4517630,9
gene_4015697,9
gene_4218946,9
gene_3930782,9
gene_3735792,9
gene_4103682,9
gene_4156632,9
gene_2226190,9
gene_2300063,9
gene_4145712,9
gene_3805266,9
gene_4214791,9
gene_4128625,9
gene_3876300,9
gene_4091043,9
gene_4290563,9
gene_4364448,9
gene_3360103,9
gene_2548133,9
gene_4288577,9
gene_4475386,9
DSM22607_4_GL0243623,9
gene_4389605,9
gene_4235718,9
gene_3916226,9
gene_4207445,9
gene_4055708,9
gene_4624815,9
gene_3546743,9
gene_3902595,9
gene_3835875,9
gene_2242713,9
gene_86197,9
gene_4317729,9
gene_4502189,9
gene_4308400,9
gene_4527576,9
gene_4408105,9
gene_3508106,9
gene_4299283,9
gene_4308971,9
gene_3162651,9
gene_4412464,9
gene_3661365,9
gene_4287837,9
gene_4239737,9
gene_4094560,9
gene_3295179,9
gene_4246071,9
gene_3515995,9
gene_3203079,9
gene_3762862,9
gene_4467507,9
gene_3847533,9
gene_4239190,9
HF-F_4_GL0312174,9
gene_3700585,9
gene_2598443,9
gene_2517279,9
gene_4559732,9
gene_3975977,9
gene_4109179,9
gene_4363402,9
gene_3900615,9
gene_4058617,9
gene_3017876,9
gene_4059909,9
gene_3963734,9
gene_4529699,9
gene_3371393,9
gene_4488023,9
gene_3776251,9
gene_2155406,9
gene_4063114,9
gene_3638608,9
gene_3178518,9
gene_4505499,9
gene_4382972,9
gene_4244866,9
gene_2839877,9
gene_4037308,9
gene_3394078,9
NZ_RAZF01000070.1_cds_WP_120429144.1_2925,9
gene_4318733,9
gene_3160558,9
gene_4449784,9
gene_4372256,9
gene_3637357,9
gene_3125400,9
gene_4187980,9
gene_3768885,9
gene_3386808,9
gene_3483964,9
gene_3008563,9
gene_4633114,9
gene_4131554,9
gene_4412666,9
gene_3061537,9
gene_3224342,9
gene_3236789,9
gene_4080173,9
gene_3365398,9
gene_4513491,8
gene_3946214,8
gene_4253786,8
gene_3864697,8
gene_3952118,8
gene_3769682,8
gene_3020242,8
gene_4258089,8
gene_4337085,8
gene_2891827,8
gene_4089109,8
gene_4099942,8
gene_4470406,8
gene_3909592,8
gene_3840600,8
gene_4498628,8
gene_3624994,8
gene_3576320,8
gene_4528749,8
gene_4138552,8
gene_2862595,8
gene_4602238,8
gene_3896782,8
gene_3577630,8
gene_3503605,8
gene_2988423,8
gene_4258739,8
gene_4241568,8
gene_2839180,8
gene_4520504,8
gene_3754341,8
gene_3367050,8
gene_4007919,8
gene_4348083,8
gene_4500980,8
gene_4076446,8
gene_4298553,8
gene_3031888,8
gene_4358011,8
gene_3346227,8
gene_3225670,8
gene_4325086,8
gene_3688249,8
gene_2960316,8
gene_3147418,8
gene_3947896,8
gene_3752113,8
gene_4399332,8
gene_4477387,8
gene_3886870,8
gene_4438048,8
gene_3611061,8
gene_4347975,8
gene_4367958,8
gene_3524792,8
gene_4375748,8
gene_3442602,8
gene_4559733,8
gene_3928063,8
gene_4443788,8
gene_3296140,8
gene_3504372,8
gene_4573431,8
gene_3684338,8
gene_4117233,8
gene_3950111,8
gene_3148548,8
gene_4293903,8
gene_4483122,8
gene_3385050,8
gene_4605923,8
gene_3866491,8
gene_3636022,8
gene_4280128,8
gene_4194280,7
gene_2936220,7
gene_3356152,7
gene_4563513,7
gene_2244609,7
gene_2624757,7
gene_4595285,7
gene_3426084,7
gene_3340959,7
gene_3251442,7
gene_3422684,7
gene_3896186,7
gene_3813131,7
gene_4242330,7
gene_4442437,7
gene_2207959,7
gene_4421702,7
gene_3566700,7
gene_3171902,7
G1-3A_GL0030844,7
4-4_GL0084790,7
gene_4445774,7
gene_2444072,7
gene_4442443,7
gene_4248567,7
gene_4619635,7
gene_3920705,7
gene_4506981,7
gene_4566738,7
gene_3363935,7
gene_4536111,7
gene_3877033,7
gene_3846320,7
gene_2612009,7
gene_2655864,7
gene_3477439,7
gene_4008014,7
gene_4405089,7
gene_3920429,7
gene_3539774,7
gene_4070916,7
gene_3659142,7
gene_3622006,7
gene_4582928,7
gene_2751765,7
gene_4560520,7
gene_3061667,7
gene_4492869,7
gene_4350987,7
gene_4434871,7
gene_4578517,7
gene_3748625,7
gene_4561712,7
gene_2554635,7
gene_3507903,7
gene_3664881,7
gene_4519327,7
gene_1797084,7
gene_4369391,7
gene_4056695,7
gene_4442367,7
gene_2264954,7
gene_4452467,7
gene_2889990,7
gene_3966376,7
gene_3377577,7
gene_3761008,7
gene_4602026,7
gene_3853186,7
gene_3768162,7
gene_3874223,7
gene_4247181,7
gene_4214790,7
gene_4471424,7
gene_2345741,7
gene_3681740,7
7-6_GL0020442,7
gene_2864658,7
gene_2360609,7
gene_3694244,7
gene_4258903,7
gene_4039330,7
3-1_GL0038239,7
gene_4471155,7
gene_4095889,7
gene_3753724,7
gene_2658889,7
gene_3335160,7
gene_3892505,7
gene_4339927,7
gene_3910328,7
gene_3768436,7
gene_3654226,6
gene_4417977,6
gene_4304471,6
gene_4556772,6
gene_4498685,6
gene_4528196,6
gene_3916811,6
gene_3968138,6
gene_3894131,6
gene_4099202,6
gene_4561988,6
gene_2615331,6
gene_3441169,6
gene_4438084,6
gene_4437326,6
gene_3203716,6
gene_4499199,6
gene_2617804,6
NZ_RAZD01000016.1_cds_WP_120420534.1_654,6
gene_3788614,6
gene_3708805,6
gene_4446864,6
gene_3680054,6
gene_4158073,6
gene_4084315,6
gene_3434320,6
gene_3910851,6
gene_4348082,6
gene_4198066,6
gene_2974748,6
gene_4328904,6
gene_2671553,6
gene_3359107,6
gene_3764832,6
34_GL0042396,6
gene_3203713,6
gene_3422685,6
gene_3819729,6
gene_3122280,6
gene_2731442,6
gene_4224908,6
gene_2479644,6
gene_4291186,6
gene_4342427,6
gene_4449542,6
gene_4525919,6
gene_3154440,6
gene_3534883,6
gene_4228672,6
gene_4192376,6
gene_4622897,6
gene_4480472,6
Group2-1A_GL0047440,6
gene_4452507,6
gene_4021955,6
gene_4227884,6
gene_3723759,6
gene_2779193,6
gene_2821593,6
gene_4007592,6
gene_4577484,6
gene_3794844,6
gene_3696814,6
gene_4409697,6
gene_3943020,6
gene_3701052,6
gene_4103030,6
gene_3697920,6
gene_3823489,6
gene_3573195,6
gene_2815513,6
gene_4050349,6
gene_4132911,6
gene_3062715,6
gene_4131555,6
gene_3843954,6
gene_3729402,6
gene_3930693,6
gene_4039328,6
G1-3A_GL0142396,6
gene_4245387,6
gene_4181468,6
gene_2870586,6
gene_4264963,6
gene_2801242,6
gene_3465852,6
gene_3188393,6
gene_4480420,6
gene_3222669,6
gene_3990632,6
gene_2745606,6
gene_4019258,6
gene_3591813,6
20_GL0141852,6
gene_2113055,6
gene_4631316,6
gene_3491307,6
gene_4573737,6
gene_3460949,6
gene_3815982,6
gene_4515345,5
gene_3889288,5
gene_4158662,5
gene_4593768,5
gene_4186093,5
gene_4638289,5
gene_3241222,5
gene_3951783,5
gene_4265316,5
gene_4606035,5
gene_3619597,5
Food_13_GL0129625,5
gene_4549415,5
gene_4474332,5
gene_3769614,5
gene_4103276,5
gene_3647451,5
gene_2738378,5
gene_4296261,5
gene_4280422,5
gene_3224473,5
gene_4333933,5
gene_4203001,5
gene_3026649,5
gene_3331960,5
gene_3919807,5
gene_4411896,5
gene_4104294,5
gene_3070147,5
gene_2579591,5
gene_3814702,5
gene_3791024,5
gene_4441498,5
gene_4461645,5
gene_4620662,5
gene_4405189,5
gene_3420703,5
gene_3614375,5
gene_3559517,5
gene_3801155,5
gene_4635507,5
gene_3606768,5
1_GL0093459,5
gene_3939997,5
gene_2403163,5
gene_3948070,5
gene_2945924,5
gene_1941510,5
gene_4622983,5
gene_2836867,5
gene_4510842,5
gene_3953070,5
7-7_GL0095312,5
gene_3582062,5
gene_2204013,5
NZ_RAZK01000129.1_cds_WP_120486751.1_655,5
gene_4443023,5
gene_4185014,5
gene_2135555,5
gene_4491746,5
gene_4034762,5
gene_3860130,5
gene_4401875,5
gene_3098774,5
gene_3561552,5
Group2-5A_GL0017655,5
gene_4015660,5
gene_3120991,5
gene_2197877,5
gene_2788208,5
gene_3986268,5
gene_3437138,5
gene_3325611,5
gene_2884174,5
gene_4162304,5
gene_4082320,5
gene_3839417,5
AF73-05_2_GL0122487,5
gene_3772264,5
gene_2396716,5
gene_4169248,5
gene_4335671,5
gene_4374499,5
gene_4405191,5
gene_3595036,5
gene_3943715,5
gene_3205533,5
gene_2759629,5
gene_4437344,5
gene_3952481,5
gene_3308717,5
gene_4341527,5
gene_3788687,5
gene_2891628,5
