gene,postFMT_3_ileum
gene_4443786,439
gene_4250014,437
gene_1958653,436
gene_2736174,436
gene_4209155,436
gene_4263639,436
gene_4160447,435
gene_3992728,435
gene_3536024,435
gene_3913077,434
gene_4505036,434
gene_4633740,434
gene_3545078,434
gene_2657735,434
gene_4542301,434
gene_3934547,433
gene_3264320,433
gene_4108300,432
gene_3638660,432
gene_3876445,430
gene_4036360,430
gene_3032996,430
gene_3701764,429
gene_3758893,428
gene_3277055,428
gene_3646316,427
gene_3572156,426
gene_3587112,426
gene_4317122,426
gene_4220068,425
gene_4329657,425
gene_4447285,424
gene_3433147,424
gene_4032535,424
gene_4616863,423
gene_3008714,423
gene_1873664,420
gene_4375746,420
gene_3314902,419
gene_3896904,419
gene_2851782,418
gene_4573738,418
gene_4434951,418
gene_3598423,417
gene_4485092,416
gene_2736075,416
gene_3221436,413
gene_2986687,412
gene_2953684,412
gene_4437273,411
gene_4580872,410
gene_4500981,410
gene_3377575,410
gene_4566746,409
gene_3159664,409
gene_2596772,408
gene_3767204,408
gene_4315453,408
gene_3314169,408
gene_3049061,407
gene_3742710,407
gene_3128801,405
gene_3178395,405
gene_2677191,405
gene_3992708,405
gene_4466754,404
gene_3241815,404
gene_4222121,403
gene_4222118,403
gene_4050456,403
gene_3875564,402
gene_4422374,401
gene_4019895,401
gene_2839179,399
gene_4158416,398
gene_3780972,397
gene_4604030,396
gene_4502224,396
gene_3867818,396
gene_4632783,395
gene_4021958,395
gene_3154619,395
gene_4139158,395
gene_3929361,395
gene_3230397,394
gene_4044582,393
gene_3331940,392
gene_3343755,391
gene_3385642,391
gene_3940284,390
gene_4562190,390
gene_3986867,389
gene_4151035,389
gene_3511474,388
gene_4216838,388
gene_2476697,387
gene_4353641,387
gene_4604285,387
gene_3918469,387
gene_4394211,387
gene_4433565,387
gene_3935885,386
gene_3746756,386
gene_4483988,386
gene_3474526,386
gene_3991949,384
gene_4544228,384
gene_3970794,383
gene_3247777,383
gene_3651666,383
gene_3573521,382
gene_3880524,382
gene_4615338,381
gene_3361261,381
gene_3461831,381
gene_3675602,381
gene_3412541,380
gene_4474926,380
gene_3203715,380
gene_2902355,380
gene_4591505,380
gene_4626142,379
gene_3913538,378
gene_4317560,378
gene_2855783,377
gene_3784095,377
gene_4346760,377
gene_3211338,377
gene_4051738,376
gene_4265317,376
gene_4485091,374
gene_3992196,373
gene_4085699,372
gene_4426549,372
gene_4557870,370
gene_4494409,369
gene_4611458,369
gene_2115899,369
gene_3520790,368
gene_3996218,368
gene_3977405,368
gene_4241412,368
gene_4383681,368
gene_4416358,365
gene_4040747,365
gene_4467509,364
gene_4517282,364
gene_3544564,363
gene_4542711,363
gene_4520153,362
gene_4634916,362
gene_4088307,361
gene_3589527,361
gene_4603222,360
gene_3217843,359
gene_3823488,359
gene_3924911,359
gene_4471536,358
gene_3824923,358
gene_3902442,358
gene_3256291,358
gene_3656140,358
gene_3393630,357
gene_4183762,356
gene_3635121,355
gene_4172081,355
gene_3978143,355
gene_4499699,355
gene_4070299,355
gene_4509529,355
gene_4629454,354
gene_3831705,352
gene_2481200,352
gene_2560333,351
gene_2876811,351
gene_4034273,350
gene_4497719,350
gene_4309799,350
gene_4160203,349
gene_3986654,349
gene_4625580,348
gene_3885384,348
gene_4157882,348
gene_3302001,347
gene_3998040,347
gene_3087960,347
gene_3789039,346
gene_4395000,345
gene_3684198,345
gene_3419734,344
gene_2688324,344
gene_3930336,343
gene_3986306,343
gene_3913539,342
gene_4383761,342
gene_4513576,342
gene_4217315,342
gene_3110449,341
gene_3544107,341
gene_4465933,340
gene_4073625,340
gene_3878529,340
gene_3300666,340
gene_3894563,339
gene_3217844,338
gene_3740383,338
gene_2507054,337
gene_4624028,337
gene_3793510,337
gene_4249474,337
gene_4214772,337
gene_4458882,336
gene_4153791,336
gene_4067681,336
gene_3945907,336
gene_4095929,334
gene_4096662,334
gene_4601967,333
gene_3596412,333
gene_4504041,333
gene_4628276,333
gene_3980224,332
gene_3259552,332
gene_4023847,331
gene_4540508,331
gene_3870295,331
gene_4117699,330
gene_3470408,329
gene_3892935,329
gene_4609872,329
gene_3249762,329
gene_3617341,328
gene_4474117,326
gene_2347056,326
gene_4304252,326
gene_3789038,325
gene_4059909,325
gene_2794975,325
gene_4568437,324
gene_4146198,324
gene_4147143,324
gene_3414630,324
gene_4310092,323
gene_4001575,322
gene_3244653,321
gene_4540214,320
gene_4495266,320
gene_4087327,320
gene_4153792,320
gene_4463221,319
gene_3247778,319
gene_4137251,318
gene_4513875,318
gene_3675601,318
gene_3979507,318
gene_4419666,317
gene_4419114,317
gene_4612983,317
gene_4448664,317
gene_3431941,317
gene_4609966,317
gene_3782836,316
gene_3729740,316
gene_4086729,316
gene_4598259,314
gene_2588043,314
gene_4089261,313
gene_3252853,312
gene_3611881,312
gene_1796288,311
gene_2938602,311
gene_4348081,311
gene_4105483,310
gene_4363576,310
gene_2658890,309
gene_4497716,309
gene_3317329,308
gene_4523717,308
gene_3868655,308
gene_3942197,307
gene_3452368,307
gene_4548236,307
gene_4099366,306
gene_4304251,306
gene_4123435,305
gene_3656089,305
gene_4090523,304
gene_2583973,304
gene_2195471,303
gene_4003577,303
gene_3408849,303
gene_3267496,303
gene_2788973,303
gene_4157349,303
gene_3558225,302
gene_2892854,302
gene_4088308,302
gene_4489830,301
gene_3576986,301
gene_4089409,300
gene_4009128,300
gene_2855784,299
gene_2382596,298
gene_3782941,298
gene_2974536,297
gene_4231946,297
gene_3700930,297
gene_2687372,297
gene_4258310,297
gene_4225054,297
gene_3000862,296
gene_4073708,296
gene_2794778,296
gene_4155791,295
gene_4492526,294
gene_3616270,294
gene_2398524,293
gene_3405831,293
gene_4503882,293
gene_3501541,292
gene_4445564,292
gene_4435122,291
gene_3790399,291
gene_4152129,291
gene_3818620,290
gene_4159504,289
gene_3911803,289
gene_4436151,288
gene_4358652,288
gene_2836625,287
gene_4153442,287
gene_4387186,287
gene_3293886,287
gene_3557530,286
gene_3716832,285
gene_3020502,283
gene_3649966,283
gene_3521261,283
gene_3852974,283
gene_4593702,283
gene_2489998,282
gene_3584032,282
gene_3736960,282
gene_4596036,282
gene_3352067,281
gene_3535619,281
gene_4018401,281
gene_4409338,281
gene_2777823,280
gene_4630560,280
gene_4255344,280
gene_4213680,280
gene_3340960,279
gene_4006072,279
gene_4413039,278
gene_3477282,278
gene_4392938,278
gene_4330947,278
gene_3524799,277
gene_3866491,277
gene_4410001,277
gene_3886870,276
gene_4182919,276
gene_2256624,276
gene_3930784,275
gene_3656090,275
gene_3996528,275
gene_4282880,275
gene_3312054,274
gene_3740385,274
gene_4467506,274
gene_3917252,274
gene_4330948,274
gene_4252529,273
gene_4016255,273
gene_3979470,273
gene_3985860,273
gene_3144828,272
gene_4347666,272
gene_4384708,272
gene_3873057,272
gene_3359669,272
gene_3675437,271
gene_3913946,271
gene_3910325,271
gene_3825579,271
gene_4618044,270
gene_3944013,269
gene_3830070,269
gene_3387999,269
gene_3986267,268
gene_3731283,268
gene_3009815,268
gene_3971172,268
gene_4121122,268
gene_4218946,267
gene_2947255,267
gene_4426836,266
gene_3209751,266
gene_3052508,266
gene_3271895,266
gene_3583194,266
gene_4089602,265
gene_3805266,264
gene_4513989,264
gene_4321820,264
gene_4306960,264
gene_4149989,263
gene_3443561,263
gene_4097100,262
gene_3388185,262
gene_3878528,262
gene_3170172,262
gene_2400855,261
gene_2658003,261
gene_4485093,261
gene_4299283,259
gene_3485290,259
gene_4080173,259
gene_4265295,259
gene_3432626,258
gene_3845096,258
gene_4030929,258
gene_3420392,257
gene_4216341,256
gene_2775055,256
gene_4218354,256
gene_3151781,256
gene_4542087,256
gene_3269065,255
gene_4168454,255
gene_4107239,254
gene_1930568,254
gene_4261888,254
gene_4483276,254
gene_4456613,252
gene_3835875,252
gene_3940249,252
gene_4611670,252
gene_4556934,252
gene_3839277,251
gene_4103029,251
gene_3962232,251
gene_3548732,251
gene_3576356,251
gene_4200727,251
gene_2525169,251
gene_3811264,250
gene_4586186,249
gene_3905031,249
gene_3987824,249
gene_3649676,249
gene_4274409,248
gene_4334388,248
gene_4055708,248
gene_4149240,248
gene_4040375,248
gene_3720711,248
gene_3497191,247
gene_4130003,247
gene_4452723,247
gene_3992068,247
gene_4308400,247
gene_4577249,247
gene_4334077,246
gene_3537520,246
gene_2865884,246
gene_3250146,246
gene_2791557,245
gene_3653030,245
gene_3331026,245
gene_2807308,244
gene_3366673,244
gene_4180576,244
gene_4218945,243
gene_3552768,243
gene_2659887,242
gene_4616818,242
gene_4471081,242
gene_4382686,242
gene_3867072,242
gene_3701333,241
gene_2027438,241
gene_4279060,240
gene_4280827,240
gene_2844581,240
gene_4348083,240
gene_1943946,239
gene_4116340,239
gene_3947896,239
gene_3314903,239
gene_4215772,239
gene_3738895,239
gene_3574475,239
gene_4021415,238
gene_4389477,238
gene_4079729,238
gene_3821375,238
gene_3098645,238
gene_4412464,237
gene_3955079,237
gene_4203263,237
gene_3902595,237
gene_4622913,237
gene_3293038,237
gene_4096958,237
gene_4369416,236
gene_4058617,236
gene_3730822,236
gene_3752730,236
gene_4268601,236
gene_4370922,236
gene_3570235,235
gene_3245032,235
gene_3209099,235
gene_4385236,235
gene_3905500,235
gene_3016197,234
gene_3761497,234
gene_3431942,234
gene_2684157,234
gene_3781212,233
gene_4273368,233
gene_3659756,233
gene_4373937,233
gene_4321906,233
gene_4430403,233
gene_3410007,232
gene_2907468,232
gene_3768885,232
gene_4545438,232
gene_3468031,232
gene_3532645,232
gene_3804073,232
gene_4503527,232
gene_4615339,232
gene_2847653,231
gene_4378040,231
gene_4146844,231
gene_3360103,231
gene_4003123,231
gene_3339741,230
gene_3611523,230
gene_3045510,230
gene_3558226,229
gene_4574726,229
gene_3391813,229
gene_2982674,229
gene_2942453,228
gene_4238894,228
gene_3335066,228
gene_4080231,228
gene_4120103,228
gene_3763409,228
gene_3533367,228
gene_4069655,227
gene_3208633,227
gene_3701217,227
gene_4321182,227
gene_4303071,226
gene_4101748,226
gene_4516147,226
gene_2748605,226
gene_3762862,226
gene_4128625,225
gene_3470506,225
gene_4364448,225
gene_4253613,225
gene_4131553,224
gene_4367107,224
gene_4140834,224
gene_2651766,224
gene_2398525,224
gene_4222117,223
gene_4246071,223
gene_4622483,223
gene_3846320,223
gene_3229695,223
gene_4298553,223
gene_3594870,222
gene_3483168,222
gene_4137143,222
gene_4327639,222
gene_3840599,222
gene_3825342,222
gene_3878289,222
gene_4609410,222
gene_4467507,221
gene_4042559,221
gene_4059907,221
gene_4411418,221
gene_4107753,221
gene_3517306,219
gene_4623429,219
gene_4324715,219
gene_3723278,219
gene_4105546,219
gene_4021954,219
gene_4609967,218
gene_3887703,218
gene_4013034,218
gene_4325086,217
gene_4529699,217
gene_3053565,217
gene_3748570,217
gene_3508106,217
gene_3755259,217
gene_4290880,216
gene_2975699,216
gene_3021138,216
gene_3727693,216
gene_3939574,216
gene_3876300,215
gene_4239190,215
gene_4242693,215
gene_4246894,215
gene_3699416,215
gene_3525804,215
gene_4128623,214
gene_3812130,214
gene_3422190,213
gene_4179817,213
gene_4270176,213
gene_4517630,212
gene_3963734,212
gene_3655250,212
gene_4254653,211
gene_4527917,211
gene_3377577,211
gene_4442437,211
gene_3545699,210
gene_4096066,210
gene_3629582,209
gene_4451134,209
gene_4286467,209
gene_4207199,209
gene_3396364,209
gene_3524792,209
gene_4500980,209
gene_2545589,209
gene_3407586,208
gene_3736800,208
gene_3016196,208
gene_2517279,208
gene_3457766,207
gene_2988423,207
gene_4605923,207
gene_3158796,207
gene_4513990,207
gene_4434871,206
gene_4280128,206
gene_4174320,206
gene_4088309,206
gene_4435123,206
gene_4179816,205
gene_4372256,205
gene_4443788,205
gene_4385476,205
gene_4408105,204
gene_2436565,204
gene_2862595,204
gene_3238698,204
gene_2531463,204
gene_3637357,203
gene_3483964,203
gene_4334389,202
gene_4452467,202
gene_4269533,201
gene_4239563,201
gene_2907312,201
gene_4438282,201
gene_4543219,200
gene_2891827,200
gene_3776251,200
gene_2671473,200
gene_4477387,200
gene_4578517,200
gene_4528196,199
gene_4140213,199
gene_3395345,198
gene_4505499,198
gene_3768640,197
gene_4470406,196
gene_3193677,196
gene_4062857,196
gene_3928646,196
gene_3958335,196
gene_4473652,196
gene_4546130,195
gene_3138143,195
gene_2828118,195
gene_4037308,195
gene_4108746,195
gene_2950539,194
gene_3515995,194
gene_3994098,194
gene_4131554,193
gene_3447360,193
gene_4287837,193
gene_3321131,193
gene_4099942,193
gene_3903189,192
gene_2658889,192
gene_4244866,192
gene_3880134,192
gene_4093542,192
gene_4573431,192
gene_3411395,192
gene_4346855,191
gene_2497116,191
gene_4308971,190
gene_2688259,190
gene_4412666,190
gene_4564532,190
gene_4320137,190
gene_3570114,189
gene_2554634,189
gene_3754341,189
gene_4449784,189
gene_4612385,189
gene_4210246,188
gene_4528749,188
gene_4452507,188
gene_4556371,187
gene_3896782,187
gene_4511433,187
gene_4523371,187
gene_3256987,187
gene_4351361,187
gene_4546408,186
gene_4399332,186
gene_3835586,185
gene_3684338,185
gene_3788353,184
gene_3830681,184
gene_2843767,183
gene_3367050,183
gene_3371393,183
gene_4259368,183
gene_3900615,183
gene_2889990,182
gene_3766364,182
gene_4529695,182
gene_3624994,181
gene_4382972,181
gene_4290563,181
gene_3020902,181
gene_3546743,180
gene_4110617,179
gene_3426084,178
gene_4584189,178
gene_4322121,178
gene_4536110,178
gene_3070147,178
gene_3952118,178
gene_4258089,178
gene_3553954,178
gene_4563513,177
gene_3241222,177
gene_4187980,177
gene_2748457,176
gene_3566700,176
gene_3603345,176
gene_3061537,176
gene_4293903,176
gene_4561586,174
gene_4417977,174
gene_3910328,174
gene_4426395,173
gene_3672159,173
gene_4248567,172
gene_4446473,172
gene_4466074,172
gene_3319054,172
gene_3030514,172
gene_4561712,171
gene_4492869,171
gene_3356152,171
gene_3434320,171
gene_3851480,170
gene_3424683,170
gene_3017876,170
gene_3748625,170
gene_4235718,170
gene_4637268,169
gene_4109179,169
gene_4350987,169
gene_3700585,169
gene_1797084,169
gene_4502189,169
gene_3606768,169
gene_3688249,168
gene_2548133,168
gene_4236880,168
gene_3205533,167
gene_3503605,167
gene_3664881,167
gene_3365398,167
gene_3840600,167
gene_3979508,167
gene_4114702,167
gene_3530376,167
gene_3847533,167
gene_3791658,167
gene_4157725,167
gene_3942185,166
gene_2726972,166
gene_3477439,166
gene_4203262,166
gene_4018213,166
gene_3224342,165
gene_4007919,165
gene_4022371,164
gene_2612009,164
gene_4519327,164
gene_4497927,164
gene_4032220,163
gene_4602238,163
gene_4527576,163
gene_2451765,162
gene_4572013,162
gene_4064682,162
gene_3708805,162
gene_3487708,162
gene_4442343,162
gene_4369391,161
gene_4095762,161
gene_4353436,161
gene_3788613,161
gene_4181468,160
gene_4337085,160
gene_3568137,160
gene_4070916,159
gene_3225670,159
gene_3743822,159
gene_3819729,158
gene_4520504,158
gene_4449542,158
gene_4252705,158
gene_3386808,158
gene_3912717,158
gene_4304471,158
gene_4228672,158
gene_3769682,158
gene_2762206,157
gene_3240042,157
gene_2226190,157
gene_3864697,157
gene_2598443,157
gene_2207959,157
gene_4063114,157
gene_3801155,157
gene_4635507,156
gene_3815982,156
gene_2738377,156
gene_3369022,156
gene_3878339,155
gene_4265316,155
gene_4241568,154
gene_3968138,154
gene_4566738,154
gene_3688415,153
gene_3026649,153
gene_4214791,153
gene_4291186,153
gene_3015770,153
gene_2945924,153
gene_3694244,153
gene_3768162,153
gene_3896186,153
gene_3203079,152
gene_3363935,151
gene_3853186,151
gene_2345741,151
gene_1228123,150
gene_4317729,150
gene_3920429,150
gene_3784734,150
gene_4405191,150
gene_4115873,150
gene_3970211,150
gene_4103682,150
gene_4224908,149
gene_3209100,149
gene_3539774,149
gene_3183669,149
gene_4039328,149
gene_3794014,149
gene_3680054,149
gene_3747117,149
gene_3008563,149
4-4_GL0084790,148
gene_2264954,148
gene_3385050,148
gene_3975977,148
gene_4117233,148
gene_2444072,148
gene_3661365,148
gene_3122280,148
gene_3930782,148
gene_4488023,147
gene_3647451,147
gene_3892505,147
gene_3772264,147
gene_3737321,147
gene_4214790,146
gene_3591813,146
gene_3224473,146
gene_3622006,146
gene_2360609,146
gene_3442602,146
gene_4039330,146
gene_4356249,146
gene_3839567,146
gene_4095889,145
gene_2839180,145
gene_2862090,145
gene_4480420,145
gene_4475386,145
gene_3166850,145
gene_4306017,145
gene_3826634,144
gene_4258739,143
gene_3950111,143
gene_3148548,143
gene_4339927,143
gene_2197877,142
gene_3619597,142
gene_3823417,142
gene_4525919,142
gene_4131555,141
gene_4606035,141
gene_3943020,141
gene_4421702,141
gene_4091043,141
gene_4099202,141
gene_2244609,141
gene_4566159,141
gene_4161604,140
gene_3120991,139
gene_3638608,139
gene_2836867,139
gene_4498628,138
gene_4104294,138
gene_3902141,138
gene_4445774,138
gene_4007592,138
gene_3125400,137
gene_3237970,137
gene_3946214,137
gene_3178518,136
gene_4559732,136
gene_3203713,136
gene_4638289,136
gene_4343613,136
gene_4358011,135
gene_3939997,135
gene_3162651,135
gene_4631409,134
gene_4405189,133
gene_4198064,133
gene_3340959,133
gene_3169699,133
gene_4288577,133
gene_3752113,132
gene_4152213,132
gene_4347975,132
gene_4363402,131
gene_4237576,131
gene_3703611,131
gene_4624815,131
gene_3889288,131
gene_4021955,131
gene_4405089,131
gene_4560520,130
gene_4253786,129
gene_4145712,129
gene_3916226,129
gene_3283102,129
gene_2155406,129
gene_3319848,129
gene_3308717,129
gene_3163159,129
gene_2403163,129
gene_4549415,129
gene_4582928,128
gene_4460953,128
gene_3920705,128
gene_3681740,128
gene_2579591,128
gene_3894131,128
gene_4559733,128
gene_4082320,128
gene_3987263,127
gene_4438048,127
gene_3534883,127
gene_3859151,127
gene_3251442,127
gene_4227884,126
gene_4475245,126
gene_2985365,126
gene_2684484,126
gene_3948070,126
gene_4021342,126
gene_3031888,125
gene_3070690,125
gene_4094560,125
gene_4438084,125
gene_2479644,125
gene_4633114,125
gene_4066797,124
gene_3295179,124
gene_3877458,124
gene_4544227,123
gene_4147670,123
gene_4192376,123
gene_4285981,123
gene_2668423,122
gene_4034762,122
gene_4348082,122
gene_4247181,122
gene_3460949,122
gene_3504372,122
gene_3296140,121
gene_3169507,121
gene_3706445,121
gene_2745606,120
gene_4437088,120
gene_4471155,120
gene_2738378,120
gene_4103276,120
gene_4267891,119
gene_3965834,119
gene_2348583,119
gene_4517788,118
gene_2870586,118
gene_3764832,118
gene_3147418,118
gene_4441498,118
gene_3422684,118
gene_3359107,118
gene_4401953,118
gene_2242713,118
gene_2974748,117
gene_3791024,117
gene_3394078,117
gene_4089109,117
gene_3697920,117
gene_4156632,117
gene_4076446,117
gene_3549334,117
gene_2821593,117
gene_4019258,117
gene_2779193,117
gene_4251654,117
gene_4620662,117
gene_2671553,117
gene_3561552,117
gene_4239737,116
gene_3416091,116
gene_4545706,116
gene_4198066,116
gene_4132911,116
gene_4138552,116
gene_4491746,116
gene_4414549,116
gene_4207445,116
gene_3930693,116
gene_3098774,116
gene_4056695,115
gene_3582062,115
gene_3860130,115
gene_4483122,115
gene_4512224,115
gene_4607190,114
gene_3559517,114
gene_3896976,114
gene_4443822,113
gene_4335671,112
gene_3874223,112
gene_3491307,112
gene_3501642,112
gene_3636022,112
gene_2731442,112
gene_3839417,111
gene_3723759,111
gene_2542392,111
gene_2947299,111
gene_4437344,111
gene_2815513,111
gene_4245387,111
gene_3171902,111
gene_2891628,110
gene_2113055,110
gene_4499199,110
gene_4124058,110
gene_4446864,110
gene_2839877,110
gene_3659142,109
gene_4506981,109
gene_3371392,108
gene_3910851,108
gene_4556772,108
gene_2751765,107
gene_3015454,107
gene_3422685,107
gene_4442443,107
gene_2396716,107
gene_4258903,107
gene_4103030,107
gene_3573195,107
gene_2414908,107
gene_4342427,106
gene_4015697,106
gene_3222669,106
gene_2615331,106
gene_2300063,106
gene_2864658,105
gene_3778329,105
gene_3843954,105
gene_4442367,104
gene_4430789,104
gene_4158662,104
gene_4316716,104
gene_4629999,103
gene_3814702,103
gene_3963550,103
gene_3769614,103
gene_4452368,103
gene_4008014,102
gene_3952487,102
gene_3507903,102
gene_3357055,102
DSM22607_4_GL0243623,101
gene_4186093,101
gene_4595285,101
gene_3577630,101
gene_4194280,101
gene_3020242,101
gene_3420703,101
gene_4277213,101
gene_3928063,100
gene_3761008,100
gene_3236789,100
gene_2660287,100
gene_3573009,100
gene_3985927,99
gene_2759629,99
gene_4498685,99
gene_4409697,99
gene_4000393,99
gene_4431481,99
gene_2267147,98
gene_4562113,98
gene_3979571,98
gene_4274460,98
gene_4573737,98
gene_3813131,98
gene_3335160,98
gene_4238847,98
gene_3061667,97
gene_4374499,97
gene_4548238,97
gene_4373423,97
gene_4287701,97
gene_3753724,96
gene_4328904,96
gene_2936220,96
gene_3754200,96
gene_2554635,96
gene_3087064,96
gene_4561988,95
gene_4257004,95
gene_3465852,95
gene_3877033,95
gene_4631316,95
gene_2960316,95
Food_11_GL0357206,95
gene_3739292,95
gene_3284991,95
gene_3701052,95
gene_4631408,95
gene_3742308,94
gene_4613965,94
gene_3407587,94
gene_4370760,94
gene_3487896,94
gene_4213637,94
gene_4318733,94
gene_3735792,93
gene_4059760,93
gene_4512223,93
gene_4292228,93
gene_3794844,93
gene_3952481,92
gene_4536800,92
HF-F_2_GL0008562,92
gene_3757682,92
gene_4188448,91
gene_3397605,91
gene_3919807,91
gene_4273003,91
gene_3195928,91
gene_3308769,91
gene_4375749,91
gene_4134797,91
gene_4022999,91
gene_2624757,91
gene_4354034,90
gene_4237820,90
gene_2444978,90
gene_2505865,90
gene_3611061,90
gene_3630332,90
gene_4593768,90
gene_3342270,90
gene_2204013,90
gene_4084415,90
gene_3605075,89
gene_2073551,89
gene_4110883,89
gene_4050349,89
