gene,noFMT_4_jejunum
gene_3213901,624
gene_4009128,623
gene_4316177,623
gene_3378237,621
gene_4132721,621
gene_4305320,619
gene_4203264,617
gene_3048704,617
gene_3221436,615
gene_4234918,614
gene_3393628,614
gene_3616270,613
gene_3867259,613
gene_4043077,612
gene_4528138,611
gene_3808459,610
gene_3891396,610
gene_3374861,609
gene_4007429,608
gene_4489856,608
gene_2507054,608
gene_4067681,606
gene_4433565,606
gene_4009535,606
gene_3911867,606
gene_3036178,606
gene_3857775,606
gene_4483988,605
gene_4158462,605
gene_3042080,603
gene_4032910,601
gene_2851782,600
gene_2953684,599
gene_3784095,599
gene_3612590,599
gene_4562190,597
gene_3977405,596
gene_3394445,596
gene_3101473,595
gene_4513875,594
gene_4219067,594
gene_4606530,594
gene_4611458,593
gene_4305460,592
gene_2837782,592
gene_3363819,592
gene_4164876,591
gene_4316493,590
gene_3196730,590
gene_3365448,588
gene_4529375,587
gene_3836959,587
gene_3667044,587
gene_4585997,586
gene_3716832,586
gene_3652454,586
gene_4466754,585
gene_4595680,585
gene_4499699,585
gene_4282247,584
gene_3461831,583
gene_2762763,582
gene_3590518,582
gene_4158416,582
gene_3866419,581
gene_4420630,580
gene_3862761,580
gene_4623567,580
gene_3210147,580
gene_3772239,579
gene_4499431,579
gene_3615601,578
gene_4378487,577
gene_3318738,577
gene_4406968,577
gene_3545078,576
gene_4051738,575
gene_4203002,575
gene_4470407,575
gene_4505036,574
gene_4416358,574
gene_3465828,573
gene_3385642,573
gene_4040662,573
gene_4485092,572
gene_4330947,572
gene_4222121,572
gene_3042132,571
gene_3581102,571
gene_3696813,571
gene_4408765,570
gene_4392070,569
gene_4021122,569
gene_3736960,569
gene_3251230,568
gene_4474935,567
gene_4548882,567
gene_4274272,567
gene_2609743,566
gene_3868655,566
gene_2803613,565
gene_3567414,565
gene_4075667,564
gene_3377575,563
gene_3572156,563
gene_4383761,563
gene_4257777,562
gene_3869673,558
gene_4108300,558
gene_4500981,557
gene_3792451,557
gene_4542711,557
gene_4494409,556
gene_3576352,556
gene_4534171,554
gene_4139158,553
gene_3896904,552
gene_3445319,550
gene_4317560,550
gene_4135494,550
gene_4346760,549
gene_3323454,549
gene_3986867,548
gene_4265553,548
gene_3178395,546
gene_3811264,546
gene_4034273,544
gene_4153792,544
gene_4420533,543
gene_4304448,543
gene_4467509,541
gene_4209155,541
gene_4347666,541
gene_2481200,539
gene_4462425,538
gene_3470073,538
gene_3136800,538
gene_4169428,538
gene_4179326,537
gene_3520790,537
gene_4432102,537
gene_3273310,536
gene_3230397,536
gene_4041724,534
gene_3996218,534
gene_4542301,533
gene_4466755,532
gene_4099366,532
gene_4495266,532
gene_3969514,531
gene_3705808,530
gene_4539942,530
gene_4279215,528
gene_3347716,528
gene_2217371,528
gene_3471875,527
gene_3395763,526
gene_3250146,526
gene_4089602,525
gene_3988271,525
gene_4616863,525
gene_4155791,524
gene_3037461,524
gene_1943947,524
gene_4632783,524
gene_3176526,524
gene_3305502,523
gene_3256291,523
gene_3638660,522
gene_4018366,522
gene_4309498,521
gene_4566746,519
gene_3913538,518
gene_3147416,518
gene_4483276,518
gene_3252853,518
gene_3293886,517
gene_3894563,516
gene_4258902,515
gene_3244653,515
gene_4263639,514
gene_4633058,513
gene_4220068,512
gene_3203715,512
gene_3967408,512
gene_3921369,512
gene_3968139,512
gene_3534785,511
gene_4406399,510
gene_3978143,510
gene_3208292,510
gene_2560333,509
gene_3414630,508
gene_4216701,508
gene_3314169,508
gene_3209101,508
gene_4044965,508
gene_4632305,508
gene_4050456,508
gene_4250014,505
gene_3300666,505
gene_4437273,505
gene_2876811,505
gene_3929361,504
gene_3992728,504
gene_2684157,502
gene_3701764,501
gene_2892854,501
gene_4216838,501
gene_2933446,501
gene_3596412,500
gene_4036515,498
gene_3631341,498
gene_2839179,498
7_GL0069563,498
gene_4255344,498
gene_4172273,497
gene_4474926,497
gene_3876445,496
gene_3935885,495
gene_3211338,495
gene_3405831,495
gene_4106559,494
gene_2777823,493
gene_4021958,493
gene_3731283,492
gene_4410467,492
gene_4609872,492
gene_4504041,491
gene_4117699,490
gene_4618044,488
gene_4474117,488
gene_4105483,487
gene_3746759,487
gene_4465933,486
gene_3419734,485
gene_4320139,484
gene_3154619,484
gene_4089261,484
gene_4426549,484
gene_3675602,483
gene_3675437,483
gene_3940284,483
gene_4501677,482
gene_3052508,482
gene_3159664,481
gene_4615339,481
10_GL0030387,480
gene_4622913,478
gene_4615338,476
gene_3267496,476
gene_4598259,476
gene_1930568,475
gene_3340960,475
gene_3569353,474
gene_3970794,474
gene_4261888,474
gene_3740385,473
gene_4073708,473
gene_4046817,472
gene_3873906,472
gene_3991949,471
gene_3862165,471
gene_3295111,471
gene_2794778,471
gene_4019895,470
gene_4633740,469
gene_3885384,469
gene_3646316,468
gene_2657735,468
gene_3656090,467
gene_4151035,467
gene_4182919,467
gene_4090523,467
gene_4153791,467
gene_4394211,465
gene_4546409,465
gene_4334077,465
gene_3032996,464
gene_3588999,464
gene_2658003,464
gene_4149240,464
gene_4153442,464
gene_4241412,463
gene_4634916,462
gene_3393630,461
gene_4269533,460
gene_3942197,460
gene_3474526,460
gene_3331940,460
gene_3790399,460
S-Fe4_GL0096858,460
gene_3740383,459
gene_3302001,459
gene_4222118,459
gene_3852974,459
gene_4249474,458
gene_3149382,458
gene_4320912,458
gene_4274409,457
gene_2938602,457
gene_4467399,457
gene_4180576,457
gene_4040747,457
gene_4612043,457
gene_4611670,456
gene_3241815,456
gene_4456613,456
gene_3789038,456
gene_3875564,456
gene_3524799,456
gene_4566288,455
gene_3830070,455
gene_4543219,454
gene_2974536,454
gene_4088307,454
gene_4629454,454
gene_4265317,454
gene_2986687,453
gene_4529292,453
gene_4147143,453
gene_4070299,453
gene_4467506,452
gene_3924911,451
gene_3768640,451
gene_4172081,451
gene_3470506,450
gene_3758893,450
gene_2688324,450
gene_3600794,450
gene_4309799,449
gene_3452612,449
gene_4604285,449
gene_3335067,449
gene_3128801,448
gene_2677191,447
gene_4556934,447
gene_4040375,447
gene_4540577,446
gene_2653875,446
gene_3918469,446
gene_4544228,445
gene_2195471,445
gene_3867818,444
gene_4246894,444
1A-dyr2-07_GL0044571,443
gene_2736075,443
gene_4502224,442
gene_4458882,442
gene_3433147,442
gene_4225054,441
gene_4317122,440
gene_3824923,439
gene_3979507,439
gene_3746756,439
gene_4299436,438
gene_4384708,438
gene_4383681,437
gene_4413039,437
gene_3867072,437
gene_3536024,436
gene_4149989,436
gene_3573521,436
gene_4001575,435
gene_3008714,435
gene_4103029,435
gene_4443786,435
gene_2836625,434
gene_4369416,434
gene_3944013,434
gene_4419114,434
gene_2476697,434
gene_3700930,434
gene_2687372,433
gene_3930784,433
gene_2950539,433
gene_3388185,433
gene_3589527,432
gene_4021415,432
gene_2658890,432
gene_4273368,432
gene_4137143,432
gene_4489862,431
gene_3158796,430
gene_3930336,430
gene_3767204,430
gene_3761497,430
gene_4306960,429
gene_4513989,428
gene_2902355,428
gene_4436151,428
gene_3917252,428
gene_4217315,427
10_GL0030386,427
gene_4059907,426
gene_3651666,426
gene_4513576,426
gene_3793510,426
gene_4159504,425
gene_4375746,425
gene_1796288,425
gene_3945907,425
gene_4492526,424
gene_4268601,423
gene_3880524,423
gene_2905495,422
gene_4624028,422
gene_3410007,421
gene_2807308,421
gene_4059909,421
gene_3151781,420
gene_4053958,420
gene_3839277,420
gene_4108746,420
gene_3656140,419
gene_4044582,419
gene_3727693,418
gene_4363576,418
gene_4403355,417
gene_3905500,417
gene_3913077,416
gene_3821375,416
gene_3017876,415
gene_3016781,415
gene_4160447,415
gene_4485091,413
gene_4463221,413
gene_2865884,412
gene_3763409,411
gene_3805266,410
gene_4013034,409
gene_4152129,408
gene_4118449,408
gene_4023847,408
gene_1958653,408
gene_3548732,408
gene_4254653,408
gene_4310092,408
gene_3729740,408
gene_4121122,407
gene_2489998,407
gene_2596772,407
gene_3247778,407
gene_3940249,406
gene_3352067,405
gene_4625580,403
gene_2847653,403
gene_3087960,403
DSM22607_4_GL0340256,402
gene_3870295,402
gene_3277055,402
gene_4574726,401
gene_4334388,401
gene_4214772,400
gene_3818620,399
gene_3892935,398
gene_3431941,398
gene_3249762,397
gene_2844581,397
gene_3343755,395
gene_3552768,395
gene_4489830,395
gene_4315453,394
gene_3992196,394
gene_3535619,394
gene_3408849,393
gene_3576986,393
gene_4304252,393
gene_4032535,393
gene_2531463,392
gene_3545699,391
gene_3987824,391
gene_4426836,390
gene_4509529,390
gene_4517282,390
gene_3314902,388
gene_4434951,388
gene_4603222,388
gene_3259552,387
gene_3271895,387
gene_3576356,387
gene_4520153,387
gene_4018401,385
gene_4107753,385
gene_4471081,385
gene_4327639,384
gene_4353641,384
gene_3913539,384
gene_3845096,384
gene_4213680,384
gene_3979470,384
gene_3468031,384
gene_3412541,384
gene_4252529,383
gene_4612385,383
gene_3256987,382
gene_4130003,382
gene_2115899,381
gene_4358652,381
gene_3098645,381
gene_3699416,380
gene_3986306,380
gene_4207199,380
gene_3611881,379
gene_3570114,379
gene_4140834,379
gene_4471536,379
gene_3878529,378
gene_4626142,378
gene_2748605,377
gene_4085699,377
gene_4367107,377
gene_4080231,376
gene_3532645,375
gene_4286467,375
gene_4303071,374
gene_3359669,374
gene_4609966,374
gene_4452723,374
gene_3331026,373
gene_4370922,373
gene_4503882,373
gene_4146198,373
gene_4097100,373
gene_3483168,373
gene_3209751,372
gene_4497719,372
gene_4146844,372
gene_3431942,371
gene_4385236,371
gene_3584032,370
gene_4523717,370
gene_3784734,370
gene_4392938,369
gene_3247777,369
gene_3443561,369
S-Fe1_GL0151621,368
gene_3570235,368
gene_4157882,368
gene_3557530,367
gene_4612983,367
gene_2855783,367
gene_3217843,366
gene_2794975,366
gene_4573738,366
gene_2497116,366
gene_2548133,366
gene_4448664,365
gene_4609410,365
gene_3321131,365
gene_3629582,364
gene_2256624,364
gene_3985860,363
gene_3878528,363
gene_2855784,363
gene_2360609,362
gene_4485093,362
gene_4123435,361
gene_3782836,361
gene_2382596,360
gene_3720711,359
gene_4110617,359
gene_2659887,359
gene_3823488,359
gene_3880134,358
gene_3457766,357
gene_3655250,357
gene_3170172,356
gene_3748570,356
gene_2598443,356
gene_3544107,355
gene_4410001,355
gene_3138143,355
gene_4107239,355
gene_2588043,355
gene_4591505,354
gene_3339741,354
gene_4021954,354
gene_3782941,354
gene_2436565,354
gene_4422374,353
gene_3217844,353
gene_4088308,353
gene_4216341,352
gene_4616818,351
gene_4168454,351
gene_3656089,350
gene_3939997,350
gene_3684198,349
gene_4290880,349
gene_4442343,349
gene_3902442,349
gene_2738377,349
gene_3009815,348
gene_4055708,347
gene_3407586,346
gene_3831705,346
gene_4131553,346
gene_4086729,346
gene_4218354,345
gene_3905031,345
gene_3530376,345
gene_3886870,345
gene_3501541,344
gene_3387999,342
gene_3902595,341
gene_4304251,341
gene_3804073,340
gene_4593702,340
gene_4395000,340
gene_4279060,340
gene_3776251,340
gene_4299283,340
gene_4497716,340
10_GL0012831,339
gene_3971172,339
gene_4516147,339
gene_4409338,339
gene_4387186,338
gene_3544564,338
gene_4116340,338
gene_3395345,337
gene_2988423,337
gene_3986654,337
gene_4517630,336
gene_4445564,335
gene_2982674,335
gene_4601967,334
gene_4239190,333
gene_4095929,332
gene_3361261,332
gene_4348081,332
gene_4087327,331
gene_4353436,331
gene_3515995,330
gene_3411395,330
gene_4364448,330
gene_4382686,330
gene_4542087,330
gene_3452368,328
gene_2398524,328
gene_3394078,328
gene_2545589,327
gene_4540214,327
gene_3962232,327
gene_3781212,326
gene_4069655,326
gene_4623429,325
gene_3878289,325
gene_4449784,325
gene_4079729,325
gene_4096662,325
gene_3835875,325
gene_3851480,325
gene_1943946,325
gene_4492869,324
gene_2554634,324
gene_4308400,324
gene_4157349,324
gene_4321182,324
gene_3061537,324
gene_4099202,324
gene_4529699,323
gene_2843767,323
gene_4443788,323
gene_4605923,322
gene_4584189,322
gene_3939574,321
gene_3583194,321
43_GL0101304,320
gene_3649966,320
gene_3635121,320
gene_4523371,319
gene_4242693,319
gene_4452467,319
gene_3789039,319
gene_4062857,318
gene_4556371,318
gene_4546408,318
gene_3426084,317
gene_4467507,317
gene_3992708,317
gene_4435123,317
gene_4408105,317
gene_3998040,317
gene_4540508,316
gene_4298553,316
gene_3910325,316
gene_3110449,315
gene_4568437,315
gene_4520504,315
gene_4419666,315
gene_4259368,313
gene_3730822,313
gene_4288577,313
gene_4073625,312
gene_4596036,312
gene_4317729,312
gene_2400855,311
gene_2907468,311
gene_4280128,311
gene_3533367,311
gene_4058617,310
gene_4183762,310
gene_2907312,309
gene_3377577,309
gene_2347056,309
gene_2828118,309
gene_4270176,309
gene_2671473,308
gene_3335066,308
gene_4258310,308
gene_3021138,308
gene_3994098,308
gene_3229695,308
gene_4253786,307
gene_3958335,306
gene_3812130,306
gene_4466074,306
gene_3070147,305
gene_4412464,305
gene_3835586,304
gene_4325086,304
gene_3903189,304
gene_3791658,304
gene_4536110,304
gene_3942185,303
gene_4477387,303
gene_3483964,303
gene_3825342,302
gene_4287837,301
gene_4096066,300
gene_3020902,300
gene_4235718,299
gene_3617341,299
gene_3434320,299
gene_4470406,298
gene_3020502,298
gene_2398525,298
gene_4064682,298
gene_3637357,298
gene_4174320,297
gene_3470408,297
gene_4582928,297
1A-dyr2-07_GL0004307,297
gene_4451134,297
gene_4473652,297
gene_3887703,296
gene_4239563,296
gene_4505499,296
gene_3980224,296
10_GL0057366,295
gene_3986267,295
gene_4399332,295
gene_4628276,295
gene_2942453,295
gene_3996528,295
10_GL0005493,294
gene_4637268,294
gene_4630560,294
45_GL0167929,294
gene_4563513,294
gene_4334389,293
gene_3675601,293
gene_3672159,293
gene_4564532,293
gene_3537520,293
gene_4187980,293
gene_2651766,292
gene_3497191,292
gene_4203263,292
gene_4430403,292
gene_3847533,292
gene_3424683,292
gene_3952118,290
gene_3846320,290
gene_2688259,289
gene_3694244,289
gene_4350987,289
gene_4238894,289
gene_4018213,288
gene_4089409,288
gene_4003123,287
gene_3224342,287
gene_4114702,287
gene_4308971,287
gene_4511433,287
gene_3120991,287
gene_3144828,286
gene_3743822,286
gene_3030514,285
gene_4096958,285
gene_3477282,285
gene_3238698,285
gene_3736800,285
gene_3992068,284
gene_3755259,284
gene_4358011,284
gene_3241222,284
gene_3697920,283
gene_2612009,283
gene_4348083,283
gene_3521261,283
gene_4546130,283
gene_3653030,282
gene_2775055,282
gene_4157725,282
gene_3638608,282
gene_4022371,281
gene_3558225,281
gene_4160203,281
gene_3293038,280
gene_3876300,280
gene_3432626,279
gene_3553954,279
gene_4573431,279
gene_4622483,279
gene_4320137,279
gene_3203079,278
gene_2748457,278
gene_3916226,278
gene_3955079,278
gene_4572013,278
gene_4080173,278
gene_2947255,278
gene_3566700,277
gene_3208633,276
gene_4372256,276
gene_4003577,276
gene_4131554,276
gene_2444072,275
gene_4438282,275
gene_4561586,275
gene_4497927,275
gene_4200727,275
gene_4321820,274
gene_3503605,274
gene_3420392,274
gene_2862595,274
gene_4290563,274
gene_3825579,274
gene_3385050,273
gene_3000862,273
gene_3508106,273
gene_3913946,273
gene_4032220,273
gene_2731442,273
gene_4128625,272
gene_3700585,271
gene_3688415,271
gene_4293903,271
gene_4442437,271
1A-dyr2-07_GL0018927,270
gene_3878339,270
DSM22607_4_GL0243623,270
gene_4378040,269
gene_4452507,269
gene_4231946,269
10_GL0021987,269
gene_2027438,269
gene_3950111,269
gene_3708805,269
gene_3568137,268
gene_3987263,268
gene_4218946,267
gene_4446473,267
gene_3738895,267
gene_3892505,267
gene_3896782,267
gene_3747117,266
gene_4095762,266
gene_3769682,266
gene_4030929,266
gene_4015697,265
gene_3501642,265
gene_4246071,265
gene_3752730,265
gene_3772264,265
gene_3766364,264
gene_4411418,264
gene_3314903,264
gene_4609967,264
10_GL0081955,264
gene_4218945,263
10_GL0003464,263
gene_3245032,263
gene_2525169,262
gene_4101748,262
gene_4093542,262
gene_4265316,261
gene_4324715,261
gene_3386808,261
gene_3701052,261
gene_3928646,261
gene_4369391,261
gene_3911803,260
1A-dyr2-07_GL0031348,260
gene_3819729,260
gene_3317329,260
gene_4389477,260
gene_4179817,259
gene_3015770,259
gene_4137251,259
gene_3477439,259
gene_3504372,259
gene_4417977,258
gene_4265295,258
gene_4224908,258
gene_3701333,257
gene_3125400,257
gene_4109179,257
gene_4156632,257
gene_4227884,257
gene_3422190,257
gene_3649676,256
gene_3053565,256
gene_3606768,255
gene_3754341,255
gene_3622006,255
gene_4519327,254
gene_4561712,254
gene_3360103,253
gene_3975977,253
gene_4513990,253
gene_3661365,253
gene_3178518,253
S-Fe10_GL0049502,253
gene_4088309,252
gene_4120103,252
gene_3968138,252
gene_2345741,252
gene_4228672,251
gene_4115873,251
gene_3369022,251
gene_4241568,250
gene_4282880,250
gene_3016196,250
gene_3026649,249
gene_4291186,249
gene_4063114,249
gene_4549415,249
gene_4128623,249
gene_3894131,249
S-Fe4_GL0131596,248
gene_4236880,248
gene_4502189,248
gene_3442602,248
gene_3874223,247
gene_4566159,247
gene_3209100,247
gene_3823417,247
gene_4382972,246
gene_4449542,246
gene_4304471,246
gene_3947896,246
gene_4586186,246
gene_4103682,246
gene_4545438,245
gene_4104294,245
gene_1131753,245
gene_4548236,245
gene_4435122,245
11_GL0076861,245
gene_4330948,245
gene_4321906,244
10_GL0030365,244
gene_4161604,244
gene_4280827,244
1A-dyr2-07_GL0030887,244
gene_3659756,244
1A-dyr2-07_GL0030401,243
gene_3363935,243
gene_4405189,243
gene_3205533,242
gene_3794014,242
gene_3162651,242
gene_3752113,242
gene_3788613,242
gene_4577249,241
gene_4638289,241
gene_4602238,241
gene_3193677,241
gene_4021955,241
gene_4351361,239
gene_3963734,239
4-4_GL0084790,239
gene_3866491,238
gene_3359107,238
gene_4016255,238
gene_2779193,237
gene_3365398,237
gene_3591813,236
10_GL0030379,236
gene_4042559,236
gene_4222117,236
gene_3737321,236
gene_1797084,236
gene_4322121,235
gene_3688249,235
gene_2945924,235
gene_4525919,235
gene_3183669,235
gene_4405089,235
gene_3485290,235
gene_3768885,235
gene_1228123,235
gene_3224473,234
gene_4498628,234
gene_3574475,234
gene_4503527,234
gene_3561552,234
gene_3902141,233
gene_4214790,233
gene_4346855,233
gene_4343613,233
gene_4556772,232
gene_3815982,232
gene_3826634,232
gene_4277213,232
gene_4545706,232
gene_3391813,232
gene_3222669,232
gene_2960316,231
gene_4152213,231
gene_4527917,231
gene_2745606,231
10_GL0037688,231
gene_3952487,230
gene_3839417,230
gene_4412666,230
gene_4373937,230
gene_3371393,230
gene_3122280,229
gene_4475386,229
gene_3839567,229
gene_3312054,229
gene_2403163,228
gene_4066797,227
gene_3788353,227
gene_3237970,227
gene_3209099,227
gene_2788973,227
gene_2658889,227
gene_3919807,226
gene_4145712,226
gene_4434871,226
gene_4475245,226
gene_3723278,226
10_GL0023860,226
gene_3098774,225
gene_3910328,225
gene_2542392,224
gene_4633114,224
gene_3203713,224
gene_2821593,224
gene_3877458,223
gene_4267891,223
10_GL0000838,223
gene_4006072,223
gene_4021342,222
gene_2207959,222
gene_3251442,222
gene_3647451,222
NZ_RAYV01000002.1_cds_WP_120359268.1_1056,222
gene_4215772,222
10_GL0032898,222
gene_4192376,221
gene_3340959,220
gene_3283102,220
gene_3830681,220
10_GL0020107,220
gene_3948070,220
gene_3524792,219
10_GL0090845,219
gene_3045510,219
gene_3422684,218
gene_2348583,218
gene_4421702,218
gene_4251654,217
gene_3240042,217
gene_2862090,217
gene_4437088,217
gene_4147670,217
gene_3889288,217
gene_2832435,216
gene_4188448,215
gene_4544227,215
gene_3611523,215
10_GL0087650,215
gene_4134797,215
gene_3031888,215
gene_2517279,215
gene_2113055,214
gene_4460953,214
gene_3680054,214
gene_4244866,214
gene_4198064,214
gene_3016197,214
gene_3573009,214
gene_3664881,213
gene_3319054,213
gene_2985365,213
gene_3335160,213
gene_4348082,213
10_GL0030747,213
gene_4491746,213
gene_4306017,213
gene_4179816,212
gene_4431481,212
gene_3873057,212
gene_3764832,211
gene_4335671,211
gene_3594870,211
gene_3517306,211
gene_3366673,211
gene_4512224,211
gene_4258739,211
gene_3166850,211
gene_3163159,210
gene_4438048,210
gene_3739292,210
gene_3539774,210
gene_2579591,209
gene_3558226,209
gene_3762862,208
gene_2615331,208
gene_4566738,208
gene_4037308,208
gene_4354034,208
gene_2668423,208
gene_3295179,207
gene_2505865,207
gene_4039330,207
gene_4257004,206
10_GL0037685,206
gene_4500980,206
gene_2444978,206
gene_4629999,206
gene_4239737,206
gene_3269065,205
gene_4443822,205
gene_3308717,205
gene_2400525,205
gene_2684484,205
gene_4253613,205
gene_3070690,204
gene_4203262,204
gene_4506981,204
gene_4426395,204
gene_4328904,203
gene_4483122,203
gene_4158662,203
gene_4258089,202
gene_4631409,202
gene_3794844,202
gene_3684338,202
gene_4248567,201
gene_4528196,201
gene_4620662,200
gene_3367050,199
gene_4089109,199
gene_2226190,198
gene_3549334,198
gene_4488023,198
gene_4619635,198
10_GL0097310,198
gene_3979508,198
gene_3195928,198
gene_4510842,198
gene_4385476,198
1A-dyr2-07_GL0065047,197
gene_2300063,197
gene_3970211,196
gene_3860130,196
gene_3020242,196
gene_4480420,196
gene_3357055,196
gene_3769614,196
gene_4529695,196
gene_2947299,196
gene_4356249,196
gene_3284991,195
gene_4562113,195
gene_3507903,195
gene_3371392,195
gene_4589746,195
gene_2839180,195
gene_4124058,195
1A-dyr2-07_GL0008641,195
gene_4477933,195
gene_4613965,195
gene_2975699,195
gene_4091043,194
1A-dyr2-07_GL0065905,194
10_GL0020114,194
gene_4110883,193
gene_3624994,192
gene_3148548,192
gene_4375749,192
gene_3342270,192
gene_4285981,192
gene_3965834,192
gene_4007592,192
gene_3701217,191
1A-dyr2-07_GL0004289,191
gene_3920429,191
gene_4442443,190
gene_3783768,190
gene_3609578,190
gene_3319848,190
gene_4022999,190
gene_3147418,190
gene_3688763,190
gene_4245387,190
10_GL0093317,189
gene_3757682,189
gene_3546743,188
gene_3447360,188
gene_4082320,188
gene_3896976,188
gene_4632766,188
gene_3630332,188
gene_3559517,187
10_GL0016163,187
gene_2791557,186
gene_2244609,186
gene_3396364,186
10_GL0020117,186
gene_2624757,186
gene_3843954,185
gene_1534425,185
gene_1097625,185
gene_3985927,185
gene_3900615,185
gene_4559732,185
gene_3619597,184
gene_3416091,184
gene_3791024,184
gene_4337085,184
gene_3735792,184
gene_4438084,184
gene_4181468,184
10_GL0097792,183
gene_3681740,183
gene_3916745,183
gene_3696814,183
gene_3225670,183
S-Fe10_GL0029293,183
gene_4452368,183
gene_4527576,182
gene_4365283,182
gene_3963550,181
gene_3896186,181
gene_2588975,180
10_GL0030372,180
gene_4274460,180
gene_2759629,180
gene_3835984,179
gene_4544603,179
gene_1502962,179
gene_2891628,178
2-1_GL0001744,178
gene_2751765,178
gene_4094560,178
gene_2762206,178
gene_4252705,178
gene_3487896,178
1A-dyr2-07_GL0067024,177
gene_3008563,177
10_GL0099105,177
gene_3930782,177
gene_3759426,177
gene_4198066,177
10_GL0019360,176
gene_3979571,176
10_GL0050632,176
gene_3940464,176
gene_4131555,176
gene_4384710,175
gene_4528749,175
gene_3920705,175
gene_3768162,175
gene_2451765,175
gene_4498685,174
gene_2197877,174
gene_2414908,174
gene_4140213,174
10_GL0074475,174
10_GL0097796,173
gene_3397605,173
gene_4631408,172
S-Fe4_GL0075317,172
gene_3703836,172
gene_2891827,172
gene_4401953,172
gene_2815513,172
gene_2870586,171
gene_3864697,171
gene_4559733,171
gene_4238847,171
gene_3061667,171
gene_4169248,170
gene_4008014,170
gene_3015454,170
10_GL0030964,170
gene_3331960,170
gene_4117233,169
1A-dyr2-07_GL0069637,169
gene_2726972,169
10_GL0019355,169
10_GL0030327,169
gene_3924558,169
gene_3753724,169
gene_4105546,169
1A-dyr2-07_GL0044496,168
gene_4007919,168
gene_4099942,168
gene_3910851,167
10_GL0072676,167
gene_3525804,167
gene_2788830,167
gene_3813131,167
gene_4512223,167
10_GL0092901,167
10_GL0039431,167
Food_11_GL0357206,166
gene_1177047,166
gene_3407587,166
10_GL0053441,165
1A-dyr2-07_GL0030393,165
gene_3611061,165
gene_3840600,165
10_GL0002264,165
gene_2564296,164
gene_4290748,164
