gene,noFMT_1_jejunum
gene_4036652,41
HF-S_4_GL0135578,41
2-2_GL0147782,41
gene_3037461,41
G1-1A_GL0055940,41
gene_4172273,41
gene_4467399,41
6-6_GL0113767,41
Chow_7_GL0133564,41
G1-1A_GL0049116,41
Chow_2_GL0007221,41
NZ_RAZA01000107.1_cds_WP_120480711.1_13,41
NZ_KB822458.1_cds_WP_004076936.1_3261,40
gene_4274272,40
HF-S_8_GL0181926,40
gene_1795250,40
gene_466548,40
gene_1795249,40
G1-1A_GL0055939,40
gene_3952247,40
gene_3808459,40
gene_4353641,40
gene_4513499,40
Food_10_GL0121757,40
gene_3149382,40
Group2-6A_GL0131595,40
gene_3867259,40
MH-6-2_GL0031292,40
gene_650047,40
S-Fe12_GL0137680,40
4-1_GL0001129,40
20_GL0121220,39
gene_3101473,39
6-3_GL0062974,39
gene_3210147,39
gene_3658717,39
gene_3251230,39
gene_4408765,39
gene_3001961,39
gene_4147251,39
gene_3549943,39
gene_3569353,39
2-2_GL0151369,39
Group2-6A_GL0079077,39
gene_4564162,39
gene_4344959,39
gene_3701764,39
gene_3824167,39
MH-0-5_GL0000330,39
gene_2891508,39
gene_4438648,39
gene_1958653,38
gene_3868912,38
45_GL0001426,38
gene_2768212,38
Group2-3A_GL0008945,38
gene_3968139,38
48_GL0005190,38
gene_3016781,38
gene_3516854,38
gene_3862761,38
gene_4410387,38
gene_4158462,38
27_GL0109065,38
gene_3473466,38
NZ_KB822478.1_cds_WP_004056505.1_1922,38
gene_292134,38
gene_4434951,37
gene_4501677,37
S-Fe11_GL0126211,37
gene_2646438,37
gene_4540577,37
gene_3277055,37
gene_4032910,37
gene_3667044,37
gene_2837782,37
gene_3758893,37
gene_3651666,37
gene_4016531,37
gene_2596772,37
OB-1_4_GL0195913,37
NZ_NHTR01000011.1_cds_WP_065547571.1_450,37
gene_4118449,37
gene_4489862,37
gene_3841170,37
gene_3612590,37
gene_4539942,37
gene_3305502,37
gene_4403355,37
gene_4566288,37
gene_4135494,37
gene_2689429,37
gene_4160447,37
gene_4462425,37
gene_3433147,37
NZ_RAZA01000074.1_cds_WP_016222254.1_4019,37
NZ_RAZA01000128.1_cds_293,36
gene_3869673,36
1A-dyr4-07_GL0056464,36
NZ_KB822441.1_cds_WP_004068264.1_8,36
gene_3147416,36
gene_4032535,36
4-4_GL0070250,36
gene_3588999,36
26_GL0143557,36
gene_4422374,36
gene_4432102,36
gene_3631341,36
gene_3819124,36
gene_4216701,36
NZ_NHTR01000003.1_cds_WP_065548055.1_4322,36
NZ_OFSM01000073.1_cds_WP_103242710.1_4525,36
gene_2653875,36
Chow_4_GL0320013,36
gene_4046817,36
gene_3470408,36
gene_3541958,35
5-7_GL0020995,35
gene_4026121,35
Chow_2_GL0000749,35
gene_3363819,35
gene_2095992,35
gene_3452612,35
gene_3176526,35
MH-6-2_GL0114405,35
5-6_GL0073936,35
7-8_GL0090602,35
AF73-05_7_GL0025292,35
gene_4561987,35
G1-2A_GL0033846,35
3-3_GL0019903,35
HF-F_1_GL0172422,35
gene_4601967,35
Group2-7A_GL0072250,35
gene_4612043,34
gene_3485290,34
gene_3613911,34
2-1_GL0064072,34
gene_4237935,34
1-3_GL0111896,34
gene_4320139,34
8-3_GL0052706,34
gene_3746759,34
gene_4501438,34
gene_4041724,33
gene_3898806,33
gene_4529292,33
gene_3361261,33
gene_4471536,33
1A-dyr1-07_GL0006965,33
gene_2220303,33
2-3_GL0099794,33
gene_2657735,33
gene_4137251,33
S-Fe12_GL0054299,33
gene_4160203,33
gene_2762763,33
2A-dyr13-06_GL0032336,33
gene_4106559,33
3-4_GL0057221,33
gene_4410467,33
NZ_KB822458.1_cds_WP_004076928.1_3256,33
HF-F_14_GL0195526,33
gene_2945567,33
gene_3873906,33
NZ_RAYU01000577.1_cds_WP_115623679.1_5438,33
gene_3166953,33
gene_3980224,33
4-4_GL0032694,33
2795720856,33
gene_4139837,33
9_GL0003470,33
Food_5_GL0215951,33
gene_3866491,33
gene_3347464,33
gene_3617341,33
gene_3317329,33
37_GL0075111,33
gene_4183762,33
7-1_GL0030537,33
7-5_GL0095516,33
gene_1943947,33
gene_4542301,32
gene_4043077,32
gene_3876445,32
3B-dyr31-06_GL0015206,32
gene_2850056,32
gene_3831705,32
S-Fe12_GL0152349,32
gene_3790903,32
HF-S_4_GL0063490,32
AF73-05_1_GL0219229,32
gene_3810505,32
6-4_GL0079363,32
NZ_RAZA01000012.1_cds_295,32
gene_3291045,32
gene_4591505,32
gene_3273047,32
gene_3477282,32
gene_4634338,32
gene_4443786,32
gene_2902355,31
gene_4489856,31
gene_4512024,31
Group2-7A_GL0035677,31
NZ_RAYE01000009.1_cds_WP_120441440.1_5094,31
gene_4386762,31
gene_4282247,31
NZ_RAYM01000071.1_cds_WP_120437433.1_3543,31
S-Fe11_GL0086797,31
gene_3825579,31
gene_3749960,31
NZ_RAZG01000054.1_cds_3587,31
gene_4228864,31
gene_3649150,31
DSM22607_4_GL0340256,31
NZ_RAYE01000031.1_cds_2454,31
gene_3412541,31
gene_3534785,31
MH-6-2_GL0058562,31
NZ_RAZA01000048.1_cds_WP_120480450.1_3155,31
2-5_GL0037977,31
gene_4299436,31
gene_3250147,31
gene_4566746,31
gene_3217843,31
AF73-05_10_GL0030615,31
S-Fe12_GL0057299,30
gene_2609743,30
S-Fe19_GL0064100,30
gene_4021349,30
S-Fe1_GL0012201,30
gene_3036178,30
6-6_GL0114103,30
7-6_GL0014941,30
gene_3885694,30
S-Fe8_GL0250386,30
NZ_RAYQ01000029.1_cds_WP_120472001.1_2152,30
gene_2115899,30
2791814156,30
6-6_GL0036727,30
2-8_GL0088737,30
gene_3032996,30
gene_3600794,30
gene_3803066,30
gene_3992708,30
gene_3989023,30
gene_4179288,30
gene_4546409,30
gene_4171501,30
2791814154,30
gene_4603222,30
gene_2249321,30
16_GL0085607,30
S-Fe5_GL0026860,30
gene_3471875,30
gene_4508783,30
gene_3746756,30
gene_3521261,30
gene_3394445,30
S-Fe2_GL0191423,29
gene_4234918,29
MC-6-2_GL0107041,29
gene_4044965,29
Group2-7A_GL0106860,29
gene_3335067,29
gene_4258902,29
gene_4330949,29
S-Fe20_GL0097097,29
gene_3247777,29
10_GL0022695,29
gene_3273310,29
Group2-8A_GL0061453,29
S-Fe8_GL0256333,29
MC-6-1_GL0027508,29
NZ_RAYQ01000037.1_cds_WP_120472173.1_2651,29
gene_3823488,29
HF-F_12_GL0147564,29
gene_3911867,29
NZ_RAYQ01000015.1_cds_WP_120470978.1_724,29
NZ_KB822441.1_cds_WP_004068255.1_4,29
gene_3330827,29
gene_3919810,28
gene_3361691,28
G1-1A_GL0039742,28
gene_4534171,28
gene_3395763,28
gene_3867818,28
gene_4626142,28
gene_4304448,28
2A-dyr14-06_GL0049540,28
gene_2947127,28
gene_4401297,28
gene_3789039,28
Group2-8A_GL0128957,28
gene_3862165,28
NZ_RAZK01000141.1_cds_WP_120486853.1_1021,28
gene_4617382,28
NZ_RAYF01000043.1_cds_WP_120436730.1_2207,28
gene_3104646,28
14_GL0074407,28
gene_4028544,28
gene_2171762,27
gene_3630863,27
Food_6_GL0164347,27
G1-4A_GL0014147,27
gene_4085699,27
HF-F_13_GL0259271,27
gene_4220068,27
gene_3241815,27
gene_4218769,27
gene_3939091,27
gene_3470073,27
gene_4578517,27
11_GL0112632,27
gene_3967408,27
gene_3902442,27
gene_4108299,27
NZ_RAYR01000014.1_cds_WP_120412133.1_26,27
NZ_RAZD01000066.1_cds_WP_120422947.1_3117,27
NZ_RAZF01000053.1_cds_WP_120429026.1_2656,27
gene_4609966,27
gene_4378487,27
gene_3705808,27
gene_4627549,27
gene_4281171,27
gene_4096662,27
DSM22607_10_GL0317222,27
gene_4016255,27
gene_2736075,27
gene_1365646,27
gene_4420533,27
gene_2762987,27
1-4_GL0056533,27
ERR1212009_Scaf5_264,27
gene_4517226,27
gene_4003577,27
gene_4317122,27
gene_3611523,27
gene_3057548,27
gene_3314902,27
G1-7A_GL0033374,27
gene_3896904,27
Group2-1A_GL0016504,27
gene_3580147,27
gene_2794975,27
gene_3314169,27
NZ_RAYQ01000037.1_cds_WP_120472170.1_2647,27
gene_4073625,27
gene_4032496,26
NZ_RAYM01000080.1_cds_WP_120437575.1_3834,26
gene_3767204,26
gene_3696813,26
31_GL0028720,26
gene_3913077,26
gene_3768885,26
gene_3393628,26
gene_2043788,26
gene_4225958,26
gene_2347056,26
Food_6_GL0330513,26
NZ_QZFS01000290.1_cds_WP_129184938.1_3856,26
gene_3970794,26
gene_3967568,26
1-1_GL0079077,26
gene_4375746,26
gene_3159664,26
gene_3929361,26
gene_4253614,26
gene_4304052,26
gene_4395000,26
gene_4279215,26
gene_3312054,26
S-Fe12_GL0029152,26
NZ_RAYB01000069.1_cds_WP_121708478.1_3352,26
gene_4502224,26
gene_4628276,26
DSM22607_4_GL0026226,26
gene_4180224,26
NZ_OFSM01000071.1_cds_WP_103242690.1_5619,26
gene_3191491,26
gene_3986654,26
gene_4624028,26
34_GL0037777,26
gene_3217844,26
NZ_OFSM01000073.1_cds_WP_103242708.1_4526,26
Chow_8_GL0307493,26
gene_3209101,26
gene_4282880,26
gene_3646316,26
gene_4315453,26
gene_3635121,26
gene_4055708,25
gene_4157882,25
gene_4025509,25
AF73-05_5_GL0104433,25
gene_3615601,25
gene_3904066,25
gene_4629454,25
Chow_5_GL0062687,25
gene_4528749,25
MH-0-4_GL0030305,25
gene_4544228,25
gene_4632305,25
G1-4A_GL0094477,25
1A-dyr4-07_GL0105926,25
NZ_QZFS01000032.1_cds_WP_129178901.1_4474,25
gene_4249474,25
NZ_RAYF01000050.1_cds_WP_120437666.1_2519,25
gene_4420133,25
gene_2855783,25
gene_3659756,25
gene_3670427,25
NZ_QZFS01000045.1_cds_WP_129179853.1_5814,25
MC-0-1_GL0031234,25
gene_2889990,25
26_GL0067784,25
gene_4265295,25
NZ_RAYU01000162.1_cds_1289,25
gene_4151035,25
gene_2905495,25
NZ_RAZG01000011.1_cds_WP_120407190.1_305,25
gene_4523717,25
gene_3886870,25
gene_3649676,25
gene_2217371,25
gene_4320912,25
gene_4540508,25
Chow_3_GL0137821,25
1A-dyr1-07_GL0020398,25
gene_4305460,25
gene_4378040,25
gene_3447360,25
gene_2891827,25
46_GL0046789,25
gene_3608730,25
gene_2427730,25
gene_3247778,25
gene_4321906,25
NZ_RAYQ01000028.1_cds_WP_120471967.1_2107,25
gene_2947255,25
gene_3721277,25
gene_4030929,25
gene_3684198,25
AF73-05_4_GL0097962,24
gene_4548236,24
gene_2385748,24
AF73-05_9_GL0089190,24
gene_4075668,24
gene_4087327,24
gene_3408849,24
gene_4383681,24
gene_3052838,24
gene_3918469,24
gene_3677848,24
NZ_RAZA01000094.1_cds_WP_120480695.1_4395,24
Group2-2A_GL0067830,24
Group2-2A_GL0111754,24
gene_3787930,24
gene_4495409,24
45_GL0001421,24
NZ_RAZK01000153.1_cds_WP_120486940.1_1231,24
gene_3045510,24
gene_4456831,24
AF73-05_13_GL0006288,24
G1-6A_GL0012753,24
gene_3343755,24
gene_3558225,24
2A-dyr16-06_GL0070287,24
Food_12_GL0110556,24
gene_4453499,24
8-1_GL0000448,24
gene_3693716,24
gene_4265317,24
gene_3748625,24
AF73-05_1_GL0175657,24
gene_3374861,24
NZ_RAYQ01000059.1_cds_WP_120472472.1_3542,24
HF-F_14_GL0344810,24
54_GL0025880,24
gene_4529375,24
2-2_GL0065639,24
HF-F_4_GL0043535,24
4-4_GL0027947,24
gene_3675602,24
gene_4307382,24
gene_4595680,24
gene_3230397,24
NZ_RAYE01000054.1_cds_3876,24
gene_4520153,24
NZ_RAYB01000067.1_cds_WP_121708460.1_3180,24
gene_4157349,23
2B-dyr24-07_GL0008739,23
gene_3574173,23
NZ_RAYB01000055.1_cds_WP_121708295.1_2816,23
gene_3557724,23
gene_3573521,23
HF-S_2_GL0074512,23
gene_3589527,23
DSM22607_10_GL0164666,23
NZ_OFSM01000066.1_cds_WP_103242646.1_4617,23
gene_4509529,23
AF73-05_9_GL0012452,23
gene_2765818,23
gene_3008714,23
gene_3656140,23
gene_3675601,23
3_GL0081400,23
gene_2788973,23
gene_3249762,23
gene_3544107,23
gene_3278013,23
gene_3269065,23
gene_3997044,23
gene_3576352,23
gene_2839179,23
MC-6-1_GL0034507,23
37_GL0033016,23
DSM22607_2_GL0129181,23
G1-1A_GL0023172,23
gene_3507312,23
NZ_RAYE01000025.1_cds_1826,23
DSM22607_6_GL0101014,23
NZ_RAZA01000059.1_cds_3507,23
Food_1_GL0277516,23
gene_4007919,23
gene_3678176,23
gene_4055190,23
NZ_KB822502.1_cds_5419,23
NZ_NHMQ01000001.1_cds_WP_065534878.1_1321,23
gene_3020502,23
NZ_RAZE01000038.1_cds_WP_120400857.1_2692,23
gene_4406968,23
MC-6-4_GL0027564,23
gene_3547394,23
gene_2975699,23
gene_4425055,23
gene_4568437,23
S-Fe10_GL0138092,23
gene_4517282,22
gene_3609701,22
gene_3135983,22
gene_2988422,22
gene_3638660,22
6-6_GL0111721,22
Food_10_GL0026568,22
gene_4146198,22
gene_4231946,22
NZ_RAYY01000170.1_cds_WP_120425598.1_774,22
NZ_RAZK01000165.1_cds_WP_120487016.1_1430,22
Group2-1A_GL0094494,22
gene_4088307,22
gene_4274197,22
gene_4179287,22
gene_4108300,22
G1-6A_GL0047752,22
8-3_GL0124131,22
gene_3048704,22
NZ_RAYQ01000022.1_cds_1836,22
gene_3431941,22
gene_3110449,22
HF-S_14_GL0228200,22
NZ_QZFS01000163.1_cds_WP_129184468.1_1767,22
gene_4513576,22
gene_4172081,22
gene_2791557,22
NZ_OFSM01000063.1_cds_WP_103242612.1_4584,22
S-Fe14_GL0067061,22
gene_2912316,22
G1-4A_GL0026087,22
gene_4019895,22
G1-4A_GL0102013,22
gene_3144828,22
gene_4280827,22
NZ_RAYY01000073.1_cds_WP_120425187.1_4718,22
NZ_RAYU01000856.1_cds_6851,22
Food_8_GL0258501,22
13_GL0087157,22
gene_4548882,22
gene_4021958,22
gene_3083162,22
gene_4348083,22
gene_3911803,22
NZ_KB822476.1_cds_WP_004056027.1_1769,22
NZ_KB822458.1_cds_WP_004076935.1_3260,22
gene_3940284,22
NZ_RAYU01000375.1_cds_WP_120475364.1_3879,22
gene_3842103,22
gene_3969514,22
26_GL0002393,22
gene_3525804,22
gene_3273048,22
OB-1_4_GL0346434,22
gene_3000862,22
DSM22607_13_GL0121080,22
AF73-05_2_GL0264451,22
NZ_RAZD01000005.1_cds_WP_120418258.1_3092,22
2-8_GL0100511,21
gene_4551484,21
ERR1211980_Scaf14_1643,21
2-1_GL0009500,21
gene_4222118,21
gene_3432626,21
gene_4019258,21
2A-dyr14-06_GL0027383,21
gene_2702590,21
gene_3913946,21
gene_2658889,21
8-2_GL0142570,21
gene_2677191,21
OB-1_1_GL0388843,21
S-Fe2_GL0200675,21
gene_4573738,21
gene_3517306,21
NZ_RAZA01000055.1_cds_3464,21
gene_3583194,21
20_GL0113849,21
gene_4218946,21
gene_4023847,21
gene_3752730,21
gene_2986687,21
HF-F_10_GL0052213,21
NZ_KB822441.1_cds_WP_004068260.1_6,21
gene_4042559,21
gene_3986867,21
gene_3870295,21
gene_3128801,21
gene_4622483,21
gene_3420392,21
G1-5A_GL0176010,21
gene_3396364,21
S-Fe9_GL0197399,21
31_GL0094146,21
gene_4287915,21
gene_3487708,21
12_GL0003277,21
S-Fe8_GL0200711,21
4-3_GL0038948,21
gene_4214772,21
G1-1A_GL0028502,21
gene_3801155,21
S-Fe11_GL0075473,21
gene_2206612,21
gene_3544564,21
HF-F_6_GL0326845,21
gene_2331686,21
Chow_1_GL0037207,21
G1-7A_GL0033376,21
gene_3673122,20
MH-6-2_GL0022526,20
gene_4330948,20
gene_4006072,20
gene_3089759,20
NZ_RAYB01000069.1_cds_WP_022751102.1_3354,20
NZ_RAYM01000059.1_cds_WP_120437025.1_3071,20
gene_3824923,20
2-3_GL0046857,20
Chow_8_GL0251694,20
gene_3378237,20
gene_4586186,20
gene_4238894,20
gene_4412464,20
NZ_RAZG01000030.1_cds_WP_120408447.1_2472,20
1-3_GL0024936,20
NZ_RAZG01000152.1_cds_WP_120410082.1_868,20
gene_4142584,20
Food_14_GL0224827,20
3-1_GL0007197,20
2-7_GL0080482,20
NZ_RAYR01000008.1_cds_WP_120411038.1_2805,20
NZ_RAYE01000019.1_cds_WP_120443205.1_985,20
gene_4210246,20
Food_4_GL0320972,20
4-3_GL0055938,20
NZ_RAZG01000015.1_cds_WP_120407639.1_991,20
gene_3546743,20
NZ_RAZE01000014.1_cds_WP_120399695.1_612,20
Food_9_GL0165730,20
gene_4256810,20
29_GL0101094,20
gene_3873057,20
gene_3685111,20
2-1_GL0114069,20
gene_4335062,20
gene_3845096,20
gene_3880524,20
MC-0-1_GL0041792,20
gene_4411418,20
gene_4264534,20
gene_4018366,20
gene_4229339,20
gene_4169428,20
Food_10_GL0233994,20
NZ_RAYY01000040.1_cds_WP_120424431.1_3347,20
gene_4497719,20
gene_2162841,20
ERR1212009_Scaf179_2863,20
gene_4615338,20
NZ_RAYF01000118.1_cds_13,20
DSM22607_8_GL0171446,20
OB-1_6_GL0108000,20
HF-S_4_GL0033876,20
gene_2398524,20
gene_4058617,20
gene_3897761,20
G1-1A_GL0076365,20
5-4_GL0028298,20
gene_3461286,20
gene_4435122,19
7-5_GL0189626,19
gene_4394211,19
5-4_GL0030456,19
gene_4153791,19
NZ_RAZG01000066.1_cds_4057,19
NZ_RAYQ01000028.1_cds_WP_120471977.1_2122,19
gene_4059909,19
S-Fe8_GL0214734,19
gene_3393630,19
gene_4385476,19
NZ_KB822487.1_cds_WP_004060346.1_3255,19
gene_4363402,19
gene_3891396,19
gene_2836867,19
gene_3947896,19
gene_4496861,19
gene_3971071,19
gene_4500980,19
gene_4445564,19
gene_4372256,19
gene_4050456,19
gene_4308400,19
gene_3928063,19
gene_4346442,19
gene_3762862,19
4-3_GL0022541,19
gene_3169699,19
DSM22607_12_GL0069973,19
gene_3913538,19
DSM22607_7_GL0280094,19
gene_3136800,19
gene_4086729,19
gene_4392938,19
gene_4430403,19
1-2_GL0065878,19
NZ_QZFS01000063.1_cds_WP_129181333.1_7282,19
gene_3495998,19
gene_4528196,19
gene_3213901,19
gene_3385642,19
DSM22607_3_GL0392994,19
gene_3703198,19
gene_4598630,19
27_GL0002861,19
gene_3894563,19
gene_4037308,19
gene_3256291,19
gene_4216838,19
6_GL0084293,19
HF-S_14_GL0186295,19
gene_3501541,19
gene_4489830,19
Group2-1A_GL0026741,19
gene_4089409,19
gene_4014806,19
NZ_OFSM01000065.1_cds_WP_103242633.1_2928,19
MH-6-4_GL0151897,19
NZ_KB822489.1_cds_WP_004060572.1_3284,19
Chow_2_GL0245715,19
gene_3367050,19
gene_3558226,19
NZ_KB822487.1_cds_WP_040469627.1_3225,19
gene_2476697,19
gene_4420132,19
gene_3572156,19
gene_3546772,19
MH-6-2_GL0126312,19
gene_710831,19
49_GL0059326,19
NZ_RAYF01000050.1_cds_WP_120422744.1_2520,19
Chow_8_GL0137771,19
gene_4120103,19
gene_3932990,19
gene_4346590,19
gene_3876300,19
gene_4218945,19
gene_3996528,19
2_GL0053684,19
gene_3302001,18
gene_4612983,18
gene_3577630,18
gene_2098046,18
S-Fe6_GL0195154,18
gene_3576986,18
gene_3835875,18
gene_2705754,18
gene_3738895,18
gene_3545078,18
7-4_GL0106970,18
gene_3356152,18
NZ_RAZA01000035.1_cds_WP_120480152.1_2573,18
6-5_GL0129621,18
NZ_RAYM01000041.1_cds_WP_002605633.1_1879,18
7-8_GL0064228,18
S-Fe18_GL0074491,18
gene_4035281,18
gene_3582683,18
2B-dyr23-07_GL0019945,18
