gene,postFMT_1_colon
gene_3433147,281
gene_4333487,281
gene_3378237,280
gene_3847211,280
gene_4050456,280
gene_3651666,279
gene_3241815,279
gene_3992708,278
gene_3746756,278
gene_3277055,277
gene_3374861,277
gene_2736174,276
gene_3988271,276
gene_4420132,276
gene_4633740,275
gene_3918469,275
gene_4036360,275
gene_4485092,275
gene_3572156,275
gene_4169428,275
gene_3230397,275
gene_4502224,275
gene_3724218,275
gene_2855783,274
gene_4422374,274
gene_2596772,274
gene_2476697,274
gene_2736075,273
gene_4265317,273
gene_3391546,273
gene_2115899,273
gene_3970794,273
gene_2839179,273
gene_3534785,272
gene_4383681,272
gene_3969514,272
gene_4603222,270
gene_3136800,270
gene_3159664,269
gene_4591505,269
gene_3154619,268
gene_3934547,268
gene_4542301,268
gene_3314902,267
gene_2986687,267
gene_4216838,267
gene_2933446,267
gene_3247777,266
gene_3032996,266
gene_4622830,266
gene_4317122,266
gene_3128801,265
gene_3685730,264
gene_4544228,264
gene_3545078,264
gene_4353641,263
gene_3880524,263
gene_4009535,263
gene_4265553,263
gene_3412541,263
gene_4065008,262
gene_4222121,262
gene_3867818,262
gene_1924892,262
gene_4132721,262
gene_3361261,262
gene_4085699,262
gene_3587112,260
gene_3836959,260
gene_3740128,259
gene_4548882,258
gene_4019895,258
gene_4580872,258
gene_4250014,258
gene_4626142,257
gene_3217843,257
gene_3575890,257
gene_4329657,257
gene_4566746,257
gene_3824923,256
gene_4241412,256
gene_3902442,255
gene_3343755,254
gene_3728839,254
gene_4497719,254
gene_4018366,254
gene_4209155,254
gene_3656140,253
gene_2677191,253
gene_3635121,253
gene_4447285,253
gene_4375746,253
gene_3221436,252
gene_3544564,252
gene_4157882,252
gene_3866419,251
gene_3921369,251
gene_3675602,251
gene_3178395,251
gene_3986654,251
gene_4474935,251
gene_4615338,251
gene_4629454,250
gene_4183762,250
gene_3393630,250
gene_4433565,250
gene_4394211,249
gene_3314169,249
gene_3885384,249
gene_4625580,246
gene_1873664,246
gene_3978143,245
gene_3137781,245
gene_4033660,243
gene_3780972,242
gene_4151035,241
gene_4305320,241
gene_4568437,240
gene_3617341,240
gene_4160203,240
gene_3789039,240
gene_3573521,240
gene_3913538,239
gene_4616863,239
gene_3996218,239
gene_4601967,239
gene_4416358,239
gene_3217844,238
gene_3385642,238
gene_4557870,238
gene_4392070,238
gene_4040747,238
gene_3302001,238
gene_4139158,238
gene_3935885,238
gene_4466754,237
gene_3477059,237
gene_4395000,237
gene_3110449,237
gene_4096662,236
gene_4485091,236
gene_3823488,236
gene_4231947,236
gene_4158416,235
gene_4562190,235
gene_4500981,235
gene_4471536,234
gene_3377575,234
gene_3742710,234
gene_3544107,233
gene_3831705,233
gene_4540508,232
gene_3211338,232
gene_4585997,232
gene_4021958,231
gene_4257777,231
gene_4309799,231
gene_4172081,231
gene_4088307,231
gene_3249762,231
gene_3986867,230
gene_3461831,230
gene_4214772,230
gene_3598423,230
gene_4520153,229
gene_3784095,229
gene_3589527,229
gene_4317560,229
gene_4509529,229
gene_4632783,229
gene_3980224,228
gene_3684198,228
gene_4609966,227
gene_4346760,226
gene_2347056,225
gene_4628276,225
gene_3049061,224
gene_3520790,224
gene_2953684,223
gene_3419734,222
gene_4467509,222
gene_3511474,222
gene_4053958,222
gene_2876811,222
gene_2794975,222
gene_4419114,221
gene_4310092,221
gene_4137251,220
gene_2507054,220
gene_4073625,220
gene_3317329,219
gene_3470408,219
gene_2851782,218
gene_3870295,217
gene_4179326,217
gene_4493590,217
gene_3256291,216
gene_4088308,216
gene_4222118,215
gene_3675601,215
gene_3945907,214
gene_3408849,214
gene_4304252,214
gene_3782836,213
gene_4059909,213
gene_3940284,213
gene_4604030,212
gene_4087327,212
gene_4611458,211
gene_4483988,211
gene_3992728,211
gene_4146198,211
gene_4067681,211
gene_2481200,210
gene_3208292,210
gene_4153792,210
gene_4123435,210
gene_3521261,209
gene_4034273,209
gene_3020502,209
gene_4505036,209
gene_4089409,208
gene_2560333,207
gene_3913539,207
gene_3782941,207
gene_4609872,207
gene_4217315,207
gene_4445564,205
gene_3558225,205
gene_4304251,205
gene_4624028,205
gene_3894563,204
gene_4474926,204
gene_4542711,204
gene_4249474,204
gene_3000862,204
gene_3259552,204
gene_4003577,203
gene_4497716,203
gene_4517282,203
gene_4200727,202
gene_3740383,202
gene_4465933,202
gene_4023847,201
gene_4448664,201
gene_3144828,201
gene_4157349,201
gene_3977405,201
gene_4153791,201
gene_2583973,200
gene_4513875,199
gene_3913946,199
gene_4086729,198
gene_4499699,198
gene_4437273,198
gene_3616270,198
gene_3247778,198
gene_4009128,197
gene_2788973,196
gene_4051738,196
gene_4596036,196
gene_4612983,196
gene_4503882,196
gene_3584032,195
gene_2836625,195
gene_3789038,195
gene_3576986,195
gene_3244653,195
gene_4426549,195
gene_4494409,195
gene_4523717,194
gene_4348081,194
gene_3209751,194
gene_3979507,193
gene_3825579,193
gene_3501541,192
gene_4006072,192
gene_4458882,192
gene_4504041,192
gene_4435122,192
gene_4474117,192
gene_3911803,191
gene_3716832,191
gene_3986267,191
gene_2855784,190
gene_4383761,190
gene_3203715,189
gene_3930336,188
gene_3873057,188
gene_4513576,188
gene_4089261,188
gene_2256624,187
gene_4598259,187
gene_2398524,187
gene_4548236,186
gene_3985860,186
gene_4231946,186
gene_4016255,185
gene_4321820,185
gene_2947255,185
gene_4044582,184
gene_3992068,183
gene_4463221,183
gene_4218946,183
gene_3866491,183
gene_3868655,183
gene_2400855,182
gene_4604285,182
gene_3477282,182
gene_4492526,182
gene_4218945,181
gene_4090523,181
gene_3331940,181
gene_4299283,181
gene_4330948,181
gene_3596412,181
gene_3388185,181
gene_3818620,181
gene_3996528,180
gene_4265295,180
gene_3312054,180
gene_2892854,180
gene_3992196,180
gene_3269065,179
gene_4348083,179
gene_4089602,179
gene_4489830,178
gene_4330947,178
gene_3252853,178
gene_3474526,178
gene_3414630,178
gene_4282880,178
gene_3991949,178
gene_4347666,177
gene_3431941,177
gene_2688324,176
gene_4225054,176
gene_2525169,176
gene_4203263,176
gene_4387186,176
gene_4358652,175
gene_4030929,175
gene_3875564,175
gene_3910325,175
gene_4070299,175
gene_4306960,175
gene_3485290,175
gene_4483276,175
gene_4630560,174
gene_4495266,174
gene_4147143,173
gene_3892935,173
gene_4586186,173
gene_3942197,173
gene_3998040,173
gene_3738895,172
gene_3209099,172
gene_4413039,172
gene_4593702,172
gene_2938602,171
gene_3971172,171
gene_4105483,171
gene_4308400,170
gene_3752730,170
gene_3653030,170
gene_3314903,169
gene_3611881,169
gene_4363576,169
gene_4001575,169
gene_3736960,169
gene_4392938,168
gene_4117699,168
gene_3811264,168
gene_4215772,168
gene_4577249,168
gene_3986306,167
gene_3947896,167
gene_3360103,167
gene_4155791,167
gene_3649676,167
gene_3740385,167
gene_3432626,167
gene_3497191,167
gene_2195471,166
gene_3583194,166
gene_3271895,165
gene_3250146,165
gene_3886870,165
gene_3300666,165
gene_4099366,165
gene_4018401,165
gene_3045510,165
gene_3574475,165
gene_4080173,164
gene_4153442,164
gene_4467507,164
gene_4410001,164
gene_4218354,164
gene_3924911,163
gene_3366673,163
gene_3656090,163
gene_3470506,163
gene_3405831,163
gene_4280827,163
gene_3293038,163
gene_3944013,163
gene_4500980,163
gene_3701333,163
gene_2974536,162
gene_4634916,162
gene_4378040,161
gene_3391813,161
gene_3940249,161
gene_4513989,161
gene_3955079,161
gene_2791557,161
gene_3293886,161
gene_4013034,160
gene_4152129,160
gene_3098645,160
gene_2775055,159
gene_4389477,159
gene_3535619,159
gene_4298553,159
gene_4255344,159
gene_3517306,159
gene_4107239,159
gene_3009815,159
gene_3835875,158
gene_4545438,158
gene_4503527,158
gene_2794778,158
gene_4373937,158
gene_3675437,158
gene_2658003,157
gene_2658890,157
gene_3979470,157
gene_4238894,156
gene_4542087,156
gene_3340960,156
gene_3267496,156
gene_3359669,155
gene_4073708,155
gene_3790399,155
gene_3846320,154
gene_4436151,154
gene_4159504,154
gene_3611523,154
gene_2777823,154
gene_3962232,154
gene_3700930,153
gene_4095929,153
gene_4168454,153
gene_3410007,153
gene_3917252,153
gene_4485093,153
gene_4618044,153
gene_3656089,153
gene_3659756,153
gene_4321906,153
gene_3878529,153
gene_4527917,153
gene_2687372,152
gene_4179816,152
gene_1796288,152
gene_4128625,152
gene_3576356,152
gene_4528196,152
gene_3731283,152
gene_3558226,152
gene_3762862,151
gene_3052508,151
gene_3768885,151
gene_4434871,151
gene_3170172,151
gene_2684157,151
gene_4182919,150
gene_3053565,150
gene_3524792,150
gene_4042559,150
gene_3852974,150
gene_2847653,150
gene_3245032,149
gene_3087960,149
gene_4540214,149
gene_3420392,149
gene_4244866,149
gene_4430403,149
gene_4103029,148
gene_3701217,148
gene_3755259,148
gene_3793510,148
gene_3805266,148
gene_3524799,148
gene_3845096,148
gene_4222117,148
gene_4442437,147
gene_3525804,147
gene_3151781,147
gene_3557530,147
gene_3840599,147
gene_2844581,147
gene_4622913,147
gene_3963734,146
gene_2517279,146
gene_3396364,146
gene_4101748,146
gene_3804073,145
gene_2659887,145
gene_3825342,145
gene_4516147,145
gene_4622483,145
gene_3238698,145
gene_3532645,144
gene_4252529,144
gene_3878528,144
gene_3352067,143
gene_4246894,143
gene_4149240,143
gene_4055708,143
gene_4120103,143
gene_3987824,143
gene_4578517,142
gene_4370922,142
gene_3570235,142
gene_2531463,142
gene_1930568,142
gene_4467506,142
gene_3768640,142
gene_4149989,142
gene_3876300,142
gene_4334077,142
gene_3729740,141
gene_4573431,141
gene_4611670,141
gene_4334388,141
gene_4615339,141
gene_4261888,141
gene_4456613,141
gene_4384708,141
gene_2658889,141
gene_2489998,141
gene_4411418,141
gene_3835586,140
gene_4040375,140
gene_4108746,140
gene_3812130,140
gene_4616818,140
gene_3930784,140
gene_3830070,140
gene_4321182,139
gene_4385476,139
gene_3548732,139
gene_4279060,138
gene_4471081,138
gene_3508106,138
gene_4130003,138
gene_3443561,138
gene_2588043,138
gene_2651766,138
gene_4258310,137
gene_4334389,137
gene_3335066,137
gene_4556934,137
gene_4419666,137
gene_4258089,137
gene_3158796,137
gene_4372256,137
gene_3533367,136
gene_4180576,136
gene_4080231,136
gene_4274409,136
gene_4382686,136
gene_4513990,135
gene_3229695,135
gene_4529699,135
gene_4364448,135
gene_2828118,134
gene_2807308,134
gene_3447360,134
gene_4242693,134
gene_1943946,134
gene_4382972,134
gene_2950539,134
gene_4412464,133
gene_4409338,133
gene_4210246,133
gene_4308971,133
gene_4443788,133
gene_2988423,133
gene_4612385,132
gene_4121122,132
gene_3452368,132
gene_3902595,132
gene_2382596,132
gene_4058617,132
gene_3552768,132
gene_3387999,132
gene_4110617,132
gene_3867072,132
gene_2865884,131
gene_4131553,131
gene_3994098,130
gene_4216341,130
gene_4021415,130
gene_3422190,130
gene_4105546,130
gene_4273368,129
gene_3468031,129
gene_4369416,129
gene_3736800,129
gene_4426836,129
gene_4529695,129
gene_3821375,129
gene_4137143,128
gene_3730822,128
gene_2907468,128
gene_4099942,128
gene_3761497,128
gene_3900615,127
gene_2942453,127
gene_3905500,127
gene_4213680,127
gene_3839277,126
gene_3483964,126
gene_2891827,126
gene_3688249,126
gene_4037308,126
gene_4096958,126
gene_4367107,125
gene_3788353,125
gene_3570114,125
gene_4128623,125
gene_1797084,124
gene_3727693,124
gene_2398525,124
gene_3763409,124
gene_4253613,124
gene_3624994,124
gene_3720711,124
gene_4174320,124
gene_3367050,123
gene_4096066,123
gene_4574726,123
gene_4268601,123
gene_3256987,123
gene_3331026,123
gene_3503605,123
gene_4269533,123
gene_3021138,122
gene_4528749,122
gene_4385236,122
gene_4337085,122
gene_2889990,122
gene_3979508,122
gene_3939574,122
gene_4140834,122
gene_4021954,121
gene_4239190,121
gene_4207199,121
gene_4442343,120
gene_4452723,120
gene_4325086,120
gene_3723278,120
gene_3664881,120
gene_3546743,120
gene_4408105,120
gene_2748605,120
gene_4270176,120
gene_3377577,120
gene_2975699,120
gene_4254653,120
gene_3748570,120
gene_3431942,119
gene_4107753,119
gene_4059907,119
gene_2226190,119
gene_4435123,119
gene_3545699,119
gene_4452467,119
gene_4543219,119
gene_3017876,119
gene_3878289,118
gene_3699416,118
gene_3411395,118
gene_3781212,118
gene_3603345,117
gene_2548133,117
gene_4287837,117
gene_4609410,117
gene_2982674,117
gene_3958335,117
gene_3457766,117
gene_4505499,117
gene_3371393,117
gene_4327639,117
gene_2762206,117
gene_4303071,116
gene_4290880,116
gene_3637357,116
gene_3649966,116
gene_4146844,116
gene_4605923,116
gene_3339741,116
gene_4517630,116
gene_4317729,116
gene_4527576,115
gene_2862595,115
gene_3655250,115
gene_4280128,115
gene_4069655,115
gene_4566738,115
gene_4079729,115
gene_3319054,115
gene_4097100,115
gene_3537520,114
gene_4525919,113
gene_3905031,113
gene_3830681,113
gene_3801155,113
gene_2027438,113
gene_4286467,112
gene_3224342,112
gene_4609967,111
gene_4492869,111
gene_4179817,111
gene_4563513,111
gene_4239563,111
gene_4064682,111
gene_3768162,111
gene_4324715,111
gene_4003123,110
gene_2451765,110
gene_4502189,110
gene_4131554,110
gene_2436565,110
gene_4007919,110
gene_2545589,109
gene_3769682,109
gene_2598443,109
gene_4290563,109
gene_3530376,109
gene_4088309,109
gene_3920429,108
gene_3395345,108
gene_4477387,108
gene_2738377,108
gene_4007592,108
gene_3515995,108
gene_3138143,108
gene_4070916,107
gene_3407586,107
gene_4470406,107
gene_4062857,107
gene_3912717,107
gene_3487708,107
gene_3754341,106
gene_3008563,106
gene_2671473,106
gene_4584189,105
gene_2497116,105
gene_3864697,105
gene_4623429,105
gene_4140213,105
gene_3208633,105
gene_3016197,105
gene_4399332,104
gene_4293903,104
gene_3748625,104
gene_4214791,104
gene_4452507,103
gene_3566700,102
gene_3321131,102
gene_4198064,102
gene_2843767,102
gene_4248567,102
gene_3853186,102
gene_4351361,102
gene_4438282,102
gene_3030514,101
gene_3916226,101
gene_4602238,101
gene_4246071,100
gene_3851480,100
gene_3684338,100
gene_4095889,100
gene_3943020,100
gene_3776251,100
gene_4224908,100
gene_4228672,100
gene_3880134,100
gene_3968138,100
gene_4511433,100
gene_4466074,100
gene_4109179,100
gene_2360609,99
gene_4039328,99
gene_4093542,99
gene_3708805,99
gene_3784734,99
gene_3694244,99
gene_4451134,99
gene_3356152,99
gene_4637268,99
gene_4181468,98
gene_4358011,98
gene_3070147,98
gene_3365398,98
gene_4353436,98
gene_4346855,98
gene_3629582,98
gene_4449784,98
gene_4635507,97
gene_3203079,97
gene_4103276,97
gene_3680054,97
gene_2264954,97
gene_3903189,97
gene_4116340,97
gene_3591813,96
gene_2345741,96
gene_3016196,96
gene_4114702,96
gene_4417977,95
gene_3950111,95
gene_4322121,95
gene_4445774,95
gene_3939997,95
gene_3840600,95
gene_4564532,95
gene_3385050,94
gene_4288577,94
gene_4473652,94
gene_3015770,94
gene_4638289,94
gene_3920705,94
gene_3910328,93
gene_4523371,93
gene_3791658,93
gene_4339927,93
gene_4405189,93
4-4_GL0084790,93
gene_3209100,93
gene_3020902,93
gene_4236880,93
gene_4157725,93
gene_4131555,93
gene_2554634,93
gene_3896782,93
gene_3483168,93
gene_3887703,92
gene_4252705,92
gene_4405191,92
gene_3703611,92
gene_3892505,91
gene_4556371,91
gene_4546408,91
gene_3952118,91
gene_3606768,91
gene_4039330,91
gene_3847533,91
gene_3183669,90
gene_2974748,90
gene_3193677,90
gene_3386808,90
gene_2444072,90
gene_2821593,90
gene_3743822,90
gene_3241222,90
gene_3426084,90
gene_4582928,90
gene_4320137,90
gene_2688259,90
gene_3594870,90
gene_3946214,90
gene_3163159,89
gene_4350987,89
gene_3061537,89
gene_3477439,89
gene_3205533,89
gene_2748457,89
gene_4607190,89
gene_2907312,88
gene_4561712,88
gene_3166850,88
gene_2745606,88
gene_4412666,87
gene_2870586,87
gene_4156632,87
gene_4620662,87
gene_4203262,87
gene_4187980,87
gene_2862090,87
gene_4519327,87
gene_2612009,87
gene_3928646,87
gene_3203713,87
gene_3424683,87
gene_2836867,87
gene_3434320,87
gene_4446864,86
gene_3308717,86
gene_3894131,86
gene_3661365,86
gene_3553954,86
gene_3622006,86
gene_4056695,86
gene_3120991,86
gene_4259368,86
gene_4235718,86
gene_3442602,86
gene_4021342,85
gene_3987263,85
gene_4606035,85
gene_4369391,85
gene_4446473,85
gene_3169507,85
gene_3706445,85
gene_4356249,85
gene_2891628,85
gene_3815982,85
gene_4520504,85
gene_4430789,85
gene_2479644,85
gene_4265316,84
gene_2731442,84
gene_4304471,84
gene_3766364,84
gene_4063114,84
gene_4517788,84
gene_3568137,84
gene_2945924,84
gene_3122280,84
gene_3839567,84
gene_4099202,84
gene_4306017,84
gene_4449542,84
gene_4021955,83
gene_4095762,83
gene_3647451,83
gene_2207959,83
gene_4347975,83
gene_3178518,83
gene_4438084,83
gene_3889288,83
gene_4561586,83
gene_4018213,83
gene_4192376,83
gene_4536110,83
gene_3026649,83
gene_4076446,82
gene_3672159,82
gene_4291186,82
gene_4328904,82
gene_3942185,82
gene_2300063,82
gene_2403163,82
gene_4426395,82
gene_3394078,81
gene_3794014,81
gene_4363402,81
gene_2155406,81
gene_3688415,81
gene_3819729,81
gene_3659142,81
gene_3752113,81
gene_4572013,81
gene_3147418,80
gene_3638608,80
gene_3225670,80
gene_2947299,80
gene_4405089,80
gene_4549415,80
gene_3823417,80
gene_3162651,79
gene_3772264,79
gene_4237820,79
gene_4471155,79
gene_2396716,79
gene_3681740,79
gene_4032220,79
gene_4214790,79
gene_4089109,79
gene_4103682,79
gene_3930782,79
gene_4497927,79
gene_3169699,78
gene_3788613,78
gene_3697920,77
gene_3369022,77
gene_3700585,77
gene_3878339,76
gene_4247181,76
gene_4022371,76
gene_2244609,76
gene_4082320,76
gene_3363935,76
gene_3737321,75
gene_3970211,75
gene_4019258,75
gene_3070690,75
gene_3340959,75
gene_4115873,75
gene_3283102,75
gene_4335671,74
gene_2726972,74
gene_4207445,74
gene_4414549,74
gene_4546130,74
gene_4633114,74
gene_3534883,74
gene_4437344,74
gene_4348082,74
gene_4267891,74
gene_4091043,73
gene_3359107,73
gene_4245387,73
gene_4227884,73
gene_4251654,73
gene_3125400,73
gene_4441498,72
gene_2542392,72
gene_2960316,72
gene_4194280,71
gene_4566159,71
gene_2348583,71
gene_3747117,71
gene_3222669,71
gene_4562113,71
gene_3224473,71
gene_2779193,71
gene_4559733,71
gene_4471424,71
gene_2554635,71
gene_4475386,71
gene_3148548,70
gene_4545706,70
gene_4544227,70
gene_4460953,70
gene_4034762,70
gene_3826634,70
gene_4104294,70
gene_4145712,70
gene_2242713,70
gene_3357055,70
gene_3561552,69
gene_4619635,69
gene_4241568,69
gene_3965834,69
gene_3539774,69
gene_3723759,69
gene_3952487,68
gene_2615331,68
gene_4015697,68
gene_3501642,68
gene_4258739,68
gene_3319848,68
gene_3605075,68
gene_3614375,67
gene_3636022,67
gene_4548238,67
gene_4556772,67
gene_3582062,67
gene_4421702,67
gene_3902141,67
gene_4475245,66
gene_4488023,66
gene_2958888,66
gene_3791024,66
gene_3335160,66
gene_3948070,66
gene_3504372,66
gene_2579591,66
gene_4624815,66
gene_4285981,66
gene_4491746,66
DSM22607_4_GL0243623,65
gene_3237970,65
gene_3896976,65
gene_3619597,65
gene_4510842,65
gene_2839180,65
gene_4512224,65
gene_1228123,65
gene_2738378,64
gene_3460949,64
gene_4000393,64
gene_4058580,64
gene_4161604,64
gene_4431481,64
gene_3360102,64
gene_3769614,64
gene_3015454,64
gene_3975977,64
gene_4631409,64
gene_4237576,64
gene_4442367,63
gene_4374499,63
gene_3416091,63
gene_4560520,63
gene_4117233,63
gene_3240042,63
gene_4103030,63
gene_3979571,63
gene_4409697,63
gene_3754200,63
gene_3930693,63
gene_4253786,63
gene_3924558,62
gene_3577630,62
gene_4559732,62
gene_3031888,62
gene_4257004,62
gene_4132911,62
gene_4437326,62
gene_3420703,62
gene_4273003,62
gene_3839417,62
gene_3783768,62
gene_4499199,62
gene_2197877,62
gene_3928063,62
gene_2414908,61
gene_3251442,61
gene_2684484,61
gene_4084415,61
HF-F_4_GL0315444,61
gene_4480420,61
gene_2187964,61
gene_4152213,61
gene_2985365,61
gene_3507312,61
gene_2815513,61
gene_3957926,61
gene_4110883,60
gene_4373423,60
gene_4438048,60
gene_3154440,60
gene_3985927,60
gene_4158662,59
gene_4343613,59
gene_3813131,59
gene_2073551,59
gene_3896186,59
gene_3507903,59
gene_3087064,59
gene_3611061,59
gene_3371392,58
gene_4017616,58
gene_4318733,58
gene_4287701,58
gene_4506981,58
gene_4316716,58
gene_4498628,58
gene_3703836,58
gene_4314512,58
gene_4452368,58
gene_4277213,57
gene_4401953,57
gene_3098774,57
gene_4595285,57
gene_2564296,57
gene_4623413,57
gene_4401875,57
gene_3994719,57
gene_2751765,57
gene_4515345,57
gene_3573195,56
gene_4631316,56
gene_3701052,56
gene_3573009,56
gene_3295179,56
gene_3407587,56
gene_4437088,56
gene_3778329,56
gene_3859151,56
gene_4022999,56
gene_4580879,56
gene_2668423,55
gene_2113055,55
Food_11_GL0357206,55
gene_3742308,55
gene_3559517,55
gene_3739292,55
gene_4443822,55
gene_3910851,55
gene_3575376,55
gene_4536800,55
gene_4573737,55
gene_3308769,55
gene_3171902,55
gene_4066797,55
gene_3843954,55
gene_3823489,54
gene_3465852,54
gene_3764832,54
gene_3840202,54
gene_2759629,54
gene_2660287,54
gene_3630332,54
gene_2021737,54
gene_3024445,54
gene_3963550,54
gene_4129389,54
gene_4094560,54
gene_4043107,54
gene_4124058,54
gene_3877458,54
gene_4613965,54
gene_4188448,54
gene_3761008,54
gene_2267147,54
gene_3860130,54
gene_4134797,53
gene_4213637,53
gene_3952481,53
gene_4375749,53
gene_3422684,53
gene_4574498,53
gene_4023574,53
gene_3296140,53
gene_3491307,53
gene_4442443,53
gene_3768436,53
gene_2671553,52
gene_3284991,52
gene_3966376,52
gene_4370760,52
gene_4593768,52
gene_3811695,52
gene_4008014,52
gene_4351018,52
gene_3972840,52
gene_4483122,52
gene_4480472,52
gene_4216454,52
gene_3951783,52
gene_3794844,52
gene_4089213,52
