gene,noFMT_1_duodenum
gene_4142584,2306
gene_3250147,2306
gene_4436960,2306
gene_3590518,2305
gene_4040662,2302
gene_2478969,2302
gene_4420630,2301
gene_3347464,2300
gene_3042080,2297
gene_4499431,2295
gene_3042132,2295
gene_3567414,2293
gene_4617382,2291
gene_4075667,2291
gene_3862761,2290
gene_3904066,2288
gene_4229339,2283
gene_3696813,2278
gene_3869673,2272
gene_4410387,2268
gene_4274272,2266
gene_4489856,2264
gene_2803613,2261
gene_3841170,2252
gene_3721277,2250
gene_4462425,2249
gene_3465828,2248
gene_3445319,2247
gene_4135100,2246
gene_4203002,2244
gene_4025509,2239
gene_3612590,2238
gene_3037461,2236
gene_4234918,2232
gene_3608730,2229
gene_4304448,2224
gene_3318738,2216
gene_2891508,2216
gene_4172273,2214
gene_4346442,2208
gene_3394445,2199
gene_3191491,2192
gene_4539942,2191
gene_4135494,2184
gene_3862165,2182
gene_3305502,2182
gene_1943947,2179
gene_4501677,2178
gene_3746759,2167
gene_3740128,2166
gene_2762763,2165
gene_3803066,2164
gene_3264320,2161
gene_3323454,2158
gene_4014806,2155
gene_3705808,2152
gene_3891396,2147
gene_4046817,2139
gene_4309498,2137
gene_2609743,2131
gene_4333487,2130
gene_3581102,2129
gene_3048704,2124
gene_4529375,2111
gene_3847211,2111
gene_4253810,2108
gene_3147416,2105
gene_3792451,2103
gene_4622830,2101
gene_3588999,2095
gene_4287915,2091
gene_3089759,2091
gene_3575890,2086
gene_3911867,2083
gene_3615601,2080
gene_4453499,2078
gene_3728839,2076
gene_4305460,2063
gene_3036178,2060
gene_4041724,2058
gene_4492961,2057
gene_4406399,2055
gene_4484121,2050
gene_3273310,2050
gene_3295111,2047
gene_4595680,2041
gene_4632305,2041
gene_3473110,2033
gene_4633058,2029
gene_4432102,2024
gene_3569353,2023
gene_4406968,2022
gene_3470073,2022
gene_4106559,2020
gene_4320139,2020
gene_2217371,2019
gene_4410467,2018
gene_4279215,2017
gene_3378237,2014
gene_4033660,2013
gene_4467399,2006
gene_2837782,2002
gene_4258902,1995
gene_4612043,1993
gene_4420533,1986
gene_4447285,1982
gene_4489862,1978
gene_3395763,1978
gene_4546409,1977
gene_4036515,1976
gene_3600794,1974
gene_3968139,1971
gene_3176526,1969
gene_4529292,1969
gene_3149382,1968
gene_4216701,1961
gene_4540577,1960
gene_4320912,1959
gene_4220068,1955
gene_4566288,1954
gene_3213901,1951
gene_3136800,1947
gene_3967408,1946
gene_3209101,1945
gene_3988271,1945
gene_3452612,1944
gene_3555335,1942
gene_4378487,1939
DSM22607_4_GL0340256,1938
gene_3576352,1937
gene_4305320,1932
gene_3335067,1931
gene_3536024,1931
gene_4403355,1930
gene_2657735,1927
gene_3471875,1924
gene_3876445,1924
gene_4534171,1922
gene_4147144,1921
gene_4633740,1915
gene_4443786,1914
gene_4548882,1910
gene_3137781,1902
gene_2653875,1902
gene_4118449,1899
gene_4044965,1896
gene_3836959,1894
gene_3016781,1892
gene_3377575,1890
gene_3631341,1887
gene_3701764,1885
gene_3929361,1882
gene_4299436,1880
gene_3032996,1871
gene_4420132,1870
gene_4433565,1868
gene_4263639,1860
gene_3767204,1859
gene_4018366,1856
gene_2905495,1853
gene_3970794,1851
gene_1958653,1851
gene_3969514,1850
gene_3866419,1850
gene_2736174,1847
gene_3008714,1846
gene_2851782,1845
gene_2953684,1840
gene_4050456,1840
gene_4434951,1838
gene_3758893,1838
gene_4604030,1837
gene_3572156,1837
gene_4606530,1836
gene_4043077,1834
gene_4160447,1829
gene_3762565,1826
gene_3913077,1823
gene_3374861,1822
gene_3896904,1820
gene_4108300,1819
gene_4502224,1813
gene_3638660,1813
gene_4392070,1812
gene_3546772,1811
gene_4216838,1794
gene_3587112,1793
gene_3414790,1792
gene_3651666,1791
gene_4222121,1784
gene_2933446,1784
gene_4485092,1780
gene_3873906,1780
gene_4231947,1775
gene_3128801,1773
gene_4315453,1771
gene_3934547,1770
gene_2902355,1770
gene_3867818,1768
gene_2596772,1762
gene_4483277,1761
gene_4132721,1750
gene_4500981,1748
gene_3685730,1743
gene_3978143,1735
gene_3154619,1734
gene_4493590,1734
gene_3241815,1731
gene_3412541,1730
gene_4019895,1728
gene_3391546,1725
gene_4573738,1725
gene_3277055,1725
gene_4032535,1724
gene_3545078,1724
gene_4353641,1722
gene_3534785,1717
gene_4009535,1715
gene_2839179,1714
gene_3230397,1711
gene_3724218,1708
gene_4241412,1705
gene_2476697,1705
gene_3314902,1703
gene_4317122,1700
gene_3935885,1698
gene_2115899,1697
gene_3673122,1691
gene_3159664,1687
gene_4603222,1685
gene_3178395,1683
gene_4375746,1683
gene_4591505,1683
gene_3477059,1682
gene_3918469,1681
gene_3247777,1680
gene_4426549,1679
gene_4065008,1678
gene_4179326,1676
gene_1924892,1672
gene_3746756,1669
gene_4257777,1669
gene_4036360,1669
gene_4585997,1667
gene_2855783,1667
gene_4542301,1665
gene_4265553,1660
gene_3646316,1649
gene_3675602,1638
gene_4466754,1638
gene_4383761,1636
gene_4383681,1635
gene_3880524,1632
gene_3992708,1625
gene_3885384,1625
gene_4085699,1624
gene_4169428,1617
gene_4544228,1615
gene_3203715,1613
gene_3824923,1610
gene_3921369,1609
gene_4329657,1608
gene_4474926,1608
gene_2986687,1606
gene_3385642,1602
gene_4217315,1602
gene_3656140,1601
gene_4422374,1601
gene_3221436,1601
gene_3596412,1600
gene_4474935,1596
gene_4566746,1595
gene_3742710,1593
gene_3913538,1591
gene_3256291,1589
gene_4088307,1588
gene_4139158,1587
gene_3217843,1581
gene_3992728,1578
gene_4395000,1578
gene_3870295,1578
gene_3419734,1577
gene_3314169,1576
gene_4625580,1575
gene_3977405,1575
gene_3208292,1573
gene_2736075,1571
gene_4151035,1565
gene_4394211,1562
gene_4214772,1562
gene_3393630,1562
gene_3433147,1561
gene_3049061,1561
gene_4471536,1560
gene_4497719,1559
gene_3573521,1553
gene_4265317,1552
gene_4458882,1552
gene_4021958,1546
gene_3302001,1545
gene_3684198,1542
gene_3894563,1539
gene_4040747,1537
gene_3780972,1537
gene_3902442,1536
gene_3249762,1535
gene_3343755,1535
gene_4467509,1532
gene_3940284,1530
gene_4609966,1530
gene_2507054,1529
gene_4346760,1528
gene_4209155,1526
gene_3520790,1525
gene_3544107,1525
gene_3511474,1523
gene_4437273,1522
gene_4419114,1520
gene_3544564,1516
gene_3617341,1516
gene_1873664,1516
gene_3461831,1516
gene_4520153,1515
gene_2677191,1512
gene_4222118,1508
gene_3831705,1505
gene_4053958,1496
gene_4250014,1495
gene_3217844,1492
gene_3986654,1487
gene_4629454,1487
gene_4601967,1487
gene_4090523,1487
gene_4505036,1486
gene_3408849,1481
gene_4153791,1478
gene_4616863,1476
gene_4557870,1473
gene_3361261,1468
gene_4580872,1466
gene_4304252,1466
gene_4624028,1462
gene_4609872,1454
gene_4157882,1453
gene_4096662,1453
gene_3474526,1453
gene_3991949,1453
gene_4158416,1451
gene_4626142,1450
gene_4067681,1441
gene_4562190,1439
gene_3414630,1438
gene_4540508,1425
gene_4309799,1422
gene_3635121,1418
gene_4416358,1417
gene_4615338,1410
gene_4123435,1410
gene_3996218,1407
gene_3784095,1406
gene_4485091,1405
gene_3598423,1404
gene_3789039,1401
gene_3331940,1398
gene_3020502,1398
gene_4604285,1395
gene_4310092,1393
gene_4509529,1389
gene_4632783,1388
gene_4034273,1388
gene_4628276,1387
gene_4146198,1384
gene_2481200,1382
gene_4152129,1381
gene_3823488,1379
gene_3992196,1373
gene_4059909,1372
gene_4517282,1371
gene_3875564,1369
gene_3589527,1361
gene_4436151,1360
gene_3782836,1358
gene_3110449,1357
gene_4568437,1356
gene_3211338,1353
gene_4474117,1349
gene_4183762,1346
gene_4172081,1346
gene_3700930,1345
gene_3675601,1344
gene_4304251,1344
gene_3789038,1339
gene_3986867,1334
gene_4070299,1333
gene_3930336,1332
gene_4492526,1332
gene_4009128,1331
gene_2688324,1323
gene_4249474,1320
gene_4387186,1318
gene_4548236,1311
gene_3000862,1309
gene_3470408,1305
gene_3818620,1304
gene_4088308,1304
gene_4497716,1303
gene_3924911,1300
gene_4634916,1299
gene_4317560,1298
gene_3782941,1297
gene_4611458,1297
gene_3209751,1294
gene_3477282,1294
gene_3558225,1293
gene_4513875,1286
gene_3535619,1286
gene_3985860,1285
gene_4463221,1283
gene_2400855,1283
gene_4358652,1281
gene_4160203,1280
gene_2560333,1279
gene_3656089,1279
gene_3825579,1279
gene_3521261,1277
gene_4086729,1277
gene_4157349,1275
gene_3980224,1272
gene_4252529,1268
gene_2876811,1266
gene_2794975,1265
gene_3911803,1263
gene_4503882,1261
gene_3247778,1256
gene_3986267,1253
gene_4153792,1253
gene_4044582,1252
gene_4483988,1249
gene_3352067,1247
gene_2836625,1244
gene_4598259,1242
gene_3259552,1241
gene_4001575,1241
gene_2974536,1241
gene_3611881,1240
gene_3878529,1232
gene_4513576,1231
gene_4200727,1231
gene_2489998,1231
gene_4073625,1225
gene_4089409,1224
gene_3740383,1223
gene_3945907,1221
gene_4542711,1219
gene_3868655,1219
gene_4306960,1217
gene_4023847,1214
gene_3244653,1214
gene_2583973,1213
gene_3087960,1213
gene_4494409,1212
gene_3913539,1212
gene_4087327,1210
gene_3986306,1208
gene_4612983,1207
gene_4465933,1206
gene_4218946,1200
gene_3992068,1200
gene_4499699,1198
gene_4523717,1196
gene_4348081,1196
gene_3892935,1194
gene_3576986,1192
gene_3752730,1189
gene_4130003,1189
gene_3317329,1188
gene_4051738,1188
gene_3501541,1186
gene_3497191,1185
gene_3701333,1183
gene_3720711,1181
gene_2525169,1181
gene_2588043,1181
gene_4147143,1178
gene_2256624,1177
gene_4504041,1173
gene_4006072,1172
gene_2658890,1171
gene_3616270,1171
gene_3793510,1169
gene_4137251,1168
gene_3584032,1166
gene_2347056,1166
gene_4222117,1166
gene_4489830,1163
gene_4321820,1162
gene_1796288,1162
gene_2938602,1161
gene_3755259,1161
gene_4513989,1159
gene_3716832,1159
gene_4382686,1151
gene_4426836,1151
gene_4445564,1151
gene_3653030,1147
gene_4096958,1146
gene_3738895,1145
gene_2788973,1145
gene_3805266,1140
gene_2855784,1138
gene_3998040,1138
gene_4089261,1138
gene_3452368,1134
gene_4503527,1129
gene_3729740,1128
gene_3736960,1126
gene_4540214,1125
gene_4596036,1118
gene_3209099,1118
gene_3910325,1115
gene_3979507,1114
gene_3431941,1114
gene_4347666,1109
gene_3913946,1108
gene_3557530,1107
gene_4330947,1105
gene_3388185,1104
gene_3098645,1103
gene_4080173,1099
gene_4435122,1098
gene_4095929,1094
gene_4003577,1094
gene_4225054,1093
gene_2398525,1093
gene_1943946,1092
gene_4392938,1091
gene_4089602,1090
gene_4448664,1085
gene_3144828,1084
gene_4495266,1084
gene_3781212,1084
gene_4419666,1083
gene_3359669,1083
gene_2398524,1083
gene_3583194,1078
gene_3811264,1076
gene_3955079,1074
gene_4389477,1073
gene_4231946,1067
gene_3300666,1066
gene_3845096,1066
gene_3238698,1065
gene_3269065,1065
gene_3339741,1065
gene_3360103,1064
gene_3252853,1063
gene_3485290,1061
gene_3740385,1061
gene_4483276,1057
gene_3271895,1057
gene_4213680,1056
gene_4218945,1055
gene_3940249,1054
gene_2892854,1053
gene_3387999,1052
gene_3886870,1047
gene_4280827,1046
gene_4218354,1044
gene_3009815,1043
gene_3405831,1040
gene_4410001,1039
gene_4018401,1038
gene_4099366,1038
gene_3314903,1038
gene_2382596,1037
gene_3250146,1037
gene_4609967,1036
gene_4203263,1036
gene_3432626,1035
gene_4155791,1035
gene_2651766,1035
gene_4409338,1032
gene_4299283,1032
gene_4168454,1029
gene_3878528,1028
gene_3170172,1028
gene_4107239,1027
gene_2684157,1025
gene_4542087,1023
gene_2777823,1023
gene_4593702,1021
gene_3866491,1019
gene_4117699,1018
gene_2982674,1018
gene_3987824,1017
gene_3053565,1017
gene_4079729,1016
gene_4367107,1016
gene_2844581,1015
gene_4412464,1014
gene_3723278,1013
gene_4058617,1013
gene_4413039,1012
gene_4630560,1005
gene_2947255,1002
gene_3443561,1001
gene_4105483,1000
gene_4265295,998
gene_3293886,997
gene_4215772,996
gene_4334389,994
gene_4238894,994
gene_4348083,994
gene_4577249,994
gene_4452723,991
gene_4290880,986
gene_4615339,986
gene_4244866,985
gene_3942197,983
gene_2828118,982
gene_3420392,982
gene_4279060,981
gene_4128625,978
gene_4622913,977
gene_4258310,977
gene_4330948,975
gene_4016255,972
gene_4216341,970
gene_3340960,970
gene_4282880,969
gene_4153442,968
gene_3971172,968
gene_3996528,967
gene_3835875,966
gene_3312054,964
gene_4182919,963
gene_3902595,963
gene_3656090,962
gene_4179817,961
gene_4258089,960
gene_3470506,959
gene_4298553,959
gene_4255344,958
gene_2195471,957
gene_3944013,956
gene_3574475,956
gene_3532645,953
gene_4618044,952
gene_4308971,952
gene_4030929,951
gene_3649966,950
gene_4363576,950
gene_3524799,950
gene_4434871,949
gene_3790399,949
gene_3731283,947
gene_2847653,946
gene_3267496,945
gene_4334388,943
gene_3675437,943
gene_3930784,943
gene_2794778,942
gene_4055708,942
gene_3410007,941
gene_4430403,940
gene_2775055,938
gene_3052508,938
gene_4485093,937
gene_4073708,937
gene_3045510,935
gene_4308400,935
gene_4586186,934
gene_2659887,934
gene_2517279,934
gene_3371393,931
gene_2658003,930
gene_3457766,930
gene_3366673,929
gene_4149989,927
gene_3852974,927
gene_3649676,926
gene_3962232,920
gene_3873057,919
gene_2687372,918
gene_3411395,918
gene_4159504,917
gene_4411418,916
gene_1930568,914
gene_3552768,913
gene_4322121,912
gene_4128623,912
gene_4573431,911
gene_3835586,911
gene_4103029,909
gene_3947896,908
gene_4246894,908
gene_4013034,907
gene_4500980,906
gene_4120103,905
gene_3537520,904
gene_4378040,904
gene_4261888,904
gene_3917252,904
gene_3905031,900
gene_3939574,899
gene_3517306,897
gene_3730822,897
gene_2907312,893
gene_3245032,892
gene_3846320,892
gene_3229695,892
gene_3804073,892
gene_3878289,892
gene_4527917,890
gene_4467506,888
gene_3335066,886
gene_4511433,884
gene_3524792,883
gene_2791557,879
gene_3876300,878
gene_3840599,877
gene_3396364,877
gene_4325086,877
gene_4080231,876
gene_4516147,875
gene_3830070,875
gene_3825342,874
gene_4546130,874
gene_4545438,874
gene_3158796,874
gene_4003123,873
gene_3508106,873
gene_3021138,871
gene_3533367,871
gene_2762206,870
gene_3558226,870
gene_3736800,870
gene_4456613,869
gene_4611670,868
gene_4467507,867
gene_4149240,867
gene_4334077,867
gene_3788353,864
gene_4269533,864
gene_4373937,862
gene_3664881,862
gene_4180576,861
gene_4321906,860
gene_3659756,860
gene_4622483,860
gene_4101748,860
gene_4239190,859
gene_4517630,858
gene_3016197,858
gene_3611523,858
gene_3483168,857
gene_4364448,856
gene_4382972,856
gene_4372256,855
gene_4042559,855
gene_4274409,853
gene_4452467,853
gene_4477387,853
gene_4384708,851
gene_3963734,851
gene_4543219,850
gene_3637357,850
gene_4246071,850
gene_3920429,849
gene_3422190,848
gene_4062857,847
gene_4505499,846
gene_3576356,846
gene_2531463,845
gene_4321182,845
gene_3151781,844
gene_4099942,844
gene_4270176,841
gene_4253613,839
gene_3979470,839
gene_4529699,838
gene_3016196,837
gene_4280128,836
gene_4528196,835
gene_4088309,835
gene_4040375,833
gene_4096066,831
gene_3768640,831
gene_4131553,830
gene_3958335,830
gene_4137143,830
gene_3867072,828
gene_4146844,826
gene_4556934,825
gene_3431942,824
gene_4612385,823
gene_3548732,823
gene_4116340,820
gene_4502189,819
gene_3688249,817
gene_3525804,816
gene_3391813,815
gene_3377577,813
gene_4408105,812
gene_3768885,812
gene_3812130,811
gene_4121122,810
gene_4174320,809
gene_4442437,807
gene_4369416,805
gene_4513990,805
gene_2807308,805
gene_4578517,805
gene_2950539,803
gene_4273368,802
gene_2027438,801
gene_4443788,801
gene_3624994,801
gene_3761497,800
gene_3570114,800
gene_3821375,798
gene_3594870,795
gene_4370922,795
gene_3748570,795
gene_4435123,793
gene_4609410,792
gene_3256987,792
gene_4451134,792
gene_3546743,792
gene_3839277,789
gene_4021415,789
gene_3293038,789
gene_4110617,789
gene_3319054,786
gene_2658889,786
gene_4471081,786
gene_4242693,784
gene_4108746,783
gene_4385476,783
gene_2865884,779
gene_4324715,778
gene_3994098,778
gene_3208633,776
gene_3468031,774
gene_4320137,774
gene_4268601,774
gene_3762862,774
gene_3530376,768
gene_4179816,766
gene_3483964,765
gene_3701217,763
gene_4059907,762
gene_3570235,761
gene_4097100,761
gene_3727693,761
gene_4566738,760
gene_3763409,760
gene_3545699,759
gene_3905500,758
gene_4529695,757
gene_3224342,754
gene_4536110,753
gene_4616818,753
gene_3017876,753
gene_4236880,751
gene_4140834,751
gene_3331026,749
gene_3655250,746
gene_3887703,746
gene_3008563,746
gene_4452507,745
gene_4181468,745
gene_4574726,743
gene_3896782,742
gene_4303071,741
gene_4254653,740
gene_4207199,739
gene_3070147,737
gene_4327639,736
gene_4105546,731
gene_3183669,731
gene_2748605,730
gene_3680054,729
gene_2862090,728
gene_3769682,728
gene_1228123,728
gene_3447360,728
gene_3672159,727
gene_2545589,726
gene_4210246,725
gene_3138143,724
gene_4637268,723
gene_4140213,723
gene_4107753,723
gene_2891827,721
gene_4385236,721
gene_4069655,721
gene_4109179,721
gene_4021954,718
gene_3515995,718
gene_3606768,717
gene_2942453,714
gene_3356152,714
gene_3840600,713
gene_3699416,713
gene_2988423,713
gene_2548133,712
gene_2451765,711
gene_4018213,710
gene_4528749,709
gene_3365398,709
gene_4037308,708
gene_2738377,702
gene_2907468,702
gene_2226190,701
gene_3784734,701
gene_4631409,701
gene_4064682,700
gene_4290563,699
gene_4286467,699
gene_3193677,699
gene_4563513,697
gene_4248567,697
gene_3754341,694
gene_4351361,694
gene_2975699,692
gene_4353436,690
gene_3477439,690
gene_4203262,689
gene_2497116,689
gene_4525919,688
gene_3700585,688
gene_3241222,687
gene_3061537,687
gene_4442343,686
gene_4157725,683
gene_3708805,682
gene_4561586,680
gene_4602238,680
gene_1797084,679
gene_3768162,679
gene_4131554,678
gene_4252705,675
gene_4519327,675
gene_4346855,672
gene_2155406,667
gene_3367050,666
gene_3830681,666
gene_2598443,664
gene_2889990,664
gene_3950111,664
gene_4426395,663
gene_4466074,661
gene_3928646,660
gene_3629582,660
gene_4449542,659
gene_4304471,659
gene_3766364,658
gene_3864697,657
gene_3407586,656
gene_4239563,655
gene_2688259,655
gene_4623429,654
gene_4063114,654
gene_3878339,653
gene_3968138,649
gene_3684338,648
gene_2444072,648
gene_4605923,648
gene_3385050,645
gene_3847533,645
gene_4401953,643
gene_3748625,642
gene_4287837,641
gene_3395345,640
gene_4492869,640
gene_4584189,639
gene_2242713,639
gene_2945924,638
gene_4114702,638
gene_4265316,638
gene_2671473,637
gene_3939997,636
gene_3979508,635
gene_4527576,634
gene_4224908,634
gene_2360609,634
gene_3487708,634
gene_3900615,633
gene_3747117,632
gene_3566700,631
gene_2862595,631
gene_3743822,630
gene_2436565,630
gene_3030514,628
gene_3902141,627
gene_3321131,627
gene_3240042,625
gene_4007592,625
gene_3851480,623
gene_3688415,619
gene_4317729,618
gene_4438282,618
gene_3237970,617
gene_3203079,617
gene_4356249,617
gene_4039330,617
gene_3892505,616
gene_4131555,615
gene_3970211,614
gene_2668423,612
gene_3568137,611
gene_4288577,611
gene_3880134,611
gene_4237576,611
gene_3363935,611
gene_2345741,610
gene_3791658,610
gene_2843767,609
gene_3553954,608
gene_4082320,607
gene_4638289,607
gene_4470406,606
gene_4564532,605
gene_3776251,604
gene_4228672,604
gene_4412666,604
gene_2974748,603
gene_4417977,600
gene_4449784,600
gene_4473652,600
gene_4039328,599
gene_3801155,598
gene_4070916,598
gene_4198064,597
gene_4405189,597
gene_4161604,597
gene_3772264,596
gene_3703611,595
gene_4214791,591
gene_2554634,590
gene_4007919,590
4-4_GL0084790,590
gene_4572013,590
gene_3209100,589
gene_3894131,587
gene_3622006,587
gene_4156632,587
gene_3920705,586
gene_4561712,585
gene_3503605,585
gene_3889288,583
gene_4235718,583
gene_4259368,583
gene_4399332,583
gene_4523371,583
gene_3930782,581
gene_3839567,581
gene_3225670,581
gene_4546408,580
gene_4556371,579
gene_3426084,577
gene_4566159,577
gene_3166850,577
gene_3943020,576
gene_4358011,575
gene_3942185,575
gene_4032220,575
gene_4337085,574
gene_4093542,574
gene_3752113,574
gene_3946214,573
gene_4099202,573
gene_3638608,572
gene_3163159,572
gene_2403163,564
gene_2671553,564
gene_3723759,564
gene_3178518,563
gene_3903189,563
gene_2244609,562
gene_2870586,560
gene_4582928,560
gene_4635507,559
gene_3619597,559
gene_4021955,558
gene_4421702,558
gene_3501642,556
gene_2264954,554
gene_3203713,554
gene_4475386,552
gene_3169507,551
gene_2726972,550
gene_3020902,549
gene_4405191,549
gene_4405089,549
gene_3681740,547
gene_4606035,547
gene_3877458,547
gene_3952118,546
gene_3794014,545
gene_4339927,545
gene_3853186,545
gene_4573737,544
gene_4187980,543
gene_3896976,543
gene_4438084,542
gene_3015770,542
gene_3308717,542
gene_3591813,541
gene_3603345,541
gene_3694244,541
gene_3539774,541
gene_4343613,540
gene_3916226,540
gene_3386808,539
gene_4241568,537
gene_4021342,537
gene_3460949,537
gene_3424683,536
gene_3910328,534
gene_4369391,533
gene_2745606,533
gene_2300063,532
gene_2821593,531
gene_3912717,531
gene_4363402,531
gene_3434320,530
gene_4350987,530
gene_2612009,527
gene_4103276,527
gene_4559733,524
gene_3896186,523
gene_4095762,522
gene_4132911,521
gene_2197877,521
gene_4545706,521
NZ_RAYI01000046.1_cds_WP_121737090.1_2698,520
gene_4520504,520
gene_4293903,520
gene_3394078,518
gene_3504372,517
gene_4512224,517
gene_3147418,517
gene_2891628,516
gene_4549415,516
gene_3561552,516
gene_2748457,516
gene_2836867,514
gene_4066797,513
gene_3706445,512
gene_4239737,512
gene_4446473,511
gene_2947299,510
gene_4442367,510
gene_4104294,509
gene_2731442,508
gene_4488023,507
gene_2542392,507
gene_3125400,507
gene_4483122,506
gene_4624815,505
gene_2815513,504
gene_4414549,504
gene_4095889,503
gene_3416091,501
gene_4267891,499
gene_3661365,499
gene_4460953,498
gene_4022371,496
gene_4480420,495
gene_4347975,495
gene_4452368,494
gene_2960316,493
gene_4475245,493
gene_4595285,492
gene_2414908,491
gene_4446864,490
gene_2839180,487
gene_4015697,486
gene_3985927,485
gene_3015454,484
gene_3819729,483
gene_4192376,481
gene_4291186,481
gene_3442602,481
gene_4145712,479
DSM22607_4_GL0243623,479
gene_4471155,479
gene_3965834,477
gene_3948070,477
gene_4544227,475
gene_3120991,475
gene_4445774,475
gene_3647451,474
gene_3148548,474
gene_4251654,473
gene_4620662,471
gene_4497927,470
gene_3582062,470
gene_3823417,470
gene_3205533,469
gene_3534883,469
gene_4147670,468
gene_4115873,468
gene_4227884,468
gene_3031888,468
gene_3815982,466
gene_2479644,466
gene_4019258,465
gene_4091043,465
gene_3930693,465
gene_4103682,464
gene_3549334,463
gene_3928063,463
gene_3659142,462
gene_3359107,462
gene_4017616,461
gene_3697920,461
gene_3162651,460
gene_4214790,460
gene_4548238,458
gene_3788613,457
gene_3465852,456
gene_3769614,455
gene_2779193,454
gene_4443822,453
gene_3859151,453
gene_3791024,452
gene_4253786,451
gene_2958888,451
gene_4089109,451
gene_4328904,450
gene_3369022,449
gene_3224473,448
gene_4245387,447
gene_3026649,446
gene_3874223,445
NZ_CP021421.1_cds_WP_068960215.1_155,444
gene_4431481,443
gene_4437344,443
gene_3605075,442
gene_3340959,441
gene_3987263,441
gene_4274460,440
gene_3335160,438
gene_4442443,438
gene_4316716,438
gene_4335671,436
gene_4285981,435
gene_3319848,434
gene_3169699,434
gene_4117233,434
gene_2113055,433
gene_4607190,433
gene_3636022,432
gene_4619635,432
gene_3122280,431
gene_4556772,430
gene_3098774,430
gene_4152213,429
gene_3742308,429
gene_3371392,429
gene_4438048,429
gene_4124058,427
gene_2615331,426
gene_2207959,424
gene_3308769,423
gene_4409697,422
Food_11_GL0357206,422
gene_3753724,421
gene_3975977,420
gene_4094560,420
gene_4536800,419
gene_4008014,419
gene_4056695,418
gene_3979571,418
gene_3966376,417
gene_4560520,417
gene_4559732,416
gene_2348583,416
gene_4441498,416
gene_4258739,416
gene_3737321,416
gene_4491746,415
gene_3422684,415
gene_4103030,414
gene_3087064,414
gene_3813131,414
gene_4277213,413
gene_4238847,412
gene_4247181,412
gene_2759629,411
gene_4430789,411
gene_3843954,411
gene_3296140,410
gene_4138552,409
gene_4237820,407
gene_4186093,407
gene_4348082,406
gene_3577630,406
gene_2839877,405
gene_3701052,404
gene_3826634,403
gene_3236789,402
gene_4633114,401
gene_2936220,401
gene_4389605,400
gene_4613965,398
gene_3420703,396
gene_4631316,396
gene_4318733,394
