gene,donor_3_cecum
gene_3352067,887
gene_2451765,886
gene_4543219,884
gene_1943946,882
gene_3812130,882
gene_4096958,879
gene_2489998,879
gene_4634916,877
gene_4180576,877
gene_4334388,876
gene_4108746,876
gene_2891628,875
gene_3939574,873
gene_3994098,872
gene_3730822,872
gene_3483168,871
gene_3768640,871
gene_2687372,871
gene_4609967,870
gene_3703611,867
gene_3924911,866
gene_4443788,865
gene_3603345,865
gene_3017876,864
gene_4044582,863
gene_3748570,860
gene_4103029,860
gene_3754341,859
gene_3900615,857
gene_4339927,857
gene_3483964,853
gene_4273368,852
gene_4445774,851
gene_3946214,850
gene_3151781,850
gene_4109179,849
gene_4367107,849
gene_3570114,848
gene_4527576,847
gene_3875564,847
gene_3958335,843
gene_3878528,842
gene_4561712,842
gene_4252705,841
gene_3387999,840
gene_2836867,840
gene_4384708,839
gene_3021138,838
gene_3163159,837
gene_2658890,835
gene_3557530,834
gene_3902595,834
gene_4242693,831
gene_4270176,828
gene_4174320,826
gene_2975699,825
gene_3452368,823
gene_3979508,819
gene_2950539,819
gene_4059907,819
gene_4370922,818
gene_3853186,818
4-4_GL0084790,818
gene_4556934,817
gene_3655250,815
gene_2542392,815
gene_2398525,814
gene_2545589,813
gene_3637357,813
gene_4446864,812
gene_3867072,812
gene_3339741,810
gene_2738377,810
gene_3548732,809
gene_4505499,807
gene_4253613,806
HF-F_4_GL0312174,805
gene_1796288,803
gene_4096066,803
gene_3169507,802
gene_4616818,800
gene_3530376,799
gene_3457766,798
gene_4426836,797
gene_4353436,795
gene_2497116,794
gene_2548133,793
gene_2403163,789
gene_4471081,789
gene_4121122,788
gene_2865884,787
gene_4405191,786
gene_4545706,785
gene_3727693,782
gene_4409338,781
gene_2982674,780
gene_4021415,776
gene_4003123,776
gene_4466074,772
gene_3659142,771
gene_3061537,770
gene_4346855,769
gene_2807308,766
gene_3763409,765
gene_4131554,763
gene_4609410,762
gene_4254653,761
gene_3781212,760
gene_3851480,760
gene_3943020,758
gene_2988423,757
gene_3706445,756
gene_4430789,756
gene_4248567,754
gene_3839277,754
gene_4517788,752
gene_3166850,748
gene_2942453,747
gene_4237820,747
gene_3821375,744
gene_3545699,743
gene_3411395,743
gene_3087960,742
gene_3365398,741
gene_4140834,740
gene_2588043,739
gene_3468031,736
gene_4132911,736
gene_4471155,736
gene_4236880,735
gene_4097100,734
gene_3793510,733
gene_4452467,731
gene_4179817,731
gene_4290880,730
gene_4114702,730
gene_4088309,729
gene_4511433,729
gene_3784734,729
gene_2479644,729
gene_3878289,725
gene_2598443,722
gene_4207199,722
gene_4021954,721
gene_3905500,717
gene_3138143,717
gene_4213680,717
gene_3566700,716
gene_2688259,715
gene_4019258,713
gene_4452723,713
gene_4288577,712
gene_4414549,712
gene_4573737,711
gene_3950111,708
gene_4607190,707
gene_4563513,707
gene_4442343,707
gene_4317729,707
gene_2907468,704
gene_4290563,704
gene_4546130,702
gene_4363402,702
gene_4095929,702
gene_4477387,702
gene_3169699,701
gene_4099202,697
gene_2264954,696
gene_4224908,695
gene_4417977,694
gene_3203079,692
gene_4492869,692
gene_4064682,690
gene_4452507,690
gene_4198064,689
gene_4419666,689
gene_3729740,688
gene_4258310,688
gene_4574726,687
gene_3638608,685
gene_4549415,685
gene_4017616,685
gene_4385236,685
gene_3680054,682
gene_4303071,681
gene_4286467,680
gene_3708805,678
gene_4442367,675
gene_4239563,675
gene_4140213,675
gene_4032220,674
gene_4069655,671
gene_4327639,669
gene_4280128,668
gene_4548238,667
gene_4207445,664
gene_3030514,663
gene_2748605,663
gene_4247181,663
gene_4637268,661
gene_4079729,661
gene_4517630,661
gene_4595285,660
gene_4239190,660
gene_3912717,659
gene_2671473,658
gene_3699416,656
gene_3939997,653
gene_3605075,653
gene_3894131,652
gene_2360609,649
gene_3568137,649
gene_2554635,648
gene_4441498,647
gene_4347975,647
gene_4107753,645
gene_3504372,644
gene_3359107,644
gene_3147418,644
gene_3534883,644
gene_4129389,643
gene_3321131,640
gene_3331026,639
gene_2779193,638
gene_4438282,637
gene_3501642,637
gene_4605923,636
gene_3209100,635
gene_4324715,634
gene_3606768,633
gene_4104294,633
gene_3948070,632
gene_3968138,632
gene_3225670,632
gene_4358011,628
gene_3503605,628
gene_3847533,627
gene_2862595,626
gene_4287837,624
gene_4156632,624
gene_2027438,623
gene_3791658,623
gene_3794014,621
gene_4056695,621
gene_3477439,621
gene_4471424,619
gene_2382596,616
gene_3537520,613
gene_3752113,612
gene_3636022,612
gene_4076446,612
gene_4556772,612
gene_4228672,611
gene_3629582,610
gene_3966376,609
gene_4519327,608
gene_3178518,607
gene_4084415,607
gene_2862090,606
gene_3553954,605
gene_3694244,605
gene_3183669,605
gene_4192376,604
gene_3684338,604
gene_4438084,603
gene_4039330,602
gene_4351361,601
gene_2907312,601
gene_4203262,600
gene_4582928,599
gene_4322121,598
gene_2187964,596
gene_3649966,594
gene_4245387,593
gene_3896782,592
gene_3308717,592
gene_3016197,590
gene_2444072,589
gene_4451134,587
gene_3407586,587
gene_3385050,586
gene_4335671,586
gene_3507312,586
gene_4470406,585
gene_3460949,584
gene_4449784,584
gene_4015697,584
gene_4606035,584
gene_4304471,583
gene_4449542,583
gene_2155406,583
gene_3630332,581
gene_3591813,580
gene_4431481,580
gene_3360102,578
gene_3916226,578
gene_4405189,578
gene_3070147,577
gene_3395345,577
gene_4584189,577
gene_3880134,576
gene_3928063,576
gene_3614375,576
gene_3754200,573
gene_4623429,573
gene_4235718,573
gene_2947299,572
gene_2745606,571
gene_2839180,571
gene_4082320,571
gene_4265316,570
gene_2843767,570
gene_3889288,567
gene_3916745,566
gene_4354034,566
gene_4000393,566
gene_4188448,565
gene_2345741,565
gene_2436565,564
gene_3910328,562
gene_2731442,562
gene_4572013,561
gene_4134797,560
gene_3776251,559
gene_2505865,557
gene_4499199,556
gene_4374499,556
DSM22607_4_GL0243623,554
gene_4241568,554
HF-F_4_GL0315444,554
gene_2821593,553
gene_4473652,553
gene_4320137,553
gene_3016196,552
gene_2244609,552
gene_4021955,552
gene_2444978,552
gene_3394078,551
gene_2945924,549
gene_3905031,548
gene_3681740,547
gene_4103030,546
gene_2960316,540
gene_3609578,539
gene_3942185,538
gene_3577630,537
gene_3839567,536
gene_4564532,535
gene_4632766,534
NZ_KB822478.1_cds_WP_004056605.1_1984,532
gene_3575376,531
gene_4399332,530
gene_3015770,529
gene_4477933,528
gene_4580879,528
gene_4437344,528
gene_4475386,527
gene_4536110,527
gene_3120991,526
gene_3241222,524
gene_4520504,523
gene_4620662,523
gene_4157725,522
gene_3420703,518
gene_3208633,517
gene_3957926,517
gene_3407587,516
gene_2554634,516
gene_3835984,516
gene_3319848,515
gene_3386808,514
gene_4523371,514
gene_4293903,514
gene_3769614,514
gene_4058580,512
gene_3203713,510
gene_3426084,509
gene_4093542,509
gene_3672159,509
gene_3647451,508
gene_3985927,508
gene_3723759,508
gene_4253786,507
gene_4194280,507
gene_2073551,507
gene_4556371,507
gene_2300063,506
gene_4546408,506
gene_4369391,504
gene_4089109,503
gene_3903189,501
gene_4259368,501
gene_3622006,501
gene_4018213,500
gene_4091043,500
gene_3594870,498
gene_4227884,498
gene_4515345,497
gene_4437326,497
gene_4442443,497
gene_4351018,494
gene_4401953,492
G1-3A_GL0030844,492
gene_4116340,492
gene_3020902,491
gene_3743822,490
gene_3994719,490
gene_2113055,490
gene_3759426,489
gene_3424683,489
gene_4474332,488
gene_4059908,488
gene_2021737,487
gene_4022999,487
gene_4158662,486
gene_3987263,486
gene_2396716,486
gene_3843954,485
gene_3549334,485
gene_2207959,484
gene_3952118,483
gene_3688415,481
gene_4356249,480
gene_3916811,478
gene_3858975,477
gene_4446473,475
gene_3219872,474
gene_3813131,473
gene_3972840,473
gene_4619635,473
gene_3701052,471
gene_2242713,469
gene_2611139,469
gene_3125400,469
gene_3582062,469
gene_3434320,468
gene_3335160,468
gene_4181212,468
gene_2759629,468
gene_4589746,467
gene_4328904,467
gene_4333933,465
gene_4350987,463
gene_3697920,462
gene_4409697,462
gene_2414908,460
gene_3878339,459
gene_4561586,459
gene_3874223,459
gene_4214790,459
gene_2748457,458
gene_3887703,458
gene_4084315,457
gene_3441169,457
gene_4560857,456
gene_4491746,455
gene_4187980,455
gene_4145712,454
gene_4559733,453
gene_4008014,452
gene_3783768,451
gene_4624815,450
gene_4405089,449
gene_3747117,449
gene_3771904,448
gene_3416091,447
gene_4251654,447
gene_4460953,447
gene_3661365,447
gene_4631409,446
gene_3859151,444
gene_3700585,441
gene_2612009,440
gene_3823489,440
gene_4559732,440
Food_11_GL0357206,440
gene_2958888,440
gene_3507903,439
gene_3965834,438
gene_4325564,438
gene_4468469,437
gene_4022371,436
gene_3688763,436
gene_3930693,436
gene_4267891,436
gene_4095762,435
gene_1228123,434
gene_4475245,433
gene_2839877,431
gene_3772264,430
gene_3611061,430
gene_4602026,430
gene_3970211,430
gene_4566159,429
gene_4497927,428
gene_3422685,428
gene_3753724,427
gene_4631316,427
gene_4544227,427
gene_3122280,426
gene_3952487,425
gene_3193677,425
gene_4562113,425
gene_4277213,424
gene_3015454,424
gene_3986268,423
gene_4341527,423
gene_4510842,423
gene_3896976,422
gene_4259576,419
gene_3561552,418
