gene,noFMT_3_ileum
gene_4401297,14
gene_3638660,14
gene_3580147,14
gene_4467399,14
gene_1943947,14
1A-dyr2-07_GL0044496,14
gene_3967408,14
gene_3767204,14
gene_4512024,14
4-3_GL0054475,14
gene_3789039,14
gene_3896903,14
gene_4171501,14
gene_2803613,14
gene_3635121,14
gene_3323454,14
gene_3701764,14
gene_4566288,14
gene_3210366,14
gene_2476697,14
gene_3667044,14
gene_4584944,14
gene_4629454,14
gene_4046817,14
gene_4410387,14
gene_3803066,14
gene_4626142,13
gene_2855783,13
gene_4609966,13
10_GL0092901,13
gene_3824167,13
gene_2839179,13
gene_4353641,13
gene_4517226,13
gene_3862761,13
gene_4601967,13
gene_3891396,13
gene_4623567,13
gene_2115899,13
gene_4135100,13
gene_3939091,13
gene_3473110,13
gene_4603222,13
gene_3902442,13
gene_3036178,13
1A-dyr2-07_GL0027673,13
gene_3929361,13
gene_3445319,13
gene_4073625,13
gene_3841170,13
gene_4383681,13
gene_3868912,13
10_GL0097310,13
gene_4434951,13
gene_3721277,13
gene_4568437,13
gene_4628276,13
gene_3000862,13
gene_3361691,13
11_GL0024912,13
gene_4218769,13
gene_3896904,13
gene_3544107,13
gene_3758893,13
gene_4265317,13
gene_3247777,13
gene_3452612,13
gene_4513499,13
gene_4085699,13
gene_3044561,13
gene_4220068,13
gene_3408849,13
gene_2902355,13
gene_3873906,13
gene_4492961,13
gene_3824923,13
gene_3869673,13
gene_3365448,13
gene_4419114,13
gene_4346442,13
gene_4632305,13
gene_3675602,13
gene_3913077,13
gene_3042080,13
gene_3147416,13
gene_3646316,13
gene_4044965,13
gene_4403355,13
gene_4310092,13
gene_3536024,13
gene_4414410,13
gene_3608730,13
gene_4050456,13
gene_4160447,13
10_GL0030365,13
gene_3630863,13
gene_3970794,13
gene_3746759,13
gene_3016781,13
gene_4279215,13
gene_3217844,13
gene_3057548,13
gene_3217843,13
gene_3347716,13
gene_2596772,13
gene_4540577,13
gene_3992708,13
gene_4395000,13
gene_4214772,13
gene_2762987,13
gene_4591505,13
gene_3675601,13
gene_3986654,13
gene_4028544,13
gene_4229339,13
gene_1958653,13
gene_4241412,13
gene_3471875,13
gene_3624994,12
gene_3740128,12
gene_4445564,12
gene_3497191,12
gene_4414549,12
gene_4315453,12
gene_3264320,12
gene_3994098,12
gene_3295111,12
gene_2736075,12
43_GL0101304,12
gene_4447285,12
gene_4308400,12
2A-dyr13-07_GL0007946,12
gene_3653030,12
1A-dyr2-07_GL0019283,12
gene_3589527,12
gene_4585997,12
gene_3238698,12
gene_2400855,12
gene_4517282,12
gene_2400525,12
gene_3947896,12
gene_3257034,12
gene_4320912,12
gene_2217371,12
1A-dyr2-07_GL0065058,12
gene_4493120,12
gene_4540508,12
gene_4509529,12
gene_3144828,12
gene_4157882,12
gene_3631341,12
S-Fe4_GL0075317,12
gene_4299436,12
gene_3361261,12
gene_4217315,12
gene_3825579,12
gene_4485092,12
1A-dyr2-07_GL0065047,12
gene_4520153,12
gene_3730402,12
gene_3020502,12
10_GL0072676,12
gene_4096662,12
gene_4142584,12
gene_4330948,12
gene_3750089,12
gene_4304251,12
gene_4503527,12
1A-dyr2-07_GL0064683,12
gene_4032535,12
gene_4508782,12
gene_2947127,12
gene_4615338,12
gene_4157349,12
gene_3053565,12
gene_3347464,12
10_GL0097792,12
gene_4435122,12
gene_2837782,12
gene_3649150,12
gene_4430403,11
gene_4516147,11
gene_3470408,11
gene_4183762,11
gene_3996218,11
gene_4566746,11
gene_3583194,11
gene_4542301,11
1A-dyr2-07_GL0031348,11
gene_3277055,11
gene_3728839,11
gene_3804073,11
gene_2912316,11
gene_4250014,11
10_GL0094510,11
gene_3742710,11
gene_4033660,11
gene_1177047,11
gene_3396364,11
gene_4131555,11
gene_4364448,11
gene_4160203,11
gene_3317329,11
gene_4137251,11
gene_4489830,11
gene_3910325,11
gene_2855784,11
gene_3377575,11
10_GL0005493,11
gene_4136854,11
gene_3314169,11
gene_3343755,11
gene_4373937,11
gene_4103276,11
gene_4053958,11
gene_4392938,11
gene_4321182,11
gene_3159664,11
gene_4168454,11
gene_4389477,11
gene_4200727,11
gene_3569353,11
gene_4348081,11
gene_4500980,11
gene_3986267,11
gene_3110449,11
gene_3247778,11
gene_2478969,11
gene_1849529,11
1A-dyr2-07_GL0030393,11
gene_4563513,11
gene_4252529,11
1A-dyr2-07_GL0069637,11
gene_3980224,11
gene_3209099,11
gene_3612424,11
gene_4179816,11
gene_3544564,11
gene_4107239,11
gene_4249474,11
gene_3576986,11
gene_4274272,11
gene_4252705,11
gene_4333487,11
gene_2479644,10
gene_2851782,10
gene_3873057,10
10_GL0063444,10
gene_4333933,10
gene_1081071,10
gene_3393630,10
19_GL0031359,10
gene_3083162,10
gene_4523717,10
10_GL0011046,10
gene_3611523,10
gene_3433147,10
gene_3830681,10
gene_3866491,10
gene_2794975,10
gene_4282880,10
gene_4043077,10
45_GL0167929,10
10_GL0037685,10
gene_4258089,10
gene_4225958,10
gene_4508703,10
gene_3521261,10
gene_3701333,10
gene_2347056,10
gene_2517279,10
gene_3391813,10
10_GL0070865,10
gene_4151035,10
gene_3994719,10
gene_3585500,10
gene_3558225,10
gene_2187964,10
gene_3836959,10
10_GL0007970,10
10_GL0030313,10
gene_4280827,10
gene_4003577,10
gene_3534785,10
gene_2659887,10
S-Fe4_GL0047441,10
gene_3312054,10
gene_4086729,10
gene_2788973,10
gene_4218945,10
gene_4037308,10
gene_3952247,10
gene_4378040,10
gene_4070916,9
gene_3998040,9
gene_3762862,9
10_GL0072693,9
gene_3447360,9
gene_3052833,9
gene_4321906,9
10_GL0088872,9
gene_2947255,9
gene_4609967,9
gene_3566700,9
gene_3649676,9
gene_4445774,9
gene_4044582,9
10_GL0090845,9
gene_3045510,9
gene_4090523,9
gene_4096958,9
gene_4337085,9
gene_4016255,9
gene_2889990,9
gene_4055708,9
10_GL0030747,9
gene_3768885,9
gene_4222121,9
10_GL0057366,9
gene_1081069,9
gene_3377577,9
10_GL0093317,9
gene_4545438,9
gene_4529695,9
gene_4392070,9
gene_4578517,9
gene_3886870,9
gene_4042559,9
NZ_RAZD01000016.1_cds_WP_120420534.1_654,9
gene_4358652,9
gene_4030929,9
gene_3517306,9
gene_4181212,9
gene_3664881,9
gene_3847211,9
gene_3208633,9
1A-dyr2-07_GL0069651,9
gene_4265295,9
gene_4007919,9
NZ_RAZA01000026.1_cds_WP_120479743.1_1868,9
gene_4387186,9
gene_4231947,9
gene_4207445,9
10_GL0024669,9
gene_3659756,9
gene_3487708,9
gene_4095889,9
gene_2891827,9
S-Fe20_GL0087469,9
gene_4426549,9
gene_2372888,9
10_GL0020107,9
gene_4500981,9
gene_4604030,9
gene_2836867,9
gene_4386762,9
10_GL0000838,9
gene_2658889,9
1A-dyr2-07_GL0069617,9
gene_3485290,9
10_GL0072687,9
gene_4132721,9
gene_3866419,9
gene_3946214,9
gene_4305320,9
gene_4528749,9
gene_2953684,9
gene_3876300,9
gene_3367050,9
gene_3617341,9
10_GL0032898,9
gene_4244866,9
10_GL0081955,9
gene_4087327,9
gene_4059908,9
gene_4372256,9
gene_3748625,9
gene_4441498,9
gene_4019258,8
Chow_5_GL0023792,8
gene_3507312,8
HF-F_4_GL0315444,8
1A-dyr2-07_GL0004360,8
10_GL0081460,8
gene_3656089,8
gene_3801155,8
gene_4573592,8
gene_4179326,8
gene_2930587,8
10_GL0013254,8
1A-dyr2-07_GL0041495,8
10_GL0054040,8
gene_2021737,8
gene_3782006,8
gene_4210246,8
1A-dyr2-07_GL0006857,8
gene_3754200,8
10_GL0080465,8
10_GL0068709,8
10_GL0023847,8
gene_3706445,8
gene_3399418,8
2-3_GL0004654,8
gene_4274197,8
10_GL0097150,8
10_GL0060052,8
gene_3862166,8
10_GL0030293,8
gene_2593733,8
gene_4084415,8
19_GL0055838,8
gene_4117233,8
gene_4412666,8
gene_4548236,8
gene_2669432,8
gene_4058580,8
gene_2073551,8
10_GL0098809,8
gene_4499199,8
gene_2698357,8
S-Fe1_GL0062967,8
gene_4374499,8
gene_2497113,8
10_GL0081492,8
NZ_RAYF01000043.1_cds_WP_120391769.1_2153,8
S-Fe10_GL0017513,8
gene_3461286,8
gene_4430789,8
gene_4253613,8
S-Fe10_GL0049502,8
gene_4433565,8
10_GL0016175,8
gene_3858975,8
10_GL0030384,8
10_GL0060060,8
gene_4471424,8
gene_4607190,8
1A-dyr2-07_GL0008274,8
gene_4452723,8
gene_3853186,8
1-7_GL0098320,8
gene_4006380,8
gene_3032996,8
10_GL0088875,8
gene_3230397,8
10_GL0099105,8
gene_4152129,8
1A-dyr2-07_GL0030401,8
gene_4419666,8
gene_4259576,8
gene_3293038,8
gene_1177049,8
gene_3371006,8
gene_4128625,8
gene_3557724,8
gene_3360102,8
gene_3136800,8
gene_2726972,8
1A-dyr2-07_GL0028820,8
gene_4411418,8
10_GL0097302,8
1A-dyr2-07_GL0065884,8
10_GL0063499,8
gene_4342427,8
gene_3223108,8
1A-dyr2-07_GL0004289,8
10_GL0100129,8
10_GL0003464,8
gene_3595151,8
gene_4561987,8
Food_11_GL0016298,8
gene_2611139,8
10_GL0063268,7
NZ_KB822478.1_cds_1925,7
gene_2398525,7
1A-dyr2-07_GL0004307,7
gene_4140213,7
gene_4497716,7
gene_3191491,7
10_GL0070896,7
10_GL0016167,7
gene_4382686,7
32_GL0043252,7
gene_3596412,7
gene_3752730,7
gene_3414630,7
10_GL0061864,7
gene_4014806,7
gene_4216838,7
gene_4317122,7
7-7_GL0065875,7
10_GL0061867,7
gene_3008714,7
gene_3089759,7
10_GL0097321,7
gene_4546130,7
10_GL0070901,7
10_GL0084144,7
S-Fe4_GL0002200,7
gene_3135983,7
gene_3371393,7
gene_2646438,7
1A-dyr2-07_GL0067608,7
gene_3378237,7
1A-dyr2-07_GL0069597,7
gene_4406968,7
gene_3049061,7
1A-dyr2-07_GL0041481,7
1A-dyr2-07_GL0008641,7
1A-dyr2-07_GL0009494,7
10_GL0037688,7
10_GL0008019,7
10_GL0092017,7
gene_3978143,7
gene_3249077,7
gene_3670427,7
10_GL0081474,7
MC-6-2_GL0028777,7
5-2_GL0069675,7
1A-dyr2-07_GL0030887,7
10_GL0088873,7
10_GL0030349,7
gene_1924892,7
gene_4492526,7
10_GL0032593,7
gene_3992728,7
gene_4281171,7
10_GL0030302,7
10_GL0046428,7
10_GL0030341,7
gene_3176526,7
10_GL0001354,7
gene_4253810,7
10_GL0054056,7
7_GL0094295,7
gene_4018366,7
10_GL0051452,7
1A-dyr2-07_GL0030416,7
10_GL0099106,7
10_GL0016163,7
gene_3302001,7
gene_4595680,7
10_GL0061910,7
10_GL0016170,7
G1-7A_GL0106060,7
gene_2933446,7
10_GL0087658,7
10_GL0062047,7
10_GL0088874,7
10_GL0082593,7
10_GL0002264,7
gene_4437273,7
gene_4529292,7
gene_4172081,7
gene_4420133,7
gene_4376767,6
gene_4263639,6
10_GL0000861,6
NZ_RAYF01000043.1_cds_WP_120436726.1_2204,6
Group2-5A_GL0019410,6
gene_3574173,6
gene_4375746,6
42_GL0055689,6
Chow_8_GL0116907,6
10_GL0088879,6
10_GL0030288,6
gene_3904066,6
gene_3546743,6
G1-6A_GL0022191,6
gene_3878529,6
1A-dyr2-07_GL0030441,6
10_GL0080442,6
10_GL0071853,6
10_GL0030097,6
1A-dyr2-07_GL0008233,6
S-Fe10_GL0069103,6
1A-dyr2-07_GL0066970,6
7_GL0017190,6
10_GL0098793,6
gene_3913538,6
10_GL0065272,6
gene_4330949,6
10_GL0023846,6
10_GL0002269,6
gene_3557530,6
gene_3134869,6
gene_3935885,6
NZ_RAYB01000069.1_cds_WP_121708480.1_3355,6
1A-dyr2-07_GL0008255,6
10_GL0023849,6
gene_3919810,6
gene_4070299,6
gene_3154358,6
gene_1081070,6
gene_4067681,6
gene_4471536,6
gene_3892935,6
3_GL0071853,6
gene_3573521,6
gene_4234918,6
gene_3452368,6
gene_4025509,6
Food_14_GL0203340,6
10_GL0053432,6
NZ_RAYU01000833.1_cds_WP_120476277.1_6781,6
gene_4324715,6
Group2-4A_GL0011174,6
NZ_OFSM01000044.1_cds_WP_103242229.1_5530,6
gene_3880524,6
1A-dyr2-07_GL0067000,6
gene_3930336,6
gene_3474526,6
gene_3048704,6
gene_4560520,6
gene_4179817,6
19_GL0034088,6
gene_4534171,6
gene_268203,6
gene_4009535,6
NZ_RAZD01000060.1_cds_WP_120422901.1_2914,6
gene_4108300,6
10_GL0030103,6
gene_4123435,6
gene_4617382,6
1A-dyr2-07_GL0027665,6
10_GL0063271,6
NZ_RAZK01000218.1_cds_WP_120487251.1_2331,6
Group2-3A_GL0028247,6
Chow_4_GL0180840,6
gene_4169428,6
10_GL0081953,6
10_GL0063260,6
gene_3989023,6
NZ_KB822500.1_cds_WP_004065201.1_4883,6
3-5_GL0015822,6
gene_2808540,6
2A-dyr14-06_GL0031301,6
NZ_KB822478.1_cds_WP_004056592.1_1978,6
10_GL0092016,6
10_GL0050632,6
gene_2644151,6
10_GL0000857,6
gene_2891508,6
gene_4542711,6
NZ_RAZD01000043.1_cds_WP_120422743.1_2616,6
gene_3256291,6
38_GL0073294,6
10_GL0030284,6
10_GL0030372,6
10_GL0071845,6
10_GL0084350,6
10_GL0000839,6
gene_4147143,6
gene_3374861,6
gene_4253614,6
gene_4503882,6
ERR1211992_Scaf1_71,6
gene_3823488,6
10_GL0065540,6
gene_4088309,6
10_GL0037516,6
gene_3894563,6
6-2_GL0066203,6
gene_4497719,6
10_GL0030357,6
5-2_GL0001551,6
NZ_RAYO01000021.1_cds_WP_120395594.1_262,6
10_GL0060805,6
NZ_OFSM01000063.1_cds_WP_103242611.1_4583,6
gene_4139158,6
NZ_RAZD01000030.1_cds_WP_120422098.1_2074,6
gene_1456355,6
S-Fe8_GL0109925,6
10_GL0045138,6
2A-dyr13-07_GL0038220,6
10_GL0053372,6
51_GL0103973,6
G1-4A_GL0012920,6
AF73-05_14_GL0291975,6
gene_1447589,6
gene_4055190,6
gene_3477282,6
10_GL0030323,6
S-Fe10_GL0080547,6
10_GL0027797,6
gene_4247181,6
7_GL0018552,6
10_GL0081957,6
gene_4634338,6
10_GL0030330,6
gene_3724218,6
10_GL0076100,6
10_GL0091961,6
gene_3991949,6
10_GL0057369,6
gene_3885384,6
gene_3656140,6
NZ_KB822441.1_cds_WP_004068262.1_7,6
5-3_GL0051043,6
10_GL0030324,6
10_GL0081485,6
gene_3649966,6
gene_4436151,6
gene_4625580,6
10_GL0030537,6
gene_3805266,6
10_GL0092685,6
2791814155,6
gene_3709643,6
10_GL0030375,6
1A-dyr2-07_GL0065905,6
S-Fe8_GL0225348,6
1A-dyr2-07_GL0043150,6
NZ_OFSM01000084.1_cds_WP_103242748.1_2771,6
gene_2688324,6
2-5_GL0065666,6
gene_3685730,6
10_GL0008108,6
gene_3241815,6
gene_4383761,6
1A-dyr2-07_GL0064429,6
gene_3870295,6
gene_1720236,6
8-3_GL0037688,6
gene_4222118,6
NZ_RAZK01000209.1_cds_WP_016303809.1_2213,6
gene_3729740,5
gene_3128801,5
3B-dyr31-06_GL0004188,5
10_GL0063267,5
2-6_GL0036902,5
gene_3249762,5
gene_4133957,5
1A-dyr2-07_GL0044528,5
10_GL0020114,5
NZ_RAYM01000073.1_cds_WP_120437476.1_3571,5
2A-dyr13-07_GL0019643,5
7_GL0009557,5
10_GL0071864,5
gene_4001575,5
gene_4483277,5
3-5_GL0078345,5
gene_3780972,5
10_GL0063270,5
gene_1081072,5
1A-dyr2-07_GL0017712,5
10_GL0074479,5
gene_3905031,5
gene_3572156,5
gene_3977405,5
10_GL0031773,5
1A-dyr2-07_GL0041477,5
1A-dyr2-07_GL0044634,5
10_GL0093339,5
10_GL0082746,5
3-2_GL0025252,5
10_GL0036583,5
2-1_GL0031805,5
gene_3889287,5
gene_4088308,5
10_GL0092684,5
gene_3213901,5
NZ_RAYF01000043.1_cds_WP_120391761.1_2161,5
10_GL0011053,5
gene_224782,5
10_GL0054030,5
2A-dyr14-06_GL0062737,5
gene_3457766,5
1A-dyr2-07_GL0019285,5
gene_1301587,5
10_GL0059196,5
10_GL0016171,5
AF73-05_11_GL0209545,5
gene_3969514,5
2A-dyr14-06_GL0033267,5
10_GL0070347,5
gene_4493590,5
gene_3154619,5
10_GL0042327,5
10_GL0058843,5
10_GL0018917,5
S-Fe9_GL0127908,5
gene_2244609,5
gene_4153791,5
NZ_RAYY01000062.1_cds_4357,5
S-Fe10_GL0081046,5
gene_3520790,5
gene_2736174,5
gene_3420392,5
NZ_OFSM01000055.1_cds_WP_103242498.1_4919,5
gene_4009128,5
gene_4557870,5
gene_3203715,5
10_GL0070906,5
gene_2536053,5
gene_2155406,5
3-5_GL0123656,5
10_GL0012995,5
10_GL0071859,5
Group2-4A_GL0014797,5
NZ_KB822478.1_cds_WP_004056503.1_1920,5
NZ_QZFS01000302.1_cds_WP_129184968.1_4275,5
1A-dyr2-07_GL0008262,5
gene_4624815,5
gene_1755303,5
gene_3414790,5
2A-dyr14-07_GL0021455,5
gene_3524792,5
gene_4527917,5
gene_3169507,5
gene_3391546,5
10_GL0063258,5
45_GL0017705,5
gene_4040747,5
gene_3842103,5
1A-dyr2-07_GL0008237,5
10_GL0020102,5
10_GL0023870,5
6_GL0051871,5
gene_4634916,5
NZ_RAYB01000067.1_cds_WP_121708463.1_3183,5
gene_3755259,5
gene_4415572,5
gene_3782836,5
10_GL0045141,5
gene_3209101,5
gene_3537520,5
gene_3723759,5
DSM22607_11_GL0271177,5
gene_3793510,5
gene_3419734,5
10_GL0080280,5
NZ_RAYY01000042.1_cds_WP_120424490.1_3420,5
HF-F_14_GL0230868,5
NZ_RAZA01000074.1_cds_WP_016222257.1_4016,5
10_GL0049507,5
S-Fe10_GL0017512,5
10_GL0018913,5
10_GL0097300,5
gene_3684198,5
6-1_GL0017215,5
gene_2958888,5
10_GL0064595,5
gene_4378487,5
10_GL0061146,5
NZ_RAZE01000038.1_cds_WP_120400864.1_2691,5
Food_12_GL0059776,5
gene_3080780,5
4-1_GL0008557,5
gene_4466754,5
10_GL0000849,5
NZ_QZFS01000133.1_cds_WP_129184053.1_1006,5
gene_2651766,5
gene_3985860,5
gene_4612043,5
gene_2986687,5
gene_3178395,5
gene_4453499,5
Chow_5_GL0023793,5
1A-dyr2-07_GL0041480,5
10_GL0001104,5
gene_4209155,5
6-6_GL0081729,5
gene_3924911,5
10_GL0063257,5
gene_4131553,5
1-3_GL0095720,5
2-3_GL0004655,5
gene_3723278,5
gene_3587112,5
gene_4321820,5
10_GL0061870,5
gene_3511474,5
10_GL0030308,5
10_GL0030276,5
10_GL0030348,5
gene_2828118,5
10_GL0030385,5
gene_4606530,5
10_GL0049845,5
S-Fe13_GL0085138,5
gene_3968139,5
7_GL0012788,5
gene_4484121,5
10_GL0050119,5
gene_2936220,5
1A-dyr1-07_GL0009150,5
gene_4394211,5
10_GL0030379,5
10_GL0035787,5
1A-dyr2-07_GL0004320,5
10_GL0021984,5
1A-dyr2-07_GL0017769,5
20_GL0136251,5
gene_3008563,5
NZ_RAYF01000063.1_cds_3050,5
Food_9_GL0082831,5
gene_1568766,5
gene_2507054,5
6-7_GL0024773,5
gene_3352067,5
gene_3208292,5
36_GL0004223,5
10_GL0061912,5
10_GL0050121,5
10_GL0078188,5
gene_369738,5
gene_3555335,5
3-5_GL0104145,5
10_GL0086384,5
OB-1_4_GL0103312,5
gene_4147144,5
gene_2397045,5
gene_3385642,5
1A-dyr2-07_GL0066983,5
10_GL0072670,5
10_GL0021977,5
gene_3575088,5
gene_4059909,5
gene_3934547,5
gene_2815513,5
10_GL0050641,5
S-Fe9_GL0258038,5
12_GL0076590,5
AF73-05_10_GL0119971,5
NZ_RAYE01000028.1_cds_WP_120444503.1_1982,5
gene_1943946,5
gene_4593840,5
10_GL0070892,5
1A-dyr2-07_GL0030403,5
gene_3331940,5
gene_4089602,5
10_GL0018912,5
gene_181048,5
10_GL0081483,5
10_GL0072683,5
50_GL0061833,5
10_GL0012829,5
1A-dyr2-07_GL0058631,5
2A-dyr14-06_GL0058743,5
10_GL0019358,5
gene_3992196,5
gene_4019895,5
10_GL0080476,5
1A-dyr2-07_GL0066972,5
gene_4609872,5
gene_4511433,5
10_GL0054023,5
gene_3782941,5
gene_2075859,5
gene_3700930,5
gene_3314902,5
19_GL0006487,5
1A-dyr2-07_GL0030391,5
gene_2658890,5
10_GL0030351,5
NZ_NHTR01000003.1_cds_WP_065548053.1_4324,5
MC-0-1_GL0031234,5
8-3_GL0099251,5
10_GL0012836,5
10_GL0001357,5
10_GL0001550,5
gene_4146198,5
gene_1447581,5
DSM22607_6_GL0230749,5
7_GL0034087,5
10_GL0070905,5
gene_4474926,5
10_GL0063275,5
10_GL0050120,5
gene_4346760,5
10_GL0063442,5
gene_3209751,5
10_GL0060059,5
NZ_KI535321.1_cds_WP_023346812.1_1189,5
MH-6-1_GL0007542,5
gene_3958335,5
gene_2677191,5
10_GL0080447,5
S-Fe10_GL0174155,5
Food_13_GL0184796,5
10_GL0008020,5
10_GL0003462,5
NZ_NHMU01000012.1_cds_WP_084081121.1_372,5
1A-dyr2-07_GL0049083,5
gene_3867818,5
3-6_GL0057551,5
10_GL0064153,5
gene_3875564,5
32_GL0068125,5
gene_4485091,5
1A-dyr2-07_GL0069705,5
G1-1A_GL0039741,5
10_GL0030290,5
10_GL0054109,5
1-1_GL0132208,5
10_GL0071858,5
gene_3781212,5
10_GL0063265,5
gene_3546772,5
gene_3738895,5
1A-dyr2-07_GL0044600,5
gene_2892854,5
10_GL0084353,5
MC-6-2_GL0020469,5
NZ_NHTR01000003.1_cds_WP_065548059.1_4318,5
gene_3788353,5
10_GL0093318,5
10_GL0019356,5
OB-1_6_GL0029113,5
gene_2564296,5
10_GL0065311,5
10_GL0054110,5
gene_4258310,5
10_GL0061871,5
NZ_KB822478.1_cds_WP_004056581.1_1973,5
10_GL0020429,5
gene_4627868,4
gene_2398524,4
gene_4054103,4
gene_4416358,4
10_GL0046420,4
32_GL0137614,4
7_GL0075183,4
10_GL0057702,4
18_GL0161121,4
10_GL0063501,4
7_GL0087080,4
gene_2836625,4
gene_2525169,4
10_GL0035376,4
Food_2_GL0115263,4
gene_4036360,4
gene_4624348,4
gene_4426836,4
gene_2584443,4
gene_4604285,4
10_GL0065290,4
10_GL0005858,4
10_GL0030164,4
NZ_RAYF01000043.1_cds_WP_120391754.1_2170,4
10_GL0014141,4
1A-dyr2-07_GL0030411,4
gene_4593702,4
