OTU,Kingdom,Phylum,Class,Order,Family,Genus
Otu96,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu97,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera
Otu98,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu99,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
Otu100,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu101,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu102,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Otu103,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,uncultured
Otu104,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu105,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu106,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,uncultured
Otu107,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Otu108,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu109,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu110,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu111,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae RC9 gut group
Otu112,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,
Otu113,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus
Otu114,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,
Otu115,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus
Otu116,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Otu117,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu118,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu119,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-001
Otu120,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu121,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu122,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
Otu123,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002
Otu124,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu125,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu126,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella
Otu127,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum
Otu128,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,
Otu129,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelotrichaceae UCG-003
Otu130,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu131,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,
Otu132,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,uncultured
Otu133,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis
Otu134,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus
Otu135,Bacteria,NA,NA,NA,NA,
Otu136,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus
Otu137,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu138,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus
Otu139,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu140,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu141,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu142,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,uncultured
Otu143,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu144,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu145,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu146,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu147,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu148,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
Otu149,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu150,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
Otu151,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
Otu152,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum
Otu153,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum
Otu154,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu155,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu156,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,
Otu157,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu158,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu159,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu160,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] eligens group
Otu161,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,
Otu162,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella
Otu163,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu164,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] brachy group
Otu165,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu166,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu167,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu168,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu169,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
Otu170,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu171,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu172,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,
Otu173,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu174,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu175,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu176,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu177,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu178,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] nodatum group
Otu179,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu180,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,
Otu181,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu182,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu183,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu184,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu185,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,
Otu186,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu187,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu188,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,
Otu189,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu190,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,uncultured
Otu191,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu192,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus
Otu193,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium
Otu194,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus
Otu195,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio
Otu196,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu197,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter
Otu198,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes
Otu199,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Otu200,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu201,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu202,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu203,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,
Otu204,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu205,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Otu206,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu207,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu208,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu209,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu210,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu211,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu212,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group
Otu213,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu214,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu215,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum
Otu216,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu217,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus
Otu218,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu219,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
Otu220,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Otu221,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella
Otu222,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu223,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu224,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-006
Otu225,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu226,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu227,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu228,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu229,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus
Otu230,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Otu231,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu232,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella
Otu233,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu234,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu235,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu236,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus
Otu237,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,
Otu238,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus
Otu239,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
Otu240,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu241,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,uncultured
Otu242,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus
Otu243,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu244,Unclassified,NA,NA,NA,NA,
Otu245,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
Otu246,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriales Incertae Sedis,uncultured
Otu247,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu248,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu249,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
Otu250,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira
Otu251,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera
Otu252,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Candidatus Stoquefichus
Otu253,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu254,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
Otu255,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu256,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,
Otu257,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu258,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu259,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Otu260,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group
Otu261,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu262,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus
Otu263,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu264,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu265,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu266,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu267,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu268,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu269,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella
Otu270,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu271,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
Otu272,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
Otu273,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus
Otu274,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu275,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu276,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
Otu277,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured
Otu278,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu279,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu280,Bacteria,Firmicutes,Clostridia,Eubacteriales,Anaerofustaceae,Anaerofustis
Otu281,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu282,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,
Otu283,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Otu284,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,uncultured
Otu285,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu286,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu287,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,
Otu288,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu289,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu290,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus
Otu291,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu292,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
Otu293,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured
Otu294,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu295,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu296,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,
Otu297,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu298,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
Otu299,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu300,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
